"rownum","Id","Description","Invisible","Removable","Name","Stats","CancelOnDeath","MergeMode","ShowCount","Maximum_Stat","Current_Stat","bool","i32","BuffVisual","bool","bool","BuffCategory","bool","bool","bool","bool","BuffLimit","bool","Implementation","IsRecovery","bool","MinStat","bool","UIStackMode","bool","IsSkillBuff","i32","[i32]","bool","bool","[rid]","bool","Stats2","GrantedFlags","GrantedStats","ConditionStats","bool","bool","bool","bool","rid","[i32]","string","[rid]","[i32]","i32","[rid]"
0,"ignited","Debuff inflicts [Fire] damage over time","","","Ignited",[7651],"",13,"","","",1,29,2,"","",2,"",1,1,"",0,"","Ignite","","","","",7,"","",0,[],"","",[],"",[],[],[7651],[13893],"","","",1,"",[],"",[],[0],2,[]
1,"chilled","[Slow|Slowed]","","","Chilled",[7980],1,13,"","","",1,1,3,"","",2,"",1,1,"",0,"","Chill",1,"","","",7,"","",0,[],"","",[],"",[],[],[7980],[13894],"","",1,1,"",[],"",[],[3],3,[]
2,"frozen","Cannot move or take actions","","","Frozen",[],1,13,"","","",1,29,4,"","",2,"",1,1,"",0,"","FreezeBuff","","","","",7,"","",0,[],"","",[],"",[],[11762],[],"[13895,1988]","","",1,1,"",[],"",[],[],1,[]
3,"shocked","Debuff inflicts increased damage taken","","","Shocked",[15790],"",13,"","","",1,2,5,"","",2,"",1,1,"",0,"","",1,"","","",7,"","",0,[],"","",[],"",[],[],[15790],[13896],"","",1,1,"",[],"",[],[],3,[]
4,"sprinting","Increased movement velocity","",1,"Faster Run",[171],1,2,"","","","",29,7,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[171],[],"","","","","",[],"",[],[],1,[]
5,"flask_effect_life","",1,"","Healing",[7279],1,5,"","","","",29,0,1,"",4,"",1,1,1,0,"","",1,"","","",7,"","",0,[],"","",[],"",[],[],[7279],[],"","","","","",[],"",[],[],1,[]
6,"grace_period","You can't be damaged",1,1,"Grace Period","[134,865,1301,7739,2899,6475,6474]",1,2,"","","","",29,8,1,"",18,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],"[134,865,1301,7739,2899,6475,6474]",[],"","","","","",[],"",[],[],1,[]
7,"cutscene_grace_period","Right-click to skip cutscene.","",1,"Cutscene in Progress","[134,865,1301,7739,2899,6475,6474]",1,2,"","","","",29,9,1,"",18,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],"[134,865,1301,7739,2899,6475,6474]",[],"","","","","",[],"",[],[],1,[]
8,"is_dead_can_revive","",1,"","",[],"",2,"","","","",29,10,1,"",18,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","",1,"","",[],"",[],[],1,[]
9,"being_revived","",1,"","",[],"",2,"","","","",29,11,1,"",18,"",1,1,"",0,"","BeingRevived","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","",1,"","",[],"",[],[],1,[]
10,"god_mode","You cannot be damaged","",1,"Invulnerability",[134],1,3,"","","","",29,12,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[134],[],"","","","","",[],"",[],[],1,[]
11,"experience","Increased experience for 30 seconds","",1,"Increased Experience",[151],1,2,"","","","",29,13,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[151],[],"","","","","",[],"",[],[],1,[]
12,"flask_effect_mana","",1,"","Regenerating Mana",[7280],1,5,"","","","",15,0,1,"",4,"",1,1,1,0,"","",1,"","","",7,"","",0,[],"","",[],"",[],[],[7280],[],"","","","","",[],"",[],[],1,[]
13,"poison","Debuff inflicts [Chaos] damage over time which bypasses [EnergyShield|Energy Shield].","","","Poisoned","[7652,22225]","",11,"","","",1,29,14,"","",2,"",1,1,"",0,"","PoisonDebuff",1,"","","",7,"","",0,[],"","",[],"",[13897],[],"[7652,22225,13897]",[],"","","",1,"",[],"",[],[2],5,[]
14,"blood_rage","Taking Physical Damage over time based on Life and Energy Shield, while increasing Attack Speed and Life Leech. Killing an enemy refreshes the buff duration and can grant a Frenzy Charge.","","","Blood Rage","[70,3018,451,451,1348,12110]",1,2,"","","",1,29,16,1,"",1,"",1,1,"",0,"","BloodRageBuff","","","","",7,"","",0,[],"","",[],"",[443],[],"[70,3018,451,451,1348,12110,443]",[],"","","","","",[],"",[],[],1,[]
15,"righteous_fire","You take burning damage, deal burning damage to those around you.","","","Righteous Fire","[883,1893]",1,2,"","","",1,29,18,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],"[883,1893]",[],"","","","","",[],"",[],[0],1,[]
16,"righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","","","Righteous Fire",[1966],"",3,"","","","",29,22,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","",7,1,"",0,[],"","",[],"",[],[],[1966],[],"","","","","",[],"",[],[0],1,[]
17,"demon_righteous_fire","You take burning damage, deal burning damage to those around you.","","","Unrighteous Fire","[883,1893]",1,2,"","","",1,29,29,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],"[883,1893]",[],"","","","","",[],"",[],[0],1,[]
18,"demon_righteous_fire_aura","You are taking burning damage from being near an enemy using Unrighteous Fire","","","Unrighteous Fire",[1966],"",3,"","","","",29,30,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","",7,"","",0,[],"","",[],"",[],[],[1966],[],"","","","","",[],"",[],[0],1,[]
19,"avatar_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Righteous Fire","[884,25,2490]",1,2,"","","",1,29,19,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],"[884,25,2490]",[],"","","","","",[],"",[],[0],1,[]
20,"avatar_righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","","","Righteous Fire",[1966],"",3,"","","","",29,24,"","",2,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[1966],[],"","","","","",[],"",[],[0],1,[]
21,"invisible_fire_aura","",1,"","","[4771,4771,4771]",1,3,"","","","",29,0,1,"",2,"",1,1,"",0,"","InvisibleFireAura","","","","",7,"","",0,[],"","",[],"",[],[],"[4771,4771,4771]",[],"","","","","",[],"",[],[],1,[]
22,"invisible_fire_debuff","You are taking Burning Damage from a Creeping Agony","","","Creeping Agony",[1966],"",3,"","","","",29,35,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",7,"","",0,[],"","",[],"",[],[],[1966],[],"","","","","",[],"",[],[0],1,[]
23,"invisible_holy_fire_debuff","You are taking Burning Damage from a Divine Flare","","","Divine Flare",[1966],"",3,"","","","",29,38,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",7,"","",0,[],"","",[],"",[],[],[1966],[],"","","","","",[],"",[],[0],1,[]
24,"invisible_holy_fire_elder_debuff","You are taking Burning Damage from a Divine Flare","","","Divine Flare",[1966],"",3,"","","","",29,38,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",7,"","",0,[],"","",[],"",[],[],[1966],[],"","","","","",[],"",[],[0],1,[]
25,"invisible_kitava_fire_debuff","You are taking Physical Damage over time from a Heretical Flare","","","Heretical Flare",[346],"",3,"","","","",29,40,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",7,"","",0,[],"","",[],"",[],[],[346],[],"","","","","",[],"",[],[],1,[]
26,"ion_beam_debuff","You are taking Lightning Damage from a Galvanic Flare","","","Galvanic Flare",[1970],"",3,"","","","",29,32,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",7,"","",0,[],"","",[],"",[],[],[1970],[],"","","","","",[],"",[],[],1,[]
27,"frost_ion_beam_debuff","You are taking Cold Damage from Creeping Ice","","","Creeping Ice",[1968],"",3,"","","","",29,34,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",7,"","",0,[],"","",[],"",[],[],[1968],[],"","","","","",[],"",[],[],1,[]
28,"doedre_invisible_chaos_debuff","You are taking Chaos Damage over time","","","Sewage Toxins",[442],"",3,"","","","",29,730,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",7,"","",0,[],"","",[],"",[],[],[442],[],"","","","","",[],"",[],[],1,[]
29,"fire_weapon","Your weapon does additional fire damage","",1,"Fire Weapon","[471,435]",1,3,"","","",1,29,41,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],"[471,435]",[],"","","","","",[],"",[],[],1,[]
30,"frenzy_charge","You have Frenzy Charges. These can interact with or augment certain skills and effects.","","","Frenzy Charges",[],1,4,1,2599,5,1,29,43,1,"",3,"",1,1,"",0,"","","","",8024,"",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"",[],[],1,[]
31,"endurance_charge","You have Endurance Charges. These can interact with or augment certain skills and effects.","","","Endurance Charges",[],1,4,1,2598,4,1,29,44,1,"",3,"",1,1,"",0,"","","","",8022,"",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"",[],[],1,[]
32,"power_charge","You have Power Charges. These can interact with or augment certain skills and effects.","","","Power Charges",[],1,4,1,2600,6,1,29,45,1,"",3,"",1,1,"",0,"","","","",8026,"",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"",[],[],1,[]
33,"spirit_charge","Required to use certain skills.","","","Spirit Charges",[],1,4,1,6874,6194,"",29,46,1,"",3,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"",[],[],1,[]
34,"void_arrow","Can trigger the Void Shot skill while you have Void Arrows","","","Void Arrows",[],1,4,1,6941,6940,1,29,48,1,"",3,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"",[],[],1,[]
35,"divine_charge","You are charged with divine energy","","","Divine Charge",[],1,4,1,8645,8646,1,29,49,1,"",3,"",1,1,"",0,"","DivineCharge","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"",[],[],1,[]
36,"blitz_charge","You gain bonuses from your Ascendancy for having Blitz Charges","","","Blitz Charge",[],1,4,1,9166,9167,1,29,1110,1,"",3,"",1,1,"",0,"","BlitzCharge","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"",[],[],1,[]
37,"challenger_charge","You gain bonuses from your Ascendancy for having Challenger Charges","","","Challenger Charges",[],1,4,1,9257,9258,1,29,1118,1,"",3,"",1,1,"",0,"","ChallengerCharge","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"",[],[],1,[]
38,"hillock_buff","Attacks with fervor","","","Brutal Attack","[70,26]",1,2,"","","","",29,51,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],"[70,26]",[],"","","","","",[],"",[],[],1,[]
39,"mana_leech","",1,"","",[1409],1,1,"","","","",29,0,1,"",18,"",1,"","",0,"","",1,"","","",7,"","",0,[],"","",[],"",[],[2800],[1409],[],"",1,"","","",[],"",[],[],1,[]
40,"life_leech","",1,"","",[1408],1,1,"","","","",29,0,1,"",18,"",1,"","",0,"","",1,"","","",7,"","",0,[],"","",[],"",[],[2799],[1408],[],"",1,"","","",[],"",[],[],1,[]
41,"energy_shield_leech","",1,"","",[1410],1,1,"","","","",29,0,1,"",18,"",1,"","",0,"","",1,"","","",7,"","",0,[],"","",[],"",[],[2801],[1410],[],"",1,"","","",[],"",[],[],1,[]
42,"players_increased","More players are in the game.",1,"","Players Increased",[3178],"",2,"","","",1,29,0,1,"",18,"","","","",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[3178],[],"","","","","",[],"",[],[],1,[]
