"rownum","BaseItemType","StatsWeapon","StatsValuesWeapon","StatsArmour","StatsValuesArmour","i32"
0,513,"[47,48]","[4,6]",[138],[10],0
1,503,"[47,48]","[7,11]",[138],[12],15
2,523,"[47,48]","[13,16]",[138],[14],30
3,514,"[54,55]","[3,5]",[140],[10],0
4,504,"[54,55]","[6,10]",[140],[12],15
5,524,"[54,55]","[9,15]",[140],[14],30
6,515,"[61,62]","[1,10]",[142],[10],0
7,505,"[61,62]","[1,20]",[142],[12],15
8,525,"[61,62]","[1,30]",[142],[14],30
9,516,[27],[15],[756],[15],0
10,506,[27],[20],[756],[20],15
11,526,[27],[25],[756],[25],30
12,517,[3012],[200],[117],[20],0
13,507,[3012],[250],[117],[30],15
14,527,[3012],[300],[117],[40],30
15,518,[3015],[150],[121],[15],0
16,508,[3015],[200],[121],[25],15
17,528,[3015],[250],[121],[35],30
18,519,[99],[10],[439],[15],0
19,509,[99],[20],[439],[18],15
20,529,[99],[30],[439],[21],30
21,520,[101],[8],[124],[12],0
22,510,[101],[16],[124],[15],15
23,530,[101],[24],[124],[18],30
24,521,[18767],[20],[18752],[30],0
25,511,[18767],[25],[18752],[40],15
26,531,[18767],[30],[18752],[50],30
27,522,[560],[50],[10809],[8],0
28,512,[560],[80],[10809],[10],15
29,532,[560],[110],[10809],[12],30
30,537,[5152],[15],[144],[7],0
31,538,[2763],[15],[20261],[10],0
32,539,[3209],[2],[118],[2],0
33,540,[6006],[2],[122],[2],0
34,541,[5732],[30],[135],[5],0
35,542,[18228],[30],[947],[1],0
36,543,[18417],[20],[948],[1],0
37,544,[18229],[30],[949],[1],0
38,545,[19713],[15],[20035],[5],0
39,546,[3972],[15],[9985],[15],0
40,547,[71],[5],[18672],[-10],0
41,548,[386],[12],[97],[10],0
42,549,[20823],[20],[20823],[20],0
43,550,[20824],[20],[20824],[20],0
44,551,[20825],[20],[20825],[20],0
45,533,[22132],[10],[22130],[10],0
46,534,[19427],[10],"[20395,20396]","[1,10]",0
47,535,[20268],[8],[6008],[8],0
48,536,[22133],[10],[3463],[-10],0
49,552,[],[],[],[],0
50,553,[],[],[],[],0
51,554,[],[],[],[],0
52,555,[],[],[],[],0
53,556,[],[],[],[],0
54,557,[],[],[],[],0
55,558,[],[],[],[],0
56,559,[],[],[],[],0
57,560,[],[],[],[],0
58,561,[],[],[],[],0
59,562,[],[],[],[],0
