"rownum","DisplayLevel","Damage","Evasion","Accuracy","Life","Experience","AllyLife","Armour","Difficulty","MinionDamage","AltLife1","AltDamage1","AltDamage2","AltLife2","EvasiveEvasion","AilmentThreshold","StunThreshold","i32"
0,"1",9.16,11,51,15,17,51,3,1,3.11,22,0,0,0,6000,0,0,0
1,"2",10.26,14,56,20,18,83,6,1,4.42,28,0,0,1,6000,1,0,0
2,"3",11.39,17,60,24,20,116,8,1,5.82,35,0,0,2,6000,2,0,0
3,"4",12.57,20,65,28,24,150,10,1,7.31,41,0,0,3,6000,3,0,0
4,"5",13.78,24,70,33,31,186,13,1,8.92,48,0,0,4,6000,4,0,0
5,"6",15.03,27,75,38,43,223,16,1,10.63,55,0,0,5,6000,5,0,0
6,"7",16.32,31,80,45,57,261,19,1,12.46,63,0,0,5,6000,6,0,0
7,"8",17.65,35,86,50,75,300,22,1,14.42,70,0,0,6,6000,7,0,0
8,"9",19.02,38,91,58,96,341,26,1,16.51,77,0,0,7,6000,8,0,0
9,"10",20.44,42,97,67,120,382,30,1,18.73,85,0,0,8,6000,9,0,0
10,"11",21.9,46,103,78,150,426,34,1,21.1,93,0,0,9,6000,10,0,0
11,"12",23.41,50,110,89,181,471,39,1,23.62,101,0,0,10,6000,11,0,0
12,"13",24.97,54,116,103,219,517,43,1,26.31,109,0,0,11,6000,12,0,0
13,"14",26.57,59,123,118,261,565,49,1,29.16,118,0,0,12,6000,13,0,0
14,"15",28.23,63,130,134,308,614,54,1,32.19,126,0,0,13,6000,14,0,0
15,"16",29.93,67,137,158,358,665,60,1,35.42,135,0,0,14,6000,15,0,0
16,"17",31.69,72,145,178,416,718,67,1,38.83,144,0,0,14,6000,16,0,0
17,"18",33.5,76,152,200,482,772,73,1,42.46,153,0,0,15,6000,17,0,0
18,"19",35.37,81,160,224,549,828,81,1,46.31,163,0,0,16,6000,17,0,0
19,"20",37.29,86,169,249,623,886,89,1,50.39,172,0,0,17,6000,17,0,0
20,"21",39.27,91,177,276,704,945,97,1,54.71,182,0,0,18,6000,17,0,0
21,"22",41.31,96,186,305,796,1007,106,1,59.29,192,0,0,19,6000,17,0,0
22,"23",43.41,101,195,335,881,1070,116,1,64.14,202,0,0,20,6000,17,0,0
23,"24",45.57,106,204,366,968,1135,126,1,69.27,213,0,0,21,6000,17,0,0
24,"25",47.8,111,214,400,1058,1203,137,1,74.69,223,0,0,22,6000,17,0,0
25,"26",50.09,117,224,434,1153,1272,149,1,80.43,234,0,0,23,6000,17,0,0
26,"27",52.45,122,234,472,1252,1344,161,1,86.5,245,0,0,23,6000,17,0,0
27,"28",54.88,128,245,510,1407,1417,174,1,92.91,256,0,0,24,6000,17,0,0
28,"29",57.37,134,256,551,1573,1493,189,1,99.69,268,0,0,25,6000,17,0,0
29,"30",59.94,140,267,593,1750,1571,204,1,106.84,280,0,0,26,6000,17,0,0
30,"31",62.59,146,279,637,1941,1652,220,1,114.4,292,0,0,27,6099,17,0,248
31,"32",65.31,152,291,683,2142,1734,237,1,122.37,304,0,0,28,6255,17,0,638
32,"33",68.1,158,304,731,2361,1820,255,1,130.79,317,0,0,29,6395,17,0,987
33,"34",70.98,165,317,790,2587,1907,274,1,139.67,330,0,0,30,6566,17,0,1416
34,"35",73.94,171,330,853,2831,1998,295,1,149.04,343,0,0,31,6734,17,0,1835
35,"36",76.98,178,344,921,3092,2091,317,1,158.91,356,0,0,32,6898,17,0,2246
36,"37",80.11,185,358,995,3360,2186,340,1,169.32,370,0,0,32,7054,17,0,2634
37,"38",83.32,191,372,1074,3646,2285,364,1,180.29,383,0,0,33,7205,17,0,3013
38,"39",86.63,199,387,1160,3958,2386,391,1,191.86,398,0,0,34,7354,17,0,3384
39,"40",90.02,206,403,1253,4259,2490,418,1,204.04,412,0,0,35,7497,17,0,3742
40,"41",93.51,213,419,1353,4586,2598,448,1,216.86,427,0,0,36,7631,17,0,4077
41,"42",97.1,221,435,1462,4940,2708,479,1,230.37,442,0,0,37,7762,17,0,4405
42,"43",100.79,228,452,1578,5279,2821,512,1,244.6,457,0,0,38,7887,17,0,4717
43,"44",104.57,236,470,1705,5652,2938,547,1,259.57,473,0,0,39,8009,17,0,5022
44,"45",108.46,244,488,1841,6045,3058,585,1,275.32,489,0,0,40,8123,17,0,5307
45,"46",112.46,252,506,1967,6466,3181,624,2,291.9,505,0,0,41,8181,17,0,5453
46,"47",116.57,261,526,2101,6909,3307,666,2,309.34,522,0,0,41,8240,17,0,5601
47,"48",120.78,269,545,2244,7390,3438,711,2,327.69,538,0,0,42,8300,17,0,5749
48,"49",125.12,278,566,2395,7894,3571,758,2,346.98,556,0,0,43,8357,17,0,5892
49,"50",129.56,286,587,2556,8439,3709,808,2,367.27,573,0,0,44,8415,17,0,6038
50,"51",134.13,295,608,2726,9018,3850,861,2,388.59,591,0,0,45,8471,17,0,6178
51,"52",138.82,304,630,2909,9641,3995,917,2,411.01,609,0,0,46,8526,17,0,6314
52,"53",143.64,314,653,3102,10300,4144,976,2,434.57,628,0,0,47,8581,17,0,6453
53,"54",148.58,323,677,3307,10997,4298,1039,2,459.32,647,0,0,48,8634,17,0,6586
54,"55",153.66,333,701,3525,11751,4455,1105,2,485.33,666,0,0,49,8687,17,0,6718
55,"56",158.87,343,726,3756,12546,4617,1176,2,512.66,686,0,0,50,8739,17,0,6848
56,"57",164.21,353,752,4002,13393,4783,1250,2,541.35,706,0,0,50,8789,17,0,6973
57,"58",169.7,363,778,4264,14302,4953,1329,2,571.49,727,0,0,51,8839,17,0,7097
