"rownum","BaseItemType","Regular_WorldArea","MonsterPacks","AchievementItem","string","Tier","MapSeries","bool","bool","bool"
0,563,"",[],"","",1,0,"","",""
1,564,"",[],"","",2,0,"","",""
2,565,"",[],"","",3,0,"","",""
3,566,"",[],"","",4,0,"","",""
4,567,"",[],"","",5,0,"","",""
5,568,"",[],"","",6,0,"","",""
6,569,"",[],"","",7,0,"","",""
7,570,"",[],"","",8,0,"","",""
8,571,"",[],"","",9,0,"","",""
9,572,"",[],"","",10,0,"","",""
10,573,"",[],"","",11,0,"","",""
11,574,"",[],"","",12,0,"","",""
12,575,"",[],"","",13,0,"","",""
13,576,"",[],"","",14,0,"","",""
14,577,"",[],"","",15,0,"","",""
15,578,"",[],"","",16,0,1,"",""
