"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues"
0,"InnerTreasure",[6985],"",[],[],[]
1,"DropVaalItem",[6992],"",[],[],[]
2,"AlwaysIgnite",[],"",[],"[4824,598]","[1,100]"
3,"RandomCurseOnMeleeHit",[],"",[],[1225],[100]
4,"Maimed",[],505,"[-30,1]",[],[]
5,"AlwaysShock",[],"",[],"[4823,648]","[1,100]"
6,"TormentedExperimenterPossess","[7783,7874,7934,7936]","",[],[],[]
7,"TormentedBlasphemerPossess","[7786,7872,7934,7936]","",[],[],[]
8,"TormentedNecromancerPossess","[7789,7874,7934,7936]","",[],[],[]
9,"TormentedArsonistPossess","[7792,7874,7934,7936]","",[],[],[]
10,"TormentedThiefPossess","[7821,7875,7934,7936]","",[],[],[]
11,"TormentedMutilatorPossess","[7834,7874,7934,7936]","",[],[],[]
12,"TormentedCharlatanPossess","[7802,7874,7934,7936]","",[],[],[]
13,"TormentedCannibalPossess","[7827,7874,7934,7936]","",[],[],[]
14,"TormentedPoisonerPossess","[7795,7874,7934,7936]","",[],[],[]
15,"TormentedCorrupterPossess","[7798,7875,7934,7936]","",[],[],[]
16,"TormentedThugPossess","[7805,7872,7934,7936]","",[],[],[]
17,"TormentedRoguePossess","[7808,7872,7809,7934,7936]","",[],[],[]
18,"TormentedFishermanPossess","[7811,7875,7934,7936]","",[],[],[]
19,"TormentedLibrarianPossess","[7814,7875,7934,7936]","",[],[],[]
20,"TormentedCutthroatPossess","[7818,7872,7934,7936]","",[],[],[]
21,"TormentedSpyPossess","[7824,7872,7934,7936]","",[],[],[]
22,"TormentedMartyrPossess","[7831,7874,7934,7936]","",[],[],[]
23,"TormentedEmbezzlerPossess","[7837,7875,7934,7936]","",[],[],[]
24,"TormentedCounterfeiterPossess","[7843,7874,7934,7936]","",[],[],[]
25,"TormentedWarlordPossess","[7846,7872,7934,7936]","",[],[],[]
26,"TormentedFreezerPossess","[7850,7874,7934,7936]","",[],[],[]
27,"TormentedSmugglerPossess","[7854,7852,7875,7934,7936]","",[],[],[]
