"rownum","rid","i32","[i32]","[rid]","rid","i32","bool","i32","i32","i32","i32"
0,8279,0,[3],[6381],"",0,1,-30,0,150,800
1,8279,1,[1],"[6386,9992]","",0,1,-30,0,150,800
2,8282,0,[1],[],"",0,1,0,0,150,800
3,8284,0,"[1,3]","[6385,9992]","",0,1,-30,0,150,800
4,8286,0,"[1,3]","[6363,9992]","",0,1,-30,0,150,800
5,8288,0,[2],[1657],"",10,1,-15,0,150,800
6,8290,0,[2],[6368],"",10,1,10,0,150,800
7,8292,0,"[3,1]",[6382],"",0,1,-30,0,150,800
8,8294,0,"[1,3]","[6363,9992]","",0,1,-30,0,150,800
9,8296,0,[2],"[6368,1661]","",10,1,10,0,150,800
10,8298,0,"[3,1]",[6382],"",0,1,-30,0,150,800
11,8299,0,"[1,3]","[6363,9992]","",0,1,-30,0,150,800
12,8300,0,[2],"[6368,1661]","",10,1,10,0,150,800
13,8301,0,"[3,1]",[6383],"",0,1,-30,0,150,800
14,8302,0,"[1,3]",[6363],"",0,1,-30,0,150,800
15,8345,0,"[3,1]","[6416,9992]","",0,1,-30,0,150,800
16,8347,0,[3],"[6417,9992]","",0,1,-30,0,150,800
17,8347,1,[1],[],"",0,1,-30,0,150,800
18,8349,0,"[1,3]","[6418,9992]","",0,1,-30,0,150,800
19,8351,0,"[1,3]","[6419,9992]","",0,1,-30,0,150,800
20,8353,0,[2],[7147],"",10,1,-15,0,150,800
21,8355,0,[2],[4015],"",10,1,10,0,150,800
22,8357,0,[2],[],8572,10,1,5,0,150,800
23,8359,0,"[3,1]","[6416,9992]","",0,1,-30,0,150,800
24,8360,0,[3],"[6417,9992]","",0,1,-30,0,150,800
25,8360,1,[1],[],"",0,1,-30,0,150,800
26,8361,0,"[1,3]","[6418,9992]","",0,1,-30,0,150,800
27,8362,0,"[1,3]","[6419,9992]","",0,1,-30,0,150,800
28,8364,0,[2],[7147],"",10,1,-15,0,150,800
29,8365,0,[2],[4015],"",10,1,10,0,150,800
30,8366,0,[2],[],8572,10,1,5,0,150,800
31,8367,0,[3],"[6417,9992]","",0,1,-30,0,150,800
32,8367,1,[1],[],"",0,1,-30,0,150,800
33,8369,0,"[1,3]","[6419,9992]","",0,1,-30,0,150,800
34,8371,0,"[3,1]",[6420],"",0,1,-15,0,150,800
35,8373,0,[2],[4015],"",10,1,10,0,150,800
36,8375,0,[3],"[6417,9992]","",0,1,-30,0,150,800
37,8375,1,[1],[],"",0,1,-30,0,150,800
38,8376,0,"[1,3]","[6419,9992]","",0,1,-30,0,150,800
39,8377,0,"[3,1]",[6420],"",0,1,-15,0,150,800
40,8378,0,[2],[4015],"",0,1,10,0,150,800
41,8379,0,"[3,1]",[6421],"",0,1,-30,0,150,800
42,8380,0,[2],[4016],"",10,1,10,0,150,800
43,8306,0,[2],[10003],"",0,1,0,0,150,800
44,8312,0,[1],[7163],"",0,1,0,0,150,800
45,8314,0,[1],[7163],"",0,1,0,0,150,800
46,8316,0,[1],[7163],"",0,1,0,0,150,800
47,8319,0,[1],[7163],"",0,1,0,0,150,800
48,8321,1,[2],[598],"",0,1,0,0,150,800
49,8324,0,[1],[7163],"",0,1,0,0,150,800
50,8343,0,[1],[7163],"",0,1,0,0,150,800
51,8309,0,[1],[7163],"",0,1,0,0,150,800
52,8310,0,[1],[7163],"",0,1,0,0,150,800
53,8325,0,[2],[8571],"",0,1,15,0,150,800
54,8326,0,[2],[8571],"",0,1,15,0,150,800
55,8327,0,[2],[8571],"",0,1,15,0,150,800
56,8329,0,[2],[8569],"",0,1,15,0,150,800
57,8331,0,[2],[8569],"",0,1,15,0,150,800
58,8332,0,[2],[8569],"",0,1,15,0,150,800
59,8334,0,[2],[],"",0,1,0,0,150,800
60,8335,0,[2],[],"",0,1,0,0,150,800
61,8336,0,[2],[],"",0,1,0,0,150,800
62,8338,0,[2],[6451],"",5,1,-30,0,150,800
63,8339,0,[2],[6451],"",5,1,-30,0,150,800
64,8340,0,[2],[6451],"",5,1,-30,0,150,800
65,8391,0,[3],[],"",0,1,0,1,150,800
66,8394,0,[1],[],"",0,1,0,1,150,800
67,8395,0,[1],[],"",0,1,0,1,150,800
68,8398,0,[2],[6436],"",0,1,-30,0,150,800
69,8400,0,[2],[7158],"",0,1,-30,0,150,800
