"rownum","Id","MiscAnimatedKey1","SpawnWeight","LevelMin","LevelMax","BuffDefinitionsKey","[i32]","SpawnPatterns","ModsKey","[i32]","[i32]","MiscAnimatedKey2","EnvironmentsKey","i32","Achievements","Type (English)","Type (French)","Type (German)","Type (Japanese)","Type (Korean)","Type (Portuguese)","Type (Russian)","Type (Spanish)","Type (Thai)","Type (Traditional Chinese)","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","DaemonSpawningDataKey","bool"
0,"Fire1",4957,100,0,24,1644,"[25,20]",[4],[],[],"[0,0,0,0]",4972,1202,4,[7468],"Infernal","Infernal","Höllisch","業火の","지옥의","Infernal","<if:MS>{Адский}<elif:MP>{Адские}<else>{Адский}","Infernal","Infernal","煉獄","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky","Les Monstres infligent des Dégâts de feu supplémentaires et peuvent Embraser \nInvoque des Météores tombant du ciel","Monster verursachen zusätzlichen Feuerschaden und können entzünden\nMeteore fallen vom Himmel","モンスターは追加の火ダメージを与え、発火を付与できる \n隕石が空から降り注ぐ","몬스터가 추가 화염 피해를 주고 점화 유발 \n하늘에서 유성 낙하","Monstros causam Dano de Fogo extra e podem incendiar \nMeteoros caem do céu","Монстры наносят дополнительный урон от огня и могут поджечь \nС неба падают метеоры","Los monstruos infligen daño de fuego extra y pueden quemar \nCaen meteoritos del cielo","มอนสเตอร์ สร้างความเสียหาย ไฟ เพิ่มเติมและสร้างสถานะ ลุกไหม้ ได้\nอุกกาบาต ตกจากฟากฟ้า","怪物造成額外火焰傷害並且可以造成點燃\n隕石從天而降",0,""
1,"Fire2",4957,100,25,45,1644,"[30,25]",[4],[],[],"[0,0,0,0]",4972,1202,5,[7468],"Infernal","Infernal","Höllisch","業火の","지옥의","Infernal","<if:MS>{Адский}<elif:MP>{Адские}<else>{Адский}","Infernal","Infernal","煉獄","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky","Les Monstres infligent des Dégâts de feu supplémentaires et peuvent Embraser \nInvoque des Météores tombant du ciel","Monster verursachen zusätzlichen Feuerschaden und können entzünden\nMeteore fallen vom Himmel","モンスターは追加の火ダメージを与え、発火を付与できる \n隕石が空から降り注ぐ","몬스터가 추가 화염 피해를 주고 점화 유발 \n하늘에서 유성 낙하","Monstros causam Dano de Fogo extra e podem incendiar \nMeteoros caem do céu","Монстры наносят дополнительный урон от огня и могут поджечь \nС неба падают метеоры","Los monstruos infligen daño de fuego extra y pueden quemar \nCaen meteoritos del cielo","มอนสเตอร์ สร้างความเสียหาย ไฟ เพิ่มเติมและสร้างสถานะ ลุกไหม้ ได้\nอุกกาบาต ตกจากฟากฟ้า","怪物造成額外火焰傷害並且可以造成點燃\n隕石從天而降",0,""
2,"Fire3",4957,100,46,67,1644,"[35,30]",[4],[],[],"[0,0,0,0]",4972,1202,5,[7468],"Infernal","Infernal","Höllisch","業火の","지옥의","Infernal","<if:MS>{Адский}<elif:MP>{Адские}<else>{Адский}","Infernal","Infernal","煉獄","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky","Les Monstres infligent des Dégâts de feu supplémentaires et peuvent Embraser \nInvoque des Météores tombant du ciel","Monster verursachen zusätzlichen Feuerschaden und können entzünden\nMeteore fallen vom Himmel","モンスターは追加の火ダメージを与え、発火を付与できる \n隕石が空から降り注ぐ","몬스터가 추가 화염 피해를 주고 점화 유발 \n하늘에서 유성 낙하","Monstros causam Dano de Fogo extra e podem incendiar \nMeteoros caem do céu","Монстры наносят дополнительный урон от огня и могут поджечь \nС неба падают метеоры","Los monstruos infligen daño de fuego extra y pueden quemar \nCaen meteoritos del cielo","มอนสเตอร์ สร้างความเสียหาย ไฟ เพิ่มเติมและสร้างสถานะ ลุกไหม้ ได้\nอุกกาบาต ตกจากฟากฟ้า","怪物造成額外火焰傷害並且可以造成點燃\n隕石從天而降",0,""
3,"Fire4",4957,100,68,77,1644,"[40,35]",[4],[],[],"[0,0,0,0]",4972,1202,6,[7468],"Infernal","Infernal","Höllisch","業火の","지옥의","Infernal","<if:MS>{Адский}<elif:MP>{Адские}<else>{Адский}","Infernal","Infernal","煉獄","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky","Les Monstres infligent des Dégâts de feu supplémentaires et peuvent Embraser \nInvoque des Météores tombant du ciel","Monster verursachen zusätzlichen Feuerschaden und können entzünden\nMeteore fallen vom Himmel","モンスターは追加の火ダメージを与え、発火を付与できる \n隕石が空から降り注ぐ","몬스터가 추가 화염 피해를 주고 점화 유발 \n하늘에서 유성 낙하","Monstros causam Dano de Fogo extra e podem incendiar \nMeteoros caem do céu","Монстры наносят дополнительный урон от огня и могут поджечь \nС неба падают метеоры","Los monstruos infligen daño de fuego extra y pueden quemar \nCaen meteoritos del cielo","มอนสเตอร์ สร้างความเสียหาย ไฟ เพิ่มเติมและสร้างสถานะ ลุกไหม้ ได้\nอุกกาบาต ตกจากฟากฟ้า","怪物造成額外火焰傷害並且可以造成點燃\n隕石從天而降",0,""
4,"Fire5",4957,100,78,100,1644,"[50,40]",[4],[],[],"[0,0,0,0]",4972,1202,6,[7468],"Infernal","Infernal","Höllisch","業火の","지옥의","Infernal","<if:MS>{Адский}<elif:MP>{Адские}<else>{Адский}","Infernal","Infernal","煉獄","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky","Les Monstres infligent des Dégâts de feu supplémentaires et peuvent Embraser \nInvoque des Météores tombant du ciel","Monster verursachen zusätzlichen Feuerschaden und können entzünden\nMeteore fallen vom Himmel","モンスターは追加の火ダメージを与え、発火を付与できる \n隕石が空から降り注ぐ","몬스터가 추가 화염 피해를 주고 점화 유발 \n하늘에서 유성 낙하","Monstros causam Dano de Fogo extra e podem incendiar \nMeteoros caem do céu","Монстры наносят дополнительный урон от огня и могут поджечь \nС неба падают метеоры","Los monstruos infligen daño de fuego extra y pueden quemar \nCaen meteoritos del cielo","มอนสเตอร์ สร้างความเสียหาย ไฟ เพิ่มเติมและสร้างสถานะ ลุกไหม้ ได้\nอุกกาบาต ตกจากฟากฟ้า","怪物造成額外火焰傷害並且可以造成點燃\n隕石從天而降",0,""
5,"Cold1",4958,100,10,24,1645,"[25,20]",[4],[],[],"[0,0,0,0]",4973,1203,1,[7469],"Bitter","Glaçant","Bitterkalt","極寒の","쓰라린","Amargo","<if:MS>{Хладный}<elif:MP>{Хладные}<else>{Хладный}","Amargo","Bitter","苦澀","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate","Les Monstres infligent des Dégâts de froid supplémentaires et peuvent Geler \nTire des Rayons de glace tournoyants","Monster verursachen zusätzlichen Kälteschaden und können einfrieren\nRotierende Strahlen aus Eis","モンスターは追加の冷気ダメージを与え、凍結を付与できる \n氷のビームが回転する","몬스터가 추가 냉기 피해를 주고 동결 유발 \n얼음 광선 회전","Monstros causam Dano de Gelo extra e podem Congelar \nRaios de Gelo giram","Монстры наносят дополнительный урон от холода и могут заморозить \nВращающиеся ледяные лучи ","Los monstruos infligen daño de hielo extra y pueden congelar \nLos haces de hielo rotan","มอนสเตอร์ สร้างความเสียหาย น้ำแข็ง เพิ่มเติมและสร้างสถานะ แช่แข็ง ได้\nลำแสงเย็นเยือก หมุนวนเวียน","怪物造成額外冰冷傷害並且可以造成冰凍\n冰凍旋轉光束",2,""
6,"Cold2",4958,100,25,45,1645,"[30,25]",[4],[],[],"[0,0,0,0]",4973,1203,1,[7469],"Bitter","Glaçant","Bitterkalt","極寒の","쓰라린","Amargo","<if:MS>{Хладный}<elif:MP>{Хладные}<else>{Хладный}","Amargo","Bitter","苦澀","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate","Les Monstres infligent des Dégâts de froid supplémentaires et peuvent Geler \nTire des Rayons de glace tournoyants","Monster verursachen zusätzlichen Kälteschaden und können einfrieren\nRotierende Strahlen aus Eis","モンスターは追加の冷気ダメージを与え、凍結を付与できる \n氷のビームが回転する","몬스터가 추가 냉기 피해를 주고 동결 유발 \n얼음 광선 회전","Monstros causam Dano de Gelo extra e podem Congelar \nRaios de Gelo giram","Монстры наносят дополнительный урон от холода и могут заморозить \nВращающиеся ледяные лучи ","Los monstruos infligen daño de hielo extra y pueden congelar \nLos haces de hielo rotan","มอนสเตอร์ สร้างความเสียหาย น้ำแข็ง เพิ่มเติมและสร้างสถานะ แช่แข็ง ได้\nลำแสงเย็นเยือก หมุนวนเวียน","怪物造成額外冰冷傷害並且可以造成冰凍\n冰凍旋轉光束",2,""
7,"Cold3",4958,100,46,67,1645,"[35,30]",[4],[],[],"[0,0,0,0]",4973,1203,1,[7469],"Bitter","Glaçant","Bitterkalt","極寒の","쓰라린","Amargo","<if:MS>{Хладный}<elif:MP>{Хладные}<else>{Хладный}","Amargo","Bitter","苦澀","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate","Les Monstres infligent des Dégâts de froid supplémentaires et peuvent Geler \nTire des Rayons de glace tournoyants","Monster verursachen zusätzlichen Kälteschaden und können einfrieren\nRotierende Strahlen aus Eis","モンスターは追加の冷気ダメージを与え、凍結を付与できる \n氷のビームが回転する","몬스터가 추가 냉기 피해를 주고 동결 유발 \n얼음 광선 회전","Monstros causam Dano de Gelo extra e podem Congelar \nRaios de Gelo giram","Монстры наносят дополнительный урон от холода и могут заморозить \nВращающиеся ледяные лучи ","Los monstruos infligen daño de hielo extra y pueden congelar \nLos haces de hielo rotan","มอนสเตอร์ สร้างความเสียหาย น้ำแข็ง เพิ่มเติมและสร้างสถานะ แช่แข็ง ได้\nลำแสงเย็นเยือก หมุนวนเวียน","怪物造成額外冰冷傷害並且可以造成冰凍\n冰凍旋轉光束",2,""
8,"Cold4",4958,100,68,77,1645,"[40,35]",[4],[],[],"[0,0,0,0]",4973,1203,1,[7469],"Bitter","Glaçant","Bitterkalt","極寒の","쓰라린","Amargo","<if:MS>{Хладный}<elif:MP>{Хладные}<else>{Хладный}","Amargo","Bitter","苦澀","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate","Les Monstres infligent des Dégâts de froid supplémentaires et peuvent Geler \nTire des Rayons de glace tournoyants","Monster verursachen zusätzlichen Kälteschaden und können einfrieren\nRotierende Strahlen aus Eis","モンスターは追加の冷気ダメージを与え、凍結を付与できる \n氷のビームが回転する","몬스터가 추가 냉기 피해를 주고 동결 유발 \n얼음 광선 회전","Monstros causam Dano de Gelo extra e podem Congelar \nRaios de Gelo giram","Монстры наносят дополнительный урон от холода и могут заморозить \nВращающиеся ледяные лучи ","Los monstruos infligen daño de hielo extra y pueden congelar \nLos haces de hielo rotan","มอนสเตอร์ สร้างความเสียหาย น้ำแข็ง เพิ่มเติมและสร้างสถานะ แช่แข็ง ได้\nลำแสงเย็นเยือก หมุนวนเวียน","怪物造成額外冰冷傷害並且可以造成冰凍\n冰凍旋轉光束",2,""
9,"Cold5",4958,100,78,100,1645,"[50,40]",[4],[],[],"[0,0,0,0]",4973,1203,1,[7469],"Bitter","Glaçant","Bitterkalt","極寒の","쓰라린","Amargo","<if:MS>{Хладный}<elif:MP>{Хладные}<else>{Хладный}","Amargo","Bitter","苦澀","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate","Les Monstres infligent des Dégâts de froid supplémentaires et peuvent Geler \nTire des Rayons de glace tournoyants","Monster verursachen zusätzlichen Kälteschaden und können einfrieren\nRotierende Strahlen aus Eis","モンスターは追加の冷気ダメージを与え、凍結を付与できる \n氷のビームが回転する","몬스터가 추가 냉기 피해를 주고 동결 유발 \n얼음 광선 회전","Monstros causam Dano de Gelo extra e podem Congelar \nRaios de Gelo giram","Монстры наносят дополнительный урон от холода и могут заморозить \nВращающиеся ледяные лучи ","Los monstruos infligen daño de hielo extra y pueden congelar \nLos haces de hielo rotan","มอนสเตอร์ สร้างความเสียหาย น้ำแข็ง เพิ่มเติมและสร้างสถานะ แช่แข็ง ได้\nลำแสงเย็นเยือก หมุนวนเวียน","怪物造成額外冰冷傷害並且可以造成冰凍\n冰凍旋轉光束",2,""
