"rownum","ModsKey","Weight","MinLevel","MaxLevel"
0,19843,80,13,100
1,19844,80,0,100
2,19845,80,0,100
3,19846,80,13,100
4,19847,80,0,100
5,19848,80,0,100
6,19849,120,13,100
7,19850,120,0,100
8,19851,120,0,100
9,19852,80,20,100
10,19853,80,20,100
11,19854,80,20,100
12,19855,50,68,100
13,19856,50,68,100
14,19857,50,68,100
15,19858,50,40,100
16,19859,50,40,100
17,19860,50,40,100
18,19861,80,13,100
19,19862,80,0,100
20,19863,80,0,100
21,19864,120,13,100
22,19865,120,0,100
23,19866,120,0,100
24,19867,120,13,100
25,19868,120,0,100
26,19869,120,0,100
27,19870,120,13,100
28,19871,120,68,100
29,19872,120,68,100
30,19873,80,13,100
31,19874,80,0,100
32,19875,80,0,100
33,19876,50,68,100
34,19877,50,68,100
35,19878,0,68,100
36,19879,50,68,100
37,19880,50,68,100
38,19881,0,68,100
39,19882,50,68,100
40,19883,50,68,100
41,19884,50,68,100
42,19885,50,40,100
43,19886,50,40,100
44,19887,0,40,100
45,19888,80,20,100
46,19889,50,50,100
47,19890,37,68,100
48,19891,50,30,100
49,19892,80,13,100
50,19893,120,13,100
51,19894,37,13,100
52,19895,50,68,100
53,19896,80,63,100
54,19897,120,13,100
55,19898,80,13,100
56,19899,50,13,100
57,19900,120,0,100
58,19901,120,0,100
59,19902,120,13,100
60,19903,120,0,100
61,19904,50,40,100
62,19911,120,0,100
63,19912,80,20,100
64,19913,50,40,100
