"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Server","IsEnabled","Server2","ShortName (English)","ShortName (French)","ShortName (German)","ShortName (Japanese)","ShortName (Korean)","ShortName (Portuguese)","ShortName (Russian)","ShortName (Spanish)","ShortName (Thai)","ShortName (Traditional Chinese)","[row]","row","i32","IsGammaRealm","SpeedtestUrl"
0,"America","Texas (US)","Texas (USA)","Texas (USA)","テキサス (US)","텍사스 (미국)","Texas (EUA)","Америка","Texas (EE.UU.)","เทกซัส (US)","美國－德州","[""dal01.login.pathofexile.com""]",1,[],"US","US","US","US","US","US","US","US","US","美","[12,11]",0,0,"","[""us.speedtest.pathofexile.com""]"
1,"Europe","Amsterdam (EU)","Amsterdam (UE)","Amsterdam (EU)","アムステルダム (EU)","암스테르담 (EU)","Amsterdã (UE)","Европа","Amsterdam (EU)","อัมสเตอร์ดัม (EU)","歐洲－阿姆斯特丹","[""ams01.login.pathofexile.com""]",1,[],"EU","EU","EU","EU","EU","UE","EU","EU","EU","歐","[9,10]",1,3,"","[""eu.speedtest.pathofexile.com""]"
2,"Singapore","Singapore","Singapour","Singapur","シンガポール","싱가포르","Singapura","Сингапур","Singapur","สิงคโปร์","新加坡","[""sng01.login.pathofexile.com""]",1,[],"SG","SG","SG","SG","SG","SG","SG","SG","SG","新","[3,0]",0,7,"","[""sg.speedtest.pathofexile.com""]"
3,"Australia","Australia","Australie","Australien","オーストラリア","오스트레일리아","Austrália","Австралия","Australia","ออสเตรเลีย","澳洲","[""mel01.login.pathofexile.com""]",1,[],"AU","AU","AU","AU","AU","AU","AU","AU","AU","澳","[2,0]",0,8,"","[""au.speedtest.pathofexile.com""]"
4,"SingaporeGA","Singapore/Malaysia","Singapour/Malaisie","Singapur/Malaysia","シンガポール/マレーシア","싱가포르/말레이시아","Singapura/Malásia","Сингапур/Малайзия","Singapur/Malasia","สิงคโปร์/มาเลเซีย","新加坡/馬來西亞",[],"","[""sg"",""my"",""singapore"",""malaysia"",""singapore/malaysia""]","SG","SG","SG","SG","SG","SG","SG","SG","SG","新馬",[],4,9,"",[]
5,"PhilippinesGA","Philippines","Philippines","Philippinen","フィリピン","필리핀","Filipinas","Филиппины","Filipinas","ฟิลิปปินส์","菲律賓",[],"","[""ph"",""philippines""]","PH","PH","PH","PH","PH","FI","PH","PH","PH","菲",[],5,10,"",[]
6,"TaiwanGA","Taiwan","Taïwan","Taiwan","台湾","대만","Taiwan","Тайвань","Taiwán","ไต้หวัน","台灣/香港/澳門",[],"","[""tw"",""taiwan""]","TW","TW","TW","TW","TW","TW","TW","TW","TW","台港澳",[],6,11,"",[]
7,"ThailandGA","Thailand","Thaïlande","Thailand","タイ","태국","Tailândia","Таиланд","Tailandia","ไทย","泰國",[],"","[""th"",""thailand""]","TH","TH","TH","TH","TH","TL","TH","TH","TH","泰",[],7,12,"",[]
8,"RussiaGA","Moscow","Moscou","Moskau","モスクワ","모스크바","Moscou","Москва","Moscú","มอสโคว์","俄羅斯 - 莫斯科",[],"","[""ru"",""russia""]","RU","RU","RU","BU","RU","RU","RU","RU","RU","俄",[],8,13,"",[]
9,"London","London (EU)","Londres (UE)","London (EU)","ロンドン (EU)","런던 (EU)","Londres (UE)","Лондон","Londres (EU)","ลอนดอน (EU)","歐洲－倫敦","[""lon01.login.pathofexile.com""]",1,[],"LON","LON","LON","LON","LON","LON","LON","LON","LON","倫敦","[1,10,16]",1,4,"","[""lon.speedtest.pathofexile.com""]"
10,"Frankfurt","Frankfurt (EU)","Francfort (UE)","Frankfurt (EU)","フランクフルト (EU)","프랑크푸르트 (EU)","Frankfurt (UE)","Франкфурт","Fráncfort (EU)","แฟรงเฟิร์ต (EU)","歐洲－法蘭克福","[""fra01.login.pathofexile.com""]",1,[],"FRA","FRA","FRA","FRA","FRA","FRA","FRA","FRA","FRA","德","[1,9,16]",1,5,"","[""fra.speedtest.pathofexile.com""]"
11,"WashingtonDC","Washington, D.C. (US)","Washington, D.C. (USA)","Washington, D.C. (USA)","ワシントンDC (US)","워싱턴 D.C. (미국)","Washington, D.C. (EUA)","Вашингтон","Washington D.C. (EE.UU.)","วอชิงตัน ดี.ซี. (US)","美國－華盛頓特區","[""wdc01.login.pathofexile.com""]",1,[],"WDC","WDC","WDC","WDC","WDC","WDC","WDC","WDC","WDC","華盛頓特區","[0,12]",0,1,"","[""wdc.speedtest.pathofexile.com""]"
12,"SanJose","California (US)","Californie (USA)","Kalifornien (USA)","カリフォルニア (US)","캘리포니아 (미국)","Califórnia (EUA)","Калифорния","California (EE.UU.)","แคลิฟอร์เนีย (US)","美國－加州","[""sjc01.login.pathofexile.com""]",1,[],"SJC","SJC","SJC","SJC","SJC","SJC","SJC","SJC","SJC","加州","[0,11]",0,2,"","[""sjc.speedtest.pathofexile.com""]"
13,"RussiaNO","Novosibirsk","Novossibirsk","Nowosibirsk","ノヴォシビルスク","노보시비르스크","Novosibirsk","Новосибирск","Novosibirsk","โนโวซีบีสค์","俄羅斯 - 新西伯利亞",[],"",[],"RUNO","RUNO","RUNO","RUNO","RUNO","RUNO","RUNO","RUNO","RUNO","俄新西伯利亞",[],8,14,"",[]
14,"RussiaVL","Vladivostok","Vladivostok","Wladiwostok","ウラジオストク","블라디보스토크","Vladivostok","Владивосток","Vladivostok","วลาดีวอสตอค","俄羅斯 - 海參崴",[],"",[],"RUVL","RUVL","RUWL","RUVL","RUVL","RUVL","RUVL","RUVL","RUVL","俄海參崴",[],8,15,"",[]
15,"RussiaAL","Almaty","Almaty","Almaty","アルマトイ","알마티","Almaty","Алматы","Alma-Ata","อัลมาเตอ","俄羅斯 - 阿拉木圖",[],"",[],"RUAL","RUAL","RUAL","RUAL","RUAL","RUAL","RUAL","RUAL","RUAL","俄阿拉木圖",[],8,16,"",[]
16,"Milan","Milan (EU)","Milan (UE)","Mailand (EU)","ミラノ (EU)","밀라노 (EU)","Milão (UE)","Милан","Milán (EU)","มิลาน (EU)","歐洲－米蘭","[""mil01.login.pathofexile.com""]",1,[],"MIL","MIL","MAI","MIL","MIL","MIL","MIL","MIL","MIL","米蘭","[10,1,9]",1,6,"","[""mil.speedtest.pathofexile.com""]"
17,"Brazil","Sao Paulo (BR)","Sao Paulo (BR)","Sao Paulo (BR)","サンパウロ","상파울루 (브라질)","São Paulo (BR)","Бразилия","San Pablo (BR)","เซาเปาลู (BR)","巴西 - 聖保羅","[""sao01.login.pathofexile.com""]",1,[],"BR","BR","BR","BR","BR","BR","BR","BR","BR","巴西","[0,11]",0,17,"","[""br.speedtest.pathofexile.com""]"
