"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","Tier","Command","Parameters","[rid]","HASH16","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","IsEnchant","LifeforceType","LifeforceCost","SacredCost","bool","Achievements","i32"
0,"ReforgeFire","<white>{Reforge} a Rare item with random modifiers, including a <craftingfire>{Fire} modifier","<white>{Remodèle} un Objet rare avec des modificateurs pris au hasard, dont un modificateur de <craftingfire>{feu}","<white>{Verändert} seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines <craftingfire>{Feuer}modifikators","レアアイテムを<white>{リフォージ}し、<craftingfire>{火}モッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 <white>{재련}해 <craftingfire>{화염} 속성을 포함하는 무작위 신규 속성 부여","<white>{Reforja} um item Raro com novos modificadores aleatórios, incluindo um modificador de <craftingfire>{Fogo}","<white>{Перековать} редкий предмет, наделяя его случайными свойствами, включая свойство <craftingfire>{огня}","<white>{Reforja} un objeto raro con mods. aleatorios que incluyen un mod. de <craftingfire>{fuego}","<white>{สุ่มม็อด} <craftingfire>{ไฟ} 1 อย่าง ให้กับ ​ไอเทม​แรร์ โดย​จะ​สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​ขึ้น​มา​ใหม่​","<white>{重鑄} 1 件有隨機詞綴的稀有物品，包含 1 個<craftingfire>{火焰} 詞綴",0,"reroll_with_mod","fire ON rare",[],41957,"Reforge a Rare item with random modifiers, including a Fire modifier","Remodèle un Objet rare avec des modificateurs pris au hasard, dont un modificateur de feu","Verändert einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines Feuermodifikators","レアアイテムをリフォージし、火モッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 재련해 화염 속성을 포함하는 무작위 신규 속성 부여","Reforja um item Raro com novos modificadores aleatórios, incluindo um modificador de Fogo","Перековать редкий предмет, наделяя его случайными свойствами, включая свойство огня","Reforja un objeto raro con mods. aleatorios que incluyen un mod. de fuego","สุ่มม็อด ไฟ 1 อย่าง ให้กับ ไอเทมแรร์ โดยจะสุ่มม็อดทุกอย่างบนไอเทมขึ้นมาใหม่","重鑄  1 件有隨機詞綴的稀有物品，包含 1 個火焰詞綴","",1,50,0,"",[9370],1
1,"ReforgeCold","<white>{Reforge} a Rare item with random modifiers, including a <craftingcold>{Cold} modifier","<white>{Remodèle} un Objet rare avec des modificateurs pris au hasard, dont un modificateur de <craftingcold>{froid}","<white>{Verändert} einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines <craftingcold>{Kälte}modifikators","レアアイテムを<white>{リフォージ}し、<craftingcold>{冷気}モッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 <white>{재련}해 <craftingcold>{냉기} 속성을 포함하는 무작위 신규 속성 부여","<white>{Reforja} um item Raro com novos modificadores aleatórios, incluindo um modificador de <craftingcold>{Gelo}","<white>{Перековать} редкий предмет, наделяя его случайными свойствами, включая свойство <craftingcold>{холода} ","<white>{Reforja} un objeto raro con mods. aleatorios que incluyen un mod. de <craftingcold>{hielo}","<white>{สุ่มม็อด} <craftingcold>{น้ำแข็ง} 1 อย่าง ให้กับ ​ไอเทม​แรร์ โดย​จะ​สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​ขึ้น​มา​ใหม่​","<white>{重鑄} 1 件有隨機詞綴的稀有物品，包含 1 個<craftingcold>{冰冷} 詞綴",0,"reroll_with_mod","cold ON rare",[],37294,"Reforge a Rare item with random modifiers, including a Cold modifier","Remodèle un Objet rare avec des modificateurs pris au hasard, dont un modificateur de froid","Verändert einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines Kältemodifikators","レアアイテムをリフォージし、冷気モッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 재련해 냉기 속성을 포함하는 무작위 신규 속성 부여","Reforja um item Raro com novos modificadores aleatórios, incluindo um modificador de Gelo","Перековать редкий предмет, наделяя его случайными свойствами, включая свойство холода ","Reforja un objeto raro con mods. aleatorios que incluyen un mod. de hielo","สุ่มม็อด น้ำแข็ง 1 อย่าง ให้กับ ไอเทมแรร์ โดยจะสุ่มม็อดทุกอย่างบนไอเทมขึ้นมาใหม่","重鑄  1 件有隨機詞綴的稀有物品，包含 1 個冰冷詞綴","",2,50,0,"",[9370],1
2,"ReforgeLightning","<white>{Reforge} a Rare item with random modifiers, including a <craftinglightning>{Lightning} modifier","<white>{Remodèle} un Objet rare avec des modificateurs pris au hasard, dont un modificateur de <craftinglightning>{foudre}","<white>{Verändert} einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines <craftinglightning>{Blitz}modifikators","レアアイテムを<white>{リフォージ}し、<craftinglightning>{雷}モッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 <white>{재련}해 <craftinglightning>{번개} 속성을 포함하는 무작위 신규 속성 부여","<white>{Reforja} um item Raro com novos modificadores aleatórios, incluindo um modificador de <craftinglightning>{Raio}","<white>{Перековать} редкий предмет, наделяя его случайными свойствами, включая свойство <craftinglightning>{молнии}","<white>{Reforja} un objeto raro con mods. aleatorios que incluyen un mod. de <craftinglightning>{rayo}","<white>{สุ่มม็อด} <craftinglightning>{สายฟ้า} 1 อย่าง ให้กับ ​ไอเทม​แรร์ โดย​จะ​สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​ขึ้น​มา​ใหม่​","<white>{重鑄} 1 件有隨機詞綴的稀有物品，包含 1 個<craftinglightning>{閃電} 詞綴",0,"reroll_with_mod","lightning ON rare",[],14935,"Reforge a Rare item with random modifiers, including a Lightning modifier","Remodèle un Objet rare avec des modificateurs pris au hasard, dont un modificateur de foudre","Verändert einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines Blitzmodifikators","レアアイテムをリフォージし、雷モッドを最低1個含むランダムなモッドを持つレアアイテムにする。","희귀 아이템을 재련해 번개 속성을 포함하는 무작위 신규 속성 부여","Reforja um item Raro com novos modificadores aleatórios, incluindo um modificador de Raio","Перековать редкий предмет, наделяя его случайными свойствами, включая свойство молнии","Reforja un objeto raro con mods. aleatorios que incluyen un mod. de rayo","สุ่มม็อด สายฟ้า 1 อย่าง ให้กับ ไอเทมแรร์ โดยจะสุ่มม็อดทุกอย่างบนไอเทมขึ้นมาใหม่","重鑄 1 件有隨機詞綴的稀有物品，包含 1 個閃電詞綴","",3,50,0,"",[9370],1
3,"ReforgePhysical","<white>{Reforge} a Rare item with random modifiers, including a <craftingphysical>{Physical} modifier","<white>{Remodèle} un Objet rare avec des modificateurs pris au hasard, dont un modificateur <craftingphysical>{physique}","<white>{Verändert} einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines <craftingphysical>{physischen} Modifikators","レアアイテムを<white>{リフォージ}し、<craftingphysical>{物理}モッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 <white>{재련}해 <craftingphysical>{물리} 속성을 포함하는 무작위 신규 속성 부여","<white>{Reforja} um item Raro com novos modificadores aleatórios, incluindo um modificador <craftingphysical>{Físico}","<white>{Перековать} редкий предмет, наделяя его случайными свойствами, включая <craftingphysical>{физическое} свойство","<white>{Reforja} un objeto raro con mods. aleatorios que incluyen un mod. <craftingphysical>{físico}","<white>{สุ่มม็อด} <craftingphysical>{กายภาพ} 1 อย่าง ให้กับ ​ไอเทม​แรร์ โดย​จะ​สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​ขึ้น​มา​ใหม่​","<white>{重鑄} 1 件有隨機詞綴的稀有物品，包含 1 個<craftingphysical>{物理} 詞綴",0,"reroll_with_mod","physical ON rare",[],28183,"Reforge a Rare item with random modifiers, including a Physical modifier","Remodèle un Objet rare avec des modificateurs pris au hasard, dont un modificateur physique","Verändert einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines physischen Modifikators","レアアイテムをリフォージし、物理モッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 재련해 물리 속성을 포함하는 무작위 신규 속성 부여","Reforja um item Raro com novos modificadores aleatórios, incluindo um modificador Físico","Перековать редкий предмет, наделяя его случайными свойствами, включая физическое свойство","Reforja un objeto raro con mods. aleatorios que incluyen un mod. físico","สุ่มม็อด กายภาพ 1 อย่าง ให้กับ ไอเทมแรร์ โดยจะสุ่มม็อดทุกอย่างบนไอเทมขึ้นมาใหม่","重鑄 1 件有隨機詞綴的稀有物品，包含 1 個物理詞綴","",2,50,0,"",[9370],1
4,"ReforgeLife","<white>{Reforge} a Rare item with random modifiers, including a <craftinglife>{Life} modifier","<white>{Remodèle} un Objet rare avec des modificateurs pris au hasard, dont un modificateur de <craftinglife>{Vie}","<white>{Verändert} einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines <craftinglife>{Lebens}modifikators","レアアイテムを<white>{リフォージ}し、<craftinglife>{ライフ}モッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 <white>{재련}해 <craftinglife>{생명력} 속성을 포함하는 무작위 신규 속성 부여","<white>{Reforja} um item Raro com novos modificadores aleatórios, incluindo um modificador de <craftinglife>{Vida}","<white>{Перековать} редкий предмет, наделяя его случайными свойствами, включая свойство <craftinglife>{здоровья}","<white>{Reforja}un objeto raro con mods. aleatorios que incluyen un mod. de <craftinglife>{vida}","<white>{สุ่มม็อด} <craftinglife>{พลังชีวิต} 1 อย่าง ให้กับ ​ไอเทม​แรร์ โดย​จะ​สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​ขึ้น​มา​ใหม่​","<white>{重鑄} 1 件有隨機詞綴的稀有物品，包含 1 個<craftinglife>{生命} 詞綴",0,"reroll_with_mod","life ON rare",[],20366,"Reforge a Rare item with random modifiers, including a Life modifier","Remodèle un Objet rare avec des modificateurs pris au hasard, dont un modificateur de Vie","Verändert einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines Lebensmodifikators","レアアイテムをリフォージし、ライフモッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 재련해 생명력 속성을 포함하는 무작위 신규 속성 부여","Reforja um item Raro com novos modificadores aleatórios, incluindo um modificador de Vida","Перековать редкий предмет, наделяя его случайными свойствами, включая свойство здоровья","Reforja un objeto raro con mods. aleatorios que incluyen un mod. de vida","สุ่มม็อด พลังชีวิต 1 อย่าง ให้กับ ไอเทมแรร์ โดยจะสุ่มม็อดทุกอย่างบนไอเทมขึ้นมาใหม่","重鑄 1 件有隨機詞綴的稀有物品，包含 1 個生命詞綴","",1,75,0,"",[9370],1
5,"ReforgeDefences","<white>{Reforge} a Rare item with random modifiers, including a <craftingdefences>{Defence} modifier","<white>{Remodèle} un Objet rare avec des modificateurs pris au hasard, dont un modificateur de <craftingdefences>{défense}","<white>{Verändert} einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines <craftingdefences>{Defensiv}modifikators","レアアイテムを<white>{リフォージ}し、<craftingdefences>{防御力}モッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 <white>{재련}해 <craftingdefences>{방어} 속성을 포함하는 무작위 신규 속성 부여","<white>{Reforja} um item Raro com novos modificadores aleatórios, incluindo um modificador de <craftingdefenses>{Defesa}","<white>{Перековать} редкий предмет, наделяя его случайными свойствами, включая свойство <craftingdefences>{защиты}","<white>{Reforja} un objeto raro con mods. aleatorios que incluyen un mod. de <craftingdefences>{defensa}","<white>{สุ่มม็อด} <craftingdefences>{ป้องกัน} 1 อย่าง ให้กับ ​ไอเทม​แรร์ โดย​จะ​สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​ขึ้น​มา​ใหม่​","<white>{重鑄} 1 件有隨機詞綴的稀有物品，包含 1 個<craftingdefences>{防禦} 詞綴",0,"reroll_with_mod","defences ON rare",[],23252,"Reforge a Rare item with random modifiers, including a Defence modifier","Remodèle un Objet rare avec des modificateurs pris au hasard, dont un modificateur de défense","Verändert einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines Defensivmodifikators","レアアイテムをリフォージし、防御力モッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 재련해 방어 속성을 포함하는 무작위 신규 속성 부여","Reforja um item Raro com novos modificadores aleatórios, incluindo um modificador de Defesa","Перековать редкий предмет, наделяя его случайными свойствами, включая свойство защиты","Reforja un objeto raro con mods. aleatorios que incluyen un mod. de defensa","สุ่มม็อด ป้องกัน 1 อย่าง ให้กับ ไอเทมแรร์ โดยจะสุ่มม็อดทุกอย่างบนไอเทมขึ้นมาใหม่","重鑄 1 件有隨機詞綴的稀有物品，包含 1 個防禦詞綴","",3,75,0,"",[9370],1
6,"ReforgeChaos","<white>{Reforge} a Rare item with random modifiers, including a <craftingchaos>{Chaos} modifier","<white>{Remodèle} un Objet rare avec des modificateurs pris au hasard, dont un modificateur de <craftingchaos>{chaos}","<white>{Verändert} einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines <craftingchaos>{Chaos}modifikators","レアアイテムを<white>{リフォージ}し、<craftingchaos>{混沌}モッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 <white>{재련}해 <craftingchaos>{카오스} 속성을 포함하는 무작위 신규 속성 부여","<white>{Reforja} um item Raro com novos modificadores aleatórios, incluindo um modificador de <craftingcaos>{Caos}","<white>{Перековать} редкий предмет, наделяя его случайными свойствами, включая свойство <craftingchaos>{хаоса}","<white>{Reforja} un objeto raro con mods. aleatorios que incluyen un mod. de <craftingchaos>{caos}","<white>{สุ่มม็อด} <craftingchaos>{เคออส} 1 อย่าง ให้กับ ​ไอเทม​แรร์ โดย​จะ​สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​ขึ้น​มา​ใหม่​","<white>{重鑄} 1 件有隨機詞綴的稀有物品，包含 1 個<craftingchaos>{混沌} 詞綴",0,"reroll_with_mod","chaos ON rare",[],65438,"Reforge a Rare item with random modifiers, including a Chaos modifier","Remodèle un Objet rare avec des modificateurs pris au hasard, dont un modificateur de chaos","Verändert einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines Chaosmodifikators","レアアイテムをリフォージし、混沌モッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 재련해 카오스 속성을 포함하는 무작위 신규 속성 부여","Reforja um item Raro com novos modificadores aleatórios, incluindo um modificador de Caos","Перековать редкий предмет, наделяя его случайными свойствами, включая свойство хаоса","Reforja un objeto raro con mods. aleatorios que incluyen un mod. de caos","สุ่มม็อด เคออส 1 อย่าง ให้กับ ไอเทมแรร์ โดยจะสุ่มม็อดทุกอย่างบนไอเทมขึ้นมาใหม่","重鑄 1 件有隨機詞綴的稀有物品，包含 1 個混沌詞綴","",2,100,0,"",[9370],1
7,"ReforgeAttack","<white>{Reforge} a Rare item with random modifiers, including an <craftingattack>{Attack} modifier","<white>{Remodèle} un Objet rare avec des modificateurs pris au hasard, dont un modificateur d'<craftingattack>{attaque}","<white>{Verändert} einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines <craftingattack>{Angriffs}modifikators","レアアイテムを<white>{リフォージ}し、<craftingattack>{アタック}モッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 <white>{재련}해 <craftingattack>{공격} 속성을 포함하는 무작위 신규 속성 부여","<white>{Reforja} um item Raro com novos modificadores aleatórios, incluindo um modificador de <craftingattack>{Ataque}","<white>{Перековать} редкий предмет, наделяя его случайными свойствами, включая свойство <craftingattack>{атак}","<white>{Reforja} un objeto raro con mods. aleatorios que incluyen un mod. de <craftingattack>{ataque}","<white>{สุ่มม็อด} <craftingattack>{โจมตี} 1 อย่าง ให้กับ ​ไอเทม​แรร์ โดย​จะ​สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​ขึ้น​มา​ใหม่​","<white>{重鑄} 1 件有隨機詞綴的稀有物品，包含 1 個<craftingattack>{攻擊} 詞綴",0,"reroll_with_mod","attack ON rare",[],32708,"Reforge a Rare item with random modifiers, including an Attack modifier","Remodèle un Objet rare avec des modificateurs pris au hasard, dont un modificateur d'attaque","Verändert einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines Angriffsmodifikators","レアアイテムをリフォージし、アタックモッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 재련해 공격 속성을 포함하는 무작위 신규 속성 부여","Reforja um item Raro com novos modificadores aleatórios, incluindo um modificador de Ataque","Перековать редкий предмет, наделяя его случайными свойствами, включая свойство атак","Reforja un objeto raro con mods. aleatorios que incluyen un mod. de ataque","สุ่มม็อด โจมตี 1 อย่าง ให้กับ ไอเทมแรร์ โดยจะสุ่มม็อดทุกอย่างบนไอเทมขึ้นมาใหม่","重鑄 1 件有隨機詞綴的稀有物品，包含 1 個攻擊詞綴","",1,75,0,"",[9370],1
8,"ReforgeSpell","<white>{Reforge} a Rare item with random modifiers, including a <craftingcaster>{Caster} modifier","<white>{Remodèle} un Objet rare avec des modificateurs pris au hasard, dont un modificateur de <craftingcaster>{lanceur de sorts}","<white>{Verändert} einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines <craftingcaster>{Zauber}modifikators","レアアイテムを<white>{リフォージ}し、<craftingcaster>{キャスター}モッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 <white>{재련}해 <craftingcaster>{시전} 속성을 포함하는 무작위 신규 속성 부여","<white>{Reforja} um item Raro com novos modificadores aleatórios, incluindo um modificador de <craftingcaster>{Conjuração}","<white>{Перековать} редкий предмет, наделяя его случайными свойствами, включая свойство <craftingcaster>{чар}","<white>{Reforja} un objeto raro con mods. aleatorios que incluyen un mod. de <craftingcaster>{lanzador de hechizos}","<white>{สุ่มม็อด} <craftingcaster>{นักเวท} 1 อย่าง ให้กับ ​ไอเทม​แรร์ โดย​จะ​สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​ขึ้น​มา​ใหม่​","<white>{重鑄} 1 件有隨機詞綴的稀有物品，包含 1 個<craftingcaster>{法術} 詞綴",0,"reroll_with_mod","caster ON rare",[],23060,"Reforge a Rare item with random modifiers, including a Caster modifier","Remodèle un Objet rare avec des modificateurs pris au hasard, dont un modificateur de lanceur de sorts","Verändert einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines Zaubermodifikators","レアアイテムをリフォージし、キャスターモッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 재련해 시전 속성을 포함하는 무작위 신규 속성 부여","Reforja um item Raro com novos modificadores aleatórios, incluindo um modificador de Conjuração","Перековать редкий предмет, наделяя его случайными свойствами, включая свойство чар","Reforja un objeto raro con mods. aleatorios que incluyen un mod. de lanzador de hechizos","สุ่มม็อด นักเวท 1 อย่าง ให้กับ ไอเทมแรร์ โดยจะสุ่มม็อดทุกอย่างบนไอเทมขึ้นมาใหม่","重鑄 1 件有隨機詞綴的稀有物品，包含 1 個法術詞綴","",3,75,0,"",[9370],1
9,"ReforgeSpeed","<white>{Reforge} a Rare item with random modifiers, including a <craftingspeed>{Speed} modifier","<white>{Remodèle} un Objet rare avec des modificateurs pris au hasard, dont un modificateur de <craftingspeed>{Vitesse}","<white>{Verändert} einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines <craftingspeed>{Geschwindigkeits}modifikators","レアアイテムを<white>{リフォージ}し、<craftingspeed>{スピード}モッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 <white>{재련}해 <craftingspeed>{속도} 속성을 포함하는 무작위 신규 속성 부여","<white>{Reforja} um item Raro com novos modificadores aleatórios, incluindo um modificador de <craftingspeed>{Velocidade}","<white>{Перековать} редкий предмет, наделяя его случайными свойствами, включая свойство <craftingspeed>{скорости}","<white>{Reforja} un objeto raro con mods. aleatorios que incluyen un mod. de <craftingspeed>{velocidad}","<white>{สุ่มม็อด} <craftingspeed>{ความเร็ว} 1 อย่าง ให้กับ ​ไอเทม​แรร์ โดย​จะ​สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​ขึ้น​มา​ใหม่​","<white>{重鑄} 1 件有隨機詞綴的稀有物品，包含 1 個<craftingspeed>{速度} 詞綴",0,"reroll_with_mod","speed ON rare",[],21212,"Reforge a Rare item with random modifiers, including a Speed modifier","Remodèle un Objet rare avec des modificateurs pris au hasard, dont un modificateur de Vitesse","Verändert einen seltenen Gegenstand mit zufälligen Modifikatoren, einschließlich eines Geschwindigkeitsmodifikators","レアアイテムをリフォージし、スピードモッドを最低1個含むランダムなモッドを持つレアアイテムにする","희귀 아이템을 재련해 속도 속성을 포함하는 무작위 신규 속성 부여","Reforja um item Raro com novos modificadores aleatórios, incluindo um modificador de Velocidade","Перековать редкий предмет, наделяя его случайными свойствами, включая свойство скорости","Reforja un objeto raro con mods. aleatorios que incluyen un mod. de velocidad","สุ่มม็อด ความเร็ว 1 อย่าง ให้กับ ไอเทมแรร์ โดยจะสุ่มม็อดทุกอย่างบนไอเทมขึ้นมาใหม่","重鑄 1 件有隨機詞綴的稀有物品，包含 1 個速度詞綴","",2,150,0,"",[9370],1
