"rownum","Id","bool","bool","rid","rid","bool","Icon","bool","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","Rooms","string","bool"
0,"Explore","","",235,234,"","","","","","","","","","","","","","[""Abandoned Library"",""Decrepit Cellar"",""Halls of Worship"",""Undercroft""]","[""Bibliothèque abandonnée"",""Cellier décrépit"",""Couloirs du culte"",""Sous-sol""]","[""Verlassene Bibliothek"",""Verfallener Keller"",""Gebetshalle"",""Gruft""]","[""放棄された図書館、老朽化した地下室、拝殿、聖堂地下室""]","[""버려진 도서관"",""낡은 저장실"",""숭배의 복도"",""둥근 지하실""]","[""Biblioteca Abandonada"",""Porão Decrépito"",""Salões da Adoração"",""Subsolo""]","[""Заброшенная библиотека"",""Ветхий подвал"",""Залы поклонения"",""Крипта""]","[""Biblioteca abandonada"",""Sótano destartalado"",""Salas de culto"",""Cámara subterránea""]","[""ห้องสมุดร้าง"",""ห้องใต้ดินเสื่อมโทรม"",""ห้องสักการะ"",""ห้องพิธีกรรมใต้ดิน""]","[""廢棄圖書館"",""老舊地窖"",""信奉廳堂"",""教堂之窖""]","[0,5]","",""
1,"Arena","",1,237,236,"","","","","","","","","","","","","","[""Templar Annals"",""Battleground"",""Infernum"",""Desecrated Crypts""]","[""Annales des Templiers"",""Champ de bataille"",""Infernum"",""Cryptes profanées""]","[""Annalen der Templer"",""Schlachtfeld"",""Infernum"",""Entweihte Krypta""]","[""テンプラーの年代記、戦場、下層、不浄な地下聖堂""]","[""템플러 실록"",""전장"",""불지옥"",""훼손된 지하실""]","[""Anais Templários"",""Campo de Batalha"",""Infernum"",""Criptas Profanadas""]","[""Летописи жрецов"",""Поле битвы"",""Инфернум"",""Оскверненные склепы""]","[""Anales templarios"",""Campo de batalla"",""Infernum"",""Criptas profanadas""]","[""ประวัติศาสตร์เทมพลาร์"",""สมรภูมิ"",""โลกันตร์"",""ห้องฝังศพผุพังใต้ดิน""]","[""聖殿編史"",""戰地"",""煉獄"",""褻瀆地窖""]","[1,5]","",""
2,"Lair","",1,237,236,"","","","","","","","","","","","","","[""Chambers of Inscription"",""Derelict Caverns"",""Unholy Lair"",""Lost Catacombs""]","[""Chambres des Inscriptions"",""Cavernes à l'abandon"",""Tanière impie"",""Catacombes perdues""]","[""Kammern der Inschrift"",""Verlassene Kavernen"",""Unheilige Höhle"",""Verwaiste Katakomben""]","[""碑文の広間、遺棄された洞窟、不浄な巣、失われた地下墓地""]","[""명문의 방"",""버려진 암굴"",""불경한 소굴"",""사라진 지하 묘지""]","[""Câmaras das Inscrições"",""Cavernas Abandonadas"",""Covil Profano"",""Catacumbas Perdidas""]","[""Залы писарей"",""Заброшенные пещеры"",""Нечестивое логово"",""Затерянные катакомбы""]","[""Cámaras de inscripción"",""Cavernas ruinosas"",""Guarida profana"",""Catacumbas perdidas""]","[""ห้องจารึก"",""ถ้ำร้าง"",""รังอธรรม"",""อุโมงค์ใต้ดินสาบสูญ""]","[""銘文室"",""棄坑"",""不潔巢穴"",""失落地下墓塚""]","[2,5]","",""
3,"Maze","","",235,234,"","","","","","","","","","","","","","[""Sacred Chronicles"",""Sacred Chronicles"",""Sacred Chronicles"",""Sacred Chronicles""]","[""Chroniques sacrées"",""Chroniques sacrées"",""Chroniques sacrées"",""Chroniques sacrées""]","[""Heilige Chroniken"",""Heilige Chroniken"",""Heilige Chroniken"",""Heilige Chroniken""]","[""聖なる記録、聖なる記録、聖なる記録、聖なる記録""]","[""신성한 연대기"",""신성한 연대기"",""신성한 연대기"",""신성한 연대기""]","[""Crônicas Sagradas"",""Crônicas Sagradas"",""Crônicas Sagradas"",""Crônicas Sagradas""]","[""Священные хроники"",""Священные хроники"",""Священные хроники"",""Священные хроники""]","[""Crónicas sagradas"",""Crónicas sagradas"",""Crónicas sagradas"",""Crónicas sagradas""]","[""บันทึกเหตุศักดิ์สิทธิ์"",""บันทึกเหตุศักดิ์สิทธิ์"",""บันทึกเหตุศักดิ์สิทธิ์"",""บันทึกเหตุศักดิ์สิทธิ์""]","[""神化史記"",""神化史記"",""神化史記"",""神化史記""]",[5],"",""
4,"Gauntlet","","",235,234,"","","","","","","","","","","","","","[""Holy Trials"",""Gauntlet"",""Crucible"",""Entombment""]","[""Épreuves saintes"",""Gantelet"",""Creuset"",""Sépulture""]","[""Heilige Prüfungen"",""Prüfung"",""Schmelztiegel"",""Grablegung""]","[""神聖なる苦難、挑戦、試練、埋葬""]","[""신성한 시련"",""시련"",""혹독한 시련"",""매몰지""]","[""Provações Sagradas"",""Gauntlet"",""Crisol"",""Sepultamento""]","[""Священные испытания"",""Вызов"",""Горнило"",""Погребение""]","[""Pruebas sagradas"",""Desafío"",""Reto"",""Enterramiento""]","[""บททดสอบธรรมะ"",""บททดสอบอันตราย"",""บททดสอบมหาภัย"",""บทสู่สุคติ""]","[""聖光試煉"",""冒險"",""酷刑"",""埋葬""]","[4,5]","",""
5,"Miniboss","",1,241,240,"","",1,"","","","","","","","","","","[""Scriptorium"",""Reliquary"",""Sanctum Bellum"",""Mausoleum""]","[""Scriptorium"",""Reliquaire"",""Sanctum Bellum"",""Mausolée""]","[""Skriptorium"",""Reliquienkammer"",""Sanktum-Raum des Kriegsrats"",""Mausoleum""]","[""写字室、聖廟、サンクタムの戦争、霊廟""]","[""필사실"",""성유물 보관실"",""전쟁의 성역"",""능묘""]","[""Escritório"",""Relicário"",""Bellum do Sanctum"",""Mausoléu""]","[""Скрипторий"",""Реликварий"",""Санктум Беллум"",""Некрополь""]","[""Sala del escriba"",""Relicario"",""Sala de guerra"",""Mausoleo""]","[""ห้องร่างอักษร"",""ห้องวัตถุโบราณ"",""ห้องการศึก"",""ห้องฝังศพ""]","[""墓影書坊"",""聖物間"",""聖域戰火"",""靜縊陵墓""]","[3,5,9]","",""
6,"Vault","","",235,234,"","","","","","","","","","","","","","[""Repository"",""Treasury"",""Forsaken Arcae"",""Templar Coffers""]","[""Dépôt"",""Trésor"",""Coffre-forts délaissés"",""Coffres des Templiers""]","[""Repositorium"",""Schatzkammer"",""Verlassene Arkaden"",""Templer-Schatztruhen""]","[""貯蔵所、宝庫、見捨てられたアーケイ、テンプラーの金庫""]","[""저장소"",""보물 창고"",""버림받은 귀중품 보관소"",""템플러 궤짝""]","[""Repositório"",""Tesouraria"",""Arca Abandonada"",""Cofres Templários""]","[""Хранилище"",""Сокровищница"",""Арки Отрекшихся"",""Сундуки жрецов""]","[""Depósito"",""Tesorería"",""Arcas olvidadas"",""Cofres templarios""]","[""ห้องเก็บของ"",""ห้องเก็บทรัพย์"",""ห้องเก็บสมบัติที่ถูกทอดทิ้ง"",""ห้องเก็บกำปั่นเทมพลาร์""]","[""展覽室"",""藏寶"",""被遺忘的文案"",""聖宗寶盒""]",[5],"",""
7,"Puzzle","","",239,238,"","","","","","","","","","","","","","[""Puzzle"",""Conundrum"",""Enigma"",""Quandary""]","[""Puzzle"",""Casse-tête"",""Énigme"",""Dilemme""]","[""Rätsel"",""Mysterium"",""Enigma"",""Zwickmühle""]","[""パズル、難問、謎、ジレンマ""]","[""퍼즐"",""난제"",""수수께끼"",""진퇴양난""]","[""Quebra-cabeças"",""Dilema"",""Impasse"",""Mistério""]","[""Головоломка"",""Загадка"",""Тайна"",""Затруднение""]","[""Puzle"",""Rompecabezas"",""Enigma"",""Dilema""]","[""ปริศนาชวนคิด"",""ปริศนาท้าทาย"",""ปริศนาลึกลับ"",""ปริศนาแสนฉงน""]","[""謎題"",""難題"",""謎物"",""未知""]",[5],"",""
8,"Boss","","",243,244,1,"",1,"","","","","","","","","","","[""Candlelit Chapel"",""Experimentation Chamber"",""Hall of Mirrors"",""Sanctum Sanctorum""]","[""Chapelle éclairée à la bougie"",""Chambre d'expérimentation"",""Couloirs des miroirs"",""Sanctum Sanctorum""]","[""Kerzenbeleuchtete Kapelle"",""Experimentierkammer"",""Spiegelsaal"",""Sanktum Sanktorum""]","[""蝋燭の灯された礼拝堂、実験室、鏡の間、サンクタム・サンクトラム""]","[""촛불 켜진 예배당"",""실험장"",""거울의 방"",""성역 지성소""]","[""Capela à Luz de Velas"",""Câmara das Experimentação"",""Salão Espelhado"",""Sanctum Sanctorum""]","[""Часовня при свечах"",""Комната для экспериментов"",""Зал зеркал"",""Санктум Санкторум""]","[""Capilla con velas"",""Cámara de experimentación"",""Salón de los espejos"",""Sanctasanctórum""]","[""ห้องสวดมนต์อาบเทียน"",""ห้องทดลอง"",""ห้องเรียงกระจก"",""สถานพำนักศักดิ์สิทธิ์""]","[""燭火禮拜堂"",""實驗室"",""鏡像幻廳"",""極聖之所""]",[6],"",""
9,"Merchant",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/MerchantIcon","","Contains Merchant","Contient un Marchand","Enthält Händler","商人がいる","상인 등장","Contém Mercador","Содержит торговца","Contiene un mercader","มี แม่ค้า","含有商人","[""Merchant"",""Merchant"",""Merchant"",""Merchant""]","[""Marchand"",""Marchand"",""Marchand"",""Marchand""]","[""Händler"",""Händler"",""Händler"",""Händler""]","[""商人、商人、商人、商人""]","[""상인"",""상인"",""상인"",""상인""]","[""Mercador"",""Mercador"",""Mercador"",""Mercador""]","[""Торговец"",""Торговец"",""Торговец"",""Торговец""]","[""Mercader"",""Mercader"",""Mercader"",""Mercader""]","[""แม่ค้า"",""แม่ค้า"",""แม่ค้า"",""แม่ค้า""]","[""商人"",""商人"",""商人"",""商人""]",[],"",""
