"rownum","Id","Event","i32","i32","Goddess_CharacterTextAudioKeys","JackTheAxe_CharacterTextAudioKeys","bool","bool"
0,"EnterLioneyesWatch",124,4000,0,[],[],"",""
1,"EnterCannibalBay",125,4000,0,[],[],"",""
2,"EnterTidalIsland",126,4000,0,[],[],"",""
3,"EnterMudFlats",30,4000,0,[],[],"",""
4,"EnterFetidPool",127,4000,0,[],[],"",""
5,"EnterSubmergedPassage",27,4000,0,[],[],"",""
6,"EnterFloodedDepths",128,4000,0,[],[],"",""
7,"EnterLedge",3,4000,0,[],[],"",""
8,"EnteringSavageClimb",129,4000,0,[],[],"",""
9,"EnterPrison",130,4000,0,[],[],"",""
10,"EnterWardensChamber",514,5000,0,[],[],"",""
11,"EnterPrisonersGate",26,4000,0,[],[],"",""
12,"EnterShipGraveyard",33,4000,0,[],[],"",""
13,"EnterShipCave",131,4000,0,[],[],"",""
14,"EnterCavernOfWrath",132,4000,0,[],[],"",""
15,"EnterSouthernForest",10,4000,0,[],[],"",""
16,"EnterForestEncampment",133,4000,0,[],[],"",""
17,"EnterOldFields",134,4000,0,[],[],"",""
18,"EnterDen",135,4000,0,[],[],"",""
19,"EnterCrossroads",136,4000,0,[],[],"",""
20,"EnterFellshrineRuins",147,4000,0,[],[],"",""
21,"EnterFellshrineCrypt",138,4000,0,[],[],"",""
22,"EnterChamberofSins",101,4000,0,[],[],"",""
23,"EnterRiverways",139,4000,0,[],[],"",""
24,"EnterNorthernForest",140,4000,0,[],[],"",""
25,"EnterWeaversChambers",142,4000,0,[],[],"",""
26,"EnterWesternForest",141,4000,0,[],[],"",""
27,"EnterVaalRuins",143,4000,0,[],[],"",""
28,"EnterWetlands",144,4000,0,[],[],"",""
29,"EnterWaterfallCave",146,4000,0,[],[],"",""
30,"EnterCityOfSarn",149,4000,0,[],[527],"",""
31,"EnterSarnEncampment",150,4000,0,[],[],"",""
32,"EnterSlums",151,4000,0,[],[],"",""
33,"EnterCrematorium1",152,3000,0,[],[],"",""
34,"EnterSewerAqueduct",159,4000,0,[],[],"",""
35,"EnterMarkets",154,4000,0,[],[],"",""
36,"EnterCatacombs",155,4000,0,[],[],"",""
37,"EnterBattleFront",156,4000,0,[],[],"",""
