"rownum","BaseItemTypesKey","SpawnWeight","Cost","MinDepth","IsEnabled","i32","i32"
0,279,100,300,0,1,1,600
1,280,100,750,0,1,1,1500
2,281,100,3750,0,1,1,7500
3,242,100,1000,0,"",0,2000
4,243,100,1000,0,"",0,2000
5,244,100,1000,0,"",0,2000
6,245,100,1000,0,"",0,2000
7,246,100,1000,0,"",0,2000
8,247,100,1000,0,"",0,2000
9,248,100,1000,0,"",0,2000
10,249,40,10000,19,"",0,20000
11,250,40,10000,19,"",0,20000
12,251,40,10000,19,"",0,20000
13,252,40,10000,19,"",0,20000
14,253,40,10000,19,"",0,20000
15,254,40,10000,19,"",0,20000
16,255,40,10000,19,"",0,20000
17,256,40,10000,19,"",0,20000
18,257,40,10000,19,"",0,20000
19,258,40,10000,19,"",0,20000
20,259,10,1000000,75,"",0,2000000
21,260,10,1000000,75,"",0,2000000
22,261,10,1000000,75,"",0,2000000
23,262,10,1000000,75,"",0,2000000
24,263,10,1000000,75,"",0,2000000
25,264,10,1000000,75,"",0,2000000
26,265,10,100000,35,"",0,200000
27,266,10,100000,35,"",0,200000
28,275,100,300,0,1,2,600
29,276,100,750,0,1,2,1500
30,277,100,3750,0,1,2,7500
