"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
0,0,"Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀"
1,1,"Shield Skin","Apparence de bouclier","Schild-Skin","盾スキン","방패 스킨","Visual de Escudo","Внешний вид щита","Aspecto para escudo","สกินโล่","護盾外觀"
2,2,"Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效"
3,3,"Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito Adicional de Arma","Добавочный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效"
4,4,"Armour Skin","Apparence d'armure","Körperrüstung-Skin","鎧スキン","방어구 스킨","Visual de Armadura","Внешний вид брони","Aspecto para armadura","สกินเกราะ","護甲外觀"
5,5,"Armour Attachment","Accessoire d'armure","Körperrüstungszusatz","鎧装飾品","방어구 부착물","Adorno Dorsal","Заплечное украшение","Accesorio para armadura","แฟชั่นติดหลัง","護甲外觀附加"
6,6,"Helmet Skin","Apparence de casque","Helm-Skin","兜スキン","투구 스킨","Visual de Elmo","Внешний вид шлема","Aspecto para casco","สกินหมวก","頭部外觀"
7,7,"Helmet Attachment","Accessoire de casque","Helmzusatz","兜装飾品","투구 부착물","Acessório de Elmo","Эффект шлема","Accesorio para casco","แฟชั่นติดหมวก","頭部外觀附加"
8,8,"Gloves Skin","Apparence de gants","Handschuhe-Skin","手袋スキン","장갑 스킨","Visual de Luvas","Внешний вид перчаток","Aspecto para guantes","สกินถุงมือ","手部外觀"
9,9,"Boots Skin","Apparence de bottes","Stiefel-Skin","靴スキン","장화 스킨","Visual de Botas","Внешний вид обуви","Aspecto para botas","สกินรองเท้า","腳部外觀"
10,10,"Footprints","Empreintes de pas","Fußspuren","足跡","발자국","Pegadas","Следы","Huellas","รอยเท้า","行走特效"
11,11,"Portal","Portail","Portaleffekt","ポータル","포탈","Portal","Портал","Portal","วาร์ป","時空之門"
12,12,"Social Frame","Cadre de portrait","Portraitrahmen","ソーシャルフレーム","소셜 액자","Moldura","Портретная рамка","Marco social","กรอบรูปตัวละคร","肖像外框"
13,13,"Portrait","Portrait","Portrait","ポートレートフレーム","초상화","Quadro","Портрет","Retrato","ภาพตัวละคร","頭像"
14,14,"Pet","Familier","Begleiter","ペット","애완동물","Mascote","Питомец","Mascota","สัตว์เลี้ยง","寵物"
15,15,"Apparition","Apparition","Erscheinung","幻影","유령","Aparição","Временный эффект","Aparición","ร่างเงา","項鍊特效"
16,16,"Character Effect","Effet de personnage","Charaktereffekt","キャラクターエフェクト","캐릭터 이펙트","Efeito de Personagem","Эффект персонажа","Efecto para el personaje","เอฟเฟคตัวละคร","角色特效"
17,17,"Skill Gem Effect","Effet d'aptitude","Fertigkeitseffekt","スキルジェムエフェクト","스킬 젬 이펙트","Efeito de Gema de Habilidade","Эффект камня умения","Efecto para gema de habilidad","เอฟเฟคหินสกิล","技能寶石特效"
18,18,"Dance","Danse","Tanz","踊り","춤","Dança","Танец","Baile","การเต้นรำ","跳舞"
19,19,"Consumable","Consommable","Verbrauchbar","消耗品","소모품","Consumível","Расходуемое","Consumible","ใช้แล้วหมดไป","消耗品"
20,20,"Hideout Item","Objet de Repaire","Versteck-Dekoration","隠れ家アイテム","은신처 아이템","Item de Refúgio","Предмет для убежища","Objeto de guarida","ไอเทมที่ซ่อน","藏身處物品"
21,21,"Miscellaneous","Divers","Sonstiges","その他","기타","Genérico","Разное","Misceláneo","อื่นๆ","其它"
22,22,"Helmet Skin / Attachment","Apparence & accessoire de casque","Helm-Skin/-zusatz","兜スキン / 装飾品","투구 스킨 / 부착물","Visual / Acessório de Elmo","Внешний вид / Эффект шлема","Aspecto / Accesorio para casco","สกิน/แฟชั่นติดหมวก","頭部外觀 / 特效"
23,23,"Cursor","Curseur","Cursor","カーソル","커서","Cursor","Курсор","Cursor","เคอร์เซอร์","鼠標"
24,24,"Amulet Skin","Apparence d'amulette","Amulett-Skin","アミュレットスキン","목걸이 스킨","Visual de Amuleto","Внешний вид амулета","Aspecto para amuleto","สกินสร้อย","項鍊外觀"
25,25,"Belt Skin","Apparence de ceinture","Gürtel-Skin","ベルトスキン","허리띠 스킨","Visual de Cinto","Внешний вид пояса","Aspecto para cinturón","สกินเข็มขัด","腰帶外觀"
26,26,"Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀"
27,27,"Passive Jewel Skin","Apparence de Joyau de talent","Juwel-Skin","パッシブジュエルスキン","패시브 주얼 스킨","Visual de Joia Passiva","Внешний вид самоцвета","Aspecto para joya pasiva","สกินจิวเวลพาสซีฟ","天賦珠寶外觀"
28,28,"Ring Skin","Apparence de bague","Ring-Skin","指輪スキン","반지 스킨","Visual de Anel","Внешний вид кольца","Aspecto para anillo","สกินแหวน","戒指外觀"
29,29,"Hip Attachment","Accessoire à la hanche","Hüftzusatz","腰装飾品","허리 부착물","Acessório de Cintura","Набедренное украшение","Accesorio para la cadera","แฟชั่นติดสะโพก","臀部附加"
30,30,"Alternate Charge Skin","Apparence de Charges alternatives","Ladungen-Skin","オルタネートチャージスキン","대체 충전 스킨","Visual Alternativo de Carga","Внешний вид зарядов","Aspecto alternativo para cargas","สกินชาร์จแบบพิเศษ","替代能量球外觀"
