"rownum","Id","BuffDefinitionsKey1","rid","StatValues","i32","[i32]","i32","i32","i32","Friendly_MonsterVarietiesKey","MiscObjectsKey","MiscAnimatedKey","BuffVisualsKey","Enemy_MonsterVarietiesKey","i32","i32","i32","BuffDefinitionsKey2","IsOnlySpawningNearPlayer"
0,"crit_storm",423,"","[1,0]",0,[],0,0,5000,"",79,612,446,"",0,0,10000,"",""
1,"crit_storm_normal",423,"","[1,0]",0,[],0,0,8000,"",79,612,446,"",0,0,10000,"",""
2,"uber_crit_storm",424,"","[1,1,0]",0,[],-55,0,5000,"",79,612,446,"",0,0,15000,"",""
3,"replenishing_storm",425,"","[600,600]",0,[],-35,0,5000,"",76,609,443,"",0,0,2000,"",""
4,"echoing_storm",426,"","[50,50,1]",0,[],0,0,8000,"",74,605,441,"",0,0,20000,"",""
5,"divine_storm",427,"",[1],0,[],-35,0,5000,"",71,604,416,"",0,0,5000,"",""
6,"rarity_storm",428,"","[600,300,120,30]",0,[],-15,0,5000,"",71,604,416,"",0,0,5000,"",""
7,"uber_rarity_storm",429,"","[1200,600,420,70]",0,[],-35,0,5000,"",71,604,416,"",0,0,5000,"",""
8,"massive_storm",430,"","[30,-30,50,300]",0,[],-35,0,5000,"",73,606,440,"",0,0,20000,"",""
9,"massive_storm_normal",430,"","[30,-30,50,300]",0,[],-35,0,8000,"",73,606,440,"",0,0,20000,"",""
10,"tiny_storm",431,"","[-30,30,-50]",0,[],-35,0,5000,"",72,607,439,"",0,0,5000,"",""
11,"tiny_storm_normal",431,"","[-30,30,-50]",0,[],-35,0,8000,"",72,607,439,"",0,0,5000,"",""
12,"fire_damage_storm",432,"","[50,50,100,0]",36,"[1,2,10]",-15,0,8000,"",81,614,449,"",0,0,20000,"",""
13,"fire_damage_storm_normal",432,"","[50,50,100,0]",36,"[1,2,10]",-15,0,10000,"",81,614,449,"",0,0,15000,"",""
14,"cold_damage_storm",433,"","[50,50,100,0,0]",36,"[1,2,10]",-15,0,8000,"",80,613,448,"",0,0,20000,"",""
15,"cold_damage_storm_normal",433,"","[50,50,100,-50,0]",36,"[1,2,10]",-15,0,10000,"",80,613,448,"",0,0,15000,"",""
16,"freezing_storm",2,"",[-100],0,[],-55,-25,1500,"",80,613,448,"",0,0,1000,"",""
17,"lightning_damage_storm",434,"","[50,50,100,0]",36,"[1,2,10]",-15,0,8000,"",82,615,450,"",0,0,20000,"",""
18,"lightning_damage_storm_normal",434,"","[50,50,100,0]",36,"[1,2,10]",-15,0,10000,"",82,615,450,"",0,0,15000,"",""
19,"vaal_grace_storm",156,"","[0,25,25,0,0,0,0,0]",36,"[1,2,10]",0,0,5000,"",72,607,439,"",0,0,5000,"",""
20,"vaal_discipline_storm",157,"","[0,1000,1,0,0,0,0,0]",36,"[1,2,10]",0,0,5000,"",74,605,441,"",0,0,5000,"",""
21,"vaal_haste_storm",158,"","[0,30,30,30,0,0,0,0,0]",36,"[1,2,10]",0,0,5000,"",71,604,416,"",0,0,10000,"",""
22,"gluttony_of_elements_storm",389,"","[1,0,1,0,0,0,0,0]",36,"[1,2,10]",-35,0,5000,"",73,606,440,"",0,0,5000,"",""
23,"smoke_trail_storm",435,"",[],0,[],0,0,8000,4435,72,607,439,4452,0,0,20000,"",1
24,"phasing_storm",440,"","[1,25]",0,[],-15,0,5000,"",78,611,445,"",0,0,5000,"",""
25,"corpse_devour_storm",436,"",[],0,[],15,0,5000,4436,73,606,440,"",0,0,10000,"",""
26,"proximity_shield_storm",233,"",[25],0,[],0,0,5000,2754,71,604,416,"",0,0,20000,"",""
27,"projectile_nova_storm",437,"","[1,4,70]",0,[],0,0,8000,"",78,611,445,"",0,0,20000,"",""
28,"projectile_nova_storm_normal",437,"","[1,4,70]",0,[],0,0,10000,"",78,611,445,"",0,0,20000,"",""
29,"veil_storm",438,"","[1,-40]",0,[],-15,-25,5000,"",74,605,441,"",0,0,5000,"",""
30,"voltaxic_storm",439,"","[50,50,50,50,0]",0,[],0,0,8000,"",77,610,444,"",0,0,5000,"",""
31,"soul_eater_storm",267,"","[1,5,5,5,1]",50,"[2,3]",-15,-25,10000,"",75,608,442,"",0,0,20000,453,""
32,"environment_fireskills_storm","","",[],0,[],-35,-25,45000,"",81,614,449,4441,0,0,45000,"",1
33,"environment_uber_fireskills_storm","","",[],0,[],-55,-25,45000,"",81,614,449,4442,0,0,45000,"",1
34,"environment_coldskills_storm","","",[],0,[],-35,-25,45000,"",80,613,448,4443,0,0,45000,"",1
