"rownum","Id","WorldAreasKey","MonsterVarietiesKeys","[i32]"
0,"ProxyKey1",6,"[1222,1223,1224]","[78,0,122,0,160]"
1,"ProxyKey2",7,[1054],"[78,0,122]"
2,"ProxyKey3",16,[472],"[446,0,480]"
3,"ProxyKey16",33,[944],"[630,0]"
4,"ProxyKey17",36,[1066],[764]
5,"ProxyKey11",47,"[1505,1506]","[862,0]"
6,"ProxyKey13",49,[1894],[984]
7,"ProxyKey229",129,"[1911,1989,2036,1534,1608,3039]",[1152]
8,"ProxyKey8",483,"[4693,4692,4695]",[1274]
9,"ProxyKey15",484,"[4693,4692,4695]",[1274]
10,"ProxyKey18",485,"[4693,4692,4695]",[1274]
11,"ProxyKey19",486,"[4693,4692,4695]",[1274]
12,"ProxyKey21",487,"[4693,4692,4695]",[1274]
13,"ProxyKey22",488,"[4693,4692,4695]",[1274]
14,"ProxyKey31",489,"[4693,4692,4695]",[1274]
15,"ProxyKey32",490,"[4693,4692,4695]",[1274]
16,"ProxyKey33",491,"[4693,4692,4695]",[1274]
17,"ProxyKey34",492,"[4693,4692,4695]",[1274]
18,"ProxyKey36",493,"[4693,4692,4695]",[1274]
19,"ProxyKey37",483,[4712],[2158]
20,"ProxyKey43",484,[4712],[2158]
21,"ProxyKey44",485,[4712],[2158]
22,"ProxyKey7",486,[4712],[2158]
23,"ProxyKey12",487,[4712],[2158]
24,"ProxyKey20",488,[4712],[2158]
25,"ProxyKey23",489,[4712],[2158]
26,"ProxyKey26",490,[4712],[2158]
27,"ProxyKey29",491,[4712],[2158]
28,"ProxyKey35",492,[4712],[2158]
29,"ProxyKey39",493,[4712],[2158]
30,"ProxyKey51",556,"[4693,4692,4695]",[1274]
31,"ProxyKey52",557,"[4693,4692,4695]",[1274]
32,"ProxyKey53",558,"[4693,4692,4695]",[1274]
33,"ProxyKey54",559,"[4693,4692,4695]",[1274]
34,"ProxyKey55",560,"[4693,4692,4695]",[1274]
35,"ProxyKey56",561,"[4693,4692,4695]",[1274]
36,"ProxyKey57",562,"[4693,4692,4695]",[1274]
37,"ProxyKey58",563,"[4693,4692,4695]",[1274]
38,"ProxyKey59",564,"[4693,4692,4695]",[1274]
39,"ProxyKey60",565,"[4693,4692,4695]",[1274]
40,"ProxyKey61",566,"[4693,4692,4695]",[1274]
41,"ProxyKey65",556,[4712],[2158]
42,"ProxyKey68",557,[4712],[2158]
43,"ProxyKey70",558,[4712],[2158]
44,"ProxyKey71",559,[4712],[2158]
45,"ProxyKey72",560,[4712],[2158]
46,"ProxyKey73",561,[4712],[2158]
47,"ProxyKey74",562,[4712],[2158]
48,"ProxyKey75",563,[4712],[2158]
49,"ProxyKey76",564,[4712],[2158]
50,"ProxyKey77",565,[4712],[2158]
51,"ProxyKey78",566,[4712],[2158]
52,"ProxyKey79",628,"[4693,4692,4695]",[1274]
53,"ProxyKey80",629,"[4693,4692,4695]",[1274]
54,"ProxyKey81",630,"[4693,4692,4695]",[1274]
55,"ProxyKey82",631,"[4693,4692,4695]",[1274]
56,"ProxyKey83",632,"[4693,4692,4695]",[1274]
57,"ProxyKey84",633,"[4693,4692,4695]",[1274]
58,"ProxyKey45",634,"[4693,4692,4695]",[1274]
59,"ProxyKey46",635,"[4693,4692,4695]",[1274]
60,"ProxyKey47",636,"[4693,4692,4695]",[1274]
61,"ProxyKey48",637,"[4693,4692,4695]",[1274]
62,"ProxyKey49",638,"[4693,4692,4695]",[1274]
63,"ProxyKey50",628,[4712],[2158]
64,"ProxyKey85",629,[4712],[2158]
65,"ProxyKey86",630,[4712],[2158]
66,"ProxyKey87",631,[4712],[2158]
67,"ProxyKey88",632,[4712],[2158]
68,"ProxyKey89",633,[4712],[2158]
69,"ProxyKey90",634,[4712],[2158]
70,"ProxyKey91",635,[4712],[2158]
71,"ProxyKey92",636,[4712],[2158]
72,"ProxyKey93",637,[4712],[2158]
73,"ProxyKey94",638,[4712],[2158]
74,"ProxyKey95",700,"[4693,4692,4695]",[1274]
75,"ProxyKey96",701,"[4693,4692,4695]",[1274]
76,"ProxyKey97",702,"[4693,4692,4695]",[1274]
77,"ProxyKey98",703,"[4693,4692,4695]",[1274]
78,"ProxyKey99",704,"[4693,4692,4695]",[1274]
79,"ProxyKey100",705,"[4693,4692,4695]",[1274]
80,"ProxyKey101",706,"[4693,4692,4695]",[1274]
81,"ProxyKey102",707,"[4693,4692,4695]",[1274]
82,"ProxyKey103",708,"[4693,4692,4695]",[1274]
83,"ProxyKey104",709,"[4693,4692,4695]",[1274]
84,"ProxyKey105",710,"[4693,4692,4695]",[1274]
85,"ProxyKey106",700,[4712],[2158]
86,"ProxyKey107",701,[4712],[2158]
87,"ProxyKey108",702,[4712],[2158]
88,"ProxyKey109",703,[4712],[2158]
89,"ProxyKey110",704,[4712],[2158]
90,"ProxyKey111",705,[4712],[2158]
91,"ProxyKey112",706,[4712],[2158]
92,"ProxyKey113",707,[4712],[2158]
93,"ProxyKey114",708,[4712],[2158]
94,"ProxyKey115",709,[4712],[2158]
95,"ProxyKey116",710,[4712],[2158]
96,"ProxyKey40",517,"[4693,4692,4695]",[1274]
97,"ProxyKey5",518,"[4693,4692,4695]",[1274]
98,"ProxyKey6",519,"[4693,4692,4695]",[1274]
99,"ProxyKey9",520,"[4693,4692,4695]",[1274]
100,"ProxyKey10",521,"[4693,4692,4695]",[1274]
101,"ProxyKey14",522,"[4693,4692,4695]",[1274]
102,"ProxyKey117",523,"[4693,4692,4695]",[1274]
103,"ProxyKey118",524,"[4693,4692,4695]",[1274]
104,"ProxyKey119",525,"[4693,4692,4695]",[1274]
105,"ProxyKey120",526,"[4693,4692,4695]",[1274]
106,"ProxyKey121",527,"[4693,4692,4695]",[1274]
107,"ProxyKey62",517,"[4688,4689,4690,4691,4696,4697]","[7942,0]"
108,"ProxyKey63",518,"[4688,4689,4690,4691,4696,4697]","[7942,0]"
109,"ProxyKey64",519,"[4688,4689,4690,4691,4696,4697]","[7942,0]"
110,"ProxyKey66",520,"[4688,4689,4690,4691,4696,4697]","[7942,0]"
111,"ProxyKey67",521,"[4688,4689,4690,4691,4696,4697]","[7942,0]"
112,"ProxyKey69",522,"[4688,4689,4690,4691,4696,4697]","[7942,0]"
113,"ProxyKey42",523,"[4688,4689,4690,4691,4696,4697]","[7942,0]"
114,"ProxyKey122",524,"[4688,4689,4690,4691,4696,4697]","[7942,0]"
115,"ProxyKey123",525,"[4688,4689,4690,4691,4696,4697]","[7942,0]"
116,"ProxyKey124",526,"[4688,4689,4690,4691,4696,4697]","[7942,0]"
117,"ProxyKey125",527,"[4688,4689,4690,4691,4696,4697]","[7942,0]"
118,"ProxyKey38",517,[4712],[2158]
119,"ProxyKey24",518,[4712],[2158]
120,"ProxyKey25",519,[4712],[2158]
121,"ProxyKey27",520,[4712],[2158]
122,"ProxyKey28",521,[4712],[2158]
123,"ProxyKey30",522,[4712],[2158]
124,"ProxyKey41",523,[4712],[2158]
125,"ProxyKey126",524,[4712],[2158]
126,"ProxyKey127",525,[4712],[2158]
127,"ProxyKey128",526,[4712],[2158]
128,"ProxyKey129",527,[4712],[2158]
129,"ProxyKey130",589,"[4693,4692,4695]",[1274]
130,"ProxyKey131",590,"[4693,4692,4695]",[1274]
131,"ProxyKey132",591,"[4693,4692,4695]",[1274]
132,"ProxyKey133",592,"[4693,4692,4695]",[1274]
133,"ProxyKey134",593,"[4693,4692,4695]",[1274]
134,"ProxyKey135",594,"[4693,4692,4695]",[1274]
135,"ProxyKey136",595,"[4693,4692,4695]",[1274]
136,"ProxyKey137",596,"[4693,4692,4695]",[1274]
137,"ProxyKey138",597,"[4693,4692,4695]",[1274]
138,"ProxyKey139",598,"[4693,4692,4695]",[1274]
139,"ProxyKey140",599,"[4693,4692,4695]",[1274]
140,"ProxyKey141",589,"[4688,4689,4690,4691,4696,4697]","[7942,0]"
141,"ProxyKey142",590,"[4688,4689,4690,4691,4696,4697]","[7942,0]"
142,"ProxyKey143",591,"[4688,4689,4690,4691,4696,4697]","[7942,0]"
143,"ProxyKey144",592,"[4688,4689,4690,4691,4696,4697]","[7942,0]"
144,"ProxyKey145",593,"[4688,4689,4690,4691,4696,4697]","[7942,0]"
