"rownum","rid","rid","bool","i32","bool","bool"
0,16283,29,1,0,1,""
1,16287,30,1,0,1,""
2,16288,30,1,0,1,""
3,17657,33,1,0,1,""
4,16896,37,"",16777216,1,1
5,17699,40,"",16777216,"",""
6,17906,39,"",16777216,"",""
7,17983,42,"",0,"",""
8,18409,51,"",16777216,"",""
9,18472,53,"",16777216,1,1
10,18532,54,"",0,1,""
11,18560,55,"",0,"",""
12,18772,56,"",0,1,""
13,18774,57,"",0,"",""
14,18790,58,"",0,1,""
15,18879,60,"",0,1,""
16,18887,61,"",0,1,""
17,18888,61,"",0,1,""
18,18890,62,"",0,1,""
19,18913,63,1,0,1,""
20,18751,65,"",0,1,""
21,18750,65,"",0,1,""
22,18748,68,"",0,1,""
