"rownum","Id","SpawnChance","MinLevel","MaxLevel","Tier4Number","i32","Tier3Number","i32","Tier2Number","i32","Tier1Number"
0,"Warbands1",100,2,7,0,0,0,0,0,0,2
1,"Warbands2",100,25,40,0,0,0,0,0,0,3
2,"Warbands3",100,41,55,0,0,0,0,0,0,4
3,"Warbands4",100,56,67,0,0,0,0,0,0,4
4,"Warbands5",20,68,100,0,0,0,0,0,0,5
5,"Warbands6",100,10,24,0,0,0,0,1,100,2
6,"Warbands7",100,10,24,0,0,0,0,1,100,3
7,"Warbands8",100,25,40,0,0,0,0,1,100,2
8,"Warbands9",100,25,40,0,0,0,0,1,100,3
9,"Warbands10",100,25,40,0,0,0,0,2,100,2
10,"Warbands11",100,41,55,0,0,0,0,1,100,3
11,"Warbands12",100,41,55,0,0,0,0,1,100,4
12,"Warbands13",100,41,55,0,0,0,0,2,100,2
13,"Warbands14",100,56,67,0,0,0,0,1,100,3
14,"Warbands15",100,56,67,0,0,0,0,1,100,4
15,"Warbands16",100,56,67,0,0,0,0,2,100,2
16,"Warbands17",30,68,100,0,0,0,0,1,100,4
17,"Warbands18",30,68,100,0,0,0,0,2,100,3
18,"Warbands19",30,68,100,0,0,0,0,2,100,2
19,"Warbands20",100,41,55,0,0,1,100,1,100,2
20,"Warbands21",100,41,55,0,0,1,100,2,100,1
21,"Warbands22",100,41,55,0,0,1,100,0,0,3
22,"Warbands23",100,56,67,0,0,1,100,1,100,2
23,"Warbands24",100,56,67,0,0,1,100,2,100,1
24,"Warbands25",100,56,67,0,0,1,100,0,0,3
25,"Warbands26",100,56,67,0,0,2,100,1,100,1
26,"Warbands27",40,68,100,0,0,1,100,1,100,2
27,"Warbands28",40,68,100,0,0,1,100,2,100,1
28,"Warbands29",40,68,100,0,0,1,100,0,0,3
29,"Warbands30",40,68,100,0,0,2,100,1,100,1
30,"Warbands31",40,68,100,0,0,2,100,1,100,2
31,"Warbands32",40,68,100,0,0,1,100,2,100,2
32,"Warbands33",40,68,100,0,0,1,100,1,100,3
33,"Warbands34",100,56,67,1,100,1,100,1,100,2
34,"Warbands35",100,56,67,1,100,1,100,2,100,1
35,"Warbands36",100,56,67,1,100,1,100,0,0,3
36,"Warbands37",100,56,67,1,100,2,100,1,100,1
37,"Warbands38",100,68,100,1,100,1,100,1,100,2
38,"Warbands39",100,68,100,1,100,1,100,2,100,1
39,"Warbands40",100,68,100,1,100,1,100,0,0,3
40,"Warbands41",100,68,100,1,100,2,100,1,100,1
41,"Warbands42",100,68,100,1,100,2,100,1,100,2
42,"Warbands43",100,68,100,1,100,1,100,2,100,2
43,"Warbands44",100,68,100,1,100,1,100,1,100,3
44,"Warbands45",100,8,24,0,0,0,0,0,0,3
