"rownum","MonsterSpawnerGroupsKey","MinLevel","i32","i32","i32"
0,0,1,2,30,100
1,0,10,3,30,100
2,0,20,3,30,100
3,0,40,3,30,100
4,0,60,4,30,100
5,0,70,4,30,100
6,0,80,4,30,100
7,1,1,1,40,100
8,1,10,1,40,100
9,1,20,1,40,100
10,1,40,1,40,100
11,1,60,2,40,100
12,1,70,2,40,100
13,1,80,2,40,100
14,2,1,5,10,65
15,2,30,6,10,65
16,2,60,8,10,85
17,3,1,1,5,15
18,3,40,2,5,25
19,4,1,1,20,45
20,4,8,2,20,45
21,5,1,1,20,45
22,5,8,2,20,45
23,6,1,1,20,30
24,7,1,1,20,30
25,8,1,1,10,40
26,8,10,1,10,40
27,8,20,2,10,40
28,8,40,2,10,40
29,8,60,2,10,40
30,8,70,2,10,40
31,8,80,2,10,40
32,9,1,1,10,40
33,9,10,1,10,40
34,9,20,2,10,40
35,9,40,2,10,40
36,9,60,2,10,40
37,9,70,2,10,40
38,9,80,2,10,40
39,10,1,1,10,40
40,10,10,1,10,40
41,10,20,2,10,40
42,10,40,2,10,40
43,10,60,2,10,40
44,10,70,2,10,40
45,10,80,2,10,40
46,11,1,1,10,40
47,11,10,1,10,40
48,11,20,2,10,40
49,11,40,2,10,40
50,11,60,2,10,40
51,11,70,2,10,40
52,11,80,2,10,40
53,12,1,1,15,35
54,12,10,1,15,35
55,12,20,2,15,35
56,12,40,2,15,35
57,12,60,2,15,35
58,12,70,2,15,35
59,12,80,2,15,35
60,13,1,1,15,35
61,13,10,1,15,35
62,13,20,2,15,35
63,13,40,2,15,35
64,13,60,2,15,35
65,13,70,2,15,35
66,13,80,2,15,35
67,14,1,1,15,35
68,14,10,1,15,35
69,14,20,2,15,35
70,14,40,2,15,35
71,14,60,2,15,35
72,14,70,2,15,35
73,14,80,2,15,35
