"rownum","Id","rid","rid","i32"
0,"UniqueOneHandSword1",7273,9,1
1,"UniqueBow2",7282,13,1
2,"UniqueWand4",9196,8,1
3,"UniqueClaw4",8986,6,3
4,"UniqueStaff4",9233,14,4
5,"UniqueStaff9",10139,14,4
6,"UniqueBow4",8286,13,5
7,"UniqueDagger11",10856,7,5
8,"UniqueOneHandAxe3",9229,11,6
9,"UniqueRapier1",8265,10,7
10,"UniqueBow8",8798,13,9
11,"UniqueOneHandSword12",10865,9,10
12,"UniqueOneHandMace6",10867,12,10
13,"UniqueTwoHandSword2",7292,15,12
14,"UniqueClaw9",10861,6,12
15,"UniqueWand12",11408,8,24
16,"UniqueTwoHandAxe3",8289,16,13
17,"UniqueStaff13",10860,57,13
18,"UniqueDagger12",10857,7,15
19,"UniqueOneHandAxe7",10863,11,16
20,"UniqueTwoHandMace1",7288,17,17
21,"UniqueRapier2",8981,10,17
22,"UniqueDagger3",8279,56,20
23,"UniqueOneHandMace1",8284,12,20
24,"UniqueOneHandMace7",10868,12,20
25,"UniqueOneHandSword16",11476,9,20
26,"UniqueTwoHandMace7",9106,17,22
27,"UniqueOneHandSword7",9380,10,22
28,"UniqueTwoHandSword7",9632,15,22
29,"UniqueClaw6",8989,6,26
30,"UniqueRapier5",11835,10,26
31,"UniqueTwoHandMace2",7289,17,27
32,"UniqueOneHandSword4",9077,9,28
33,"UniqueBow11",9376,13,28
34,"UniqueOneHandSword13",10866,9,28
35,"UniqueOneHandAxe6",10699,11,29
36,"UniqueDagger2",7316,7,30
37,"UniqueWand9",10773,8,30
38,"UniqueBow3",7286,13,32
39,"UniqueOneHandMace8",10869,12,32
40,"UniqueTwoHandAxe2",8263,16,33
41,"UniqueClaw2",8310,6,34
42,"UniqueTwoHandMace10",11470,17,40
43,"UniqueSceptre1",8307,32,41
44,"UniqueSceptre2",8918,32,41
45,"UniqueRapier4",11478,10,43
46,"UniqueTwoHandSword1",7291,15,44
47,"UniqueDagger13",11472,56,44
48,"UniqueTwoHandAxe4",8797,16,45
49,"UniqueClaw8",10705,6,46
50,"UniqueOneHandClaw12",11454,6,46
51,"UniqueOneHandSword18",11510,9,47
52,"UniqueOneHandMace10",11474,12,50
53,"UniqueTwoHandSword3",8264,15,51
54,"UniqueStaff18",11980,14,52
55,"UniqueBow7",8299,13,53
56,"UniqueOneHandSword5",9140,9,53
57,"UniqueTwoHandMace4",8290,17,54
58,"UniqueTwoHandAxe14",11468,16,55
59,"UniqueSceptre10",10696,32,72
60,"UniqueWand11",11392,8,59
61,"UniqueTwoHandMace3",8274,17,57
62,"UniqueTwoHandAxe1",7272,16,58
63,"UniqueDagger8",9235,56,58
64,"UniqueOneHandSword11",10700,9,58
65,"UniqueWand1",8270,8,59
66,"UniqueOneHandAxe1",9009,11,65
67,"UniqueTwoHandSword10",11660,15,59
68,"UniqueOneHandMace4",10694,12,60
69,"UniqueOneHandSword19",11651,9,60
70,"UniqueClaw18",12055,6,60
71,"UniqueDagger16",12056,7,60
72,"UniqueDagger21",12121,7,60
73,"UniqueTwoHandSword11",11690,15,61
74,"UniqueBow5",8288,13,62
75,"UniqueBow6",8293,13,62
76,"UniqueClaw3",8952,6,62
77,"UniqueOneHandSword6",9377,9,62
78,"UniqueTwoHandAxe16",12261,16,62
79,"UniqueTwoHandMace11",11693,17,77
80,"UniqueOneHandAxe10",12096,11,63
81,"UniqueOneHandSword3",8998,9,64
82,"UniqueBow10",9116,13,64
83,"UniqueDagger9",9425,56,64
84,"UniqueTwoHandAxe10",11378,16,64
85,"UniqueOneHandSword17",11485,9,64
86,"UniqueOneHandAxe5",9221,11,65
87,"UniqueTwoHandSword8",10125,15,65
88,"UniqueTwoHandMace12",11959,17,65
89,"UniqueBow1",7278,13,66
90,"UniqueClaw1",8301,6,66
91,"UniqueBow9",9085,13,70
92,"UniqueOneHandMace5",10695,12,66
93,"UniqueClaw10",11326,6,66
94,"UniqueTwoHandAxe15",11955,16,66
95,"UniqueDagger17",12221,56,66
96,"UniqueTwoHandMace6",9075,17,67
97,"UniqueTwoHandSword6",9137,15,67
98,"UniqueStaff7",9384,57,71
99,"UniqueBow15",11498,13,68
100,"UniqueClaw14",11658,6,68
101,"UniqueOneHandSword20",11694,9,77
102,"UniqueBow17",11808,13,77
103,"UniqueTwoHandAxe13",11920,16,68
104,"UniqueOneHandSword24",12022,9,68
105,"UniqueOneHandAxe2",9161,11,69
106,"UniqueClaw13",11493,6,70
107,"UniqueClaw15",11811,6,77
108,"UniqueStaff20",12046,14,66
109,"UniqueStaff27",12106,57,60
110,"UniqueStaff22",12256,57,64
111,"UniqueStaff24",12377,57,68
112,"UniqueOneHandSword29",12308,9,56
113,"UniqueOneHandSword30",12309,9,56
114,"UniqueOneHandSword31",12661,9,62
115,"UniqueTwoHandSword12",11816,15,67
116,"UniqueTwoHandSword13",11816,15,67
117,"UniqueTwoHandSword14",13294,15,67
118,"UniqueDagger20",12102,7,60
119,"UniqueBow18",11855,13,58
120,"UniqueBow19",11856,13,58
121,"UniqueBow22",12431,13,57
122,"UniqueBow23",13240,13,58
123,"UniqueBow21",12241,13,75
124,"UniqueBow20",12222,13,62
125,"UniqueBow16",11675,13,64
126,"UniqueTwoHandAxe7",9349,16,64
127,"UniqueTwoHandAxe9",10783,16,66
