"rownum","Level","MoreLife"
0,1,-20
1,2,-20
2,3,-20
3,4,-20
4,5,-20
5,6,-20
6,7,-20
7,8,-20
8,9,-20
9,10,-18
10,11,-18
11,12,-18
12,13,-18
13,14,-18
14,15,-18
15,16,-18
16,17,-18
17,18,-18
18,19,-18
19,20,-16
20,21,-16
21,22,-16
22,23,-16
23,24,-16
24,25,-16
25,26,-16
26,27,-16
27,28,-16
28,29,-16
29,30,-14
30,31,-14
31,32,-14
32,33,-14
33,34,-14
34,35,-14
35,36,-14
36,37,-14
37,38,-14
38,39,-14
39,40,-12
40,41,-12
41,42,-12
42,43,-12
43,44,-12
44,45,-12
45,46,-12
46,47,-10
47,48,-10
48,49,-10
49,50,-10
50,51,-10
51,52,-8
52,53,-8
53,54,-8
54,55,-8
55,56,-8
56,57,-6
57,58,-6
58,59,-6
59,60,-6
60,61,-6
61,62,-4
62,63,-4
63,64,-4
64,65,-4
65,66,-2
66,67,-2
67,68,-144
68,69,-162
69,70,-173
70,71,-186
71,72,-198
72,73,-370
73,74,-398
74,75,-426
75,76,-453
76,77,-479
77,78,-757
78,79,-826
79,80,-961
80,81,-1154
81,82,-1296
82,83,-1491
83,84,-1637
