"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","BaseIcon_DDSFile","Infected_DDSFile","Shaper_DDSFile","Elder_DDSFile","Drawn_DDSFile","Delirious_DDSFile","UberBlight_DDSFile"
0,"Map","Original","Version originale","Original","オリジナル","본편","Original","Первое поколение","Original","Original","初代","","","","","","",""
1,"Map2","The Awakening","The Awakening","Das Erwachen","アウェイクニング","각성","The Awakening","Пробуждение","El Despertar","The Awakening","大覺醒","","","","","","",""
2,"MapAtlas","Atlas of Worlds","Atlas of Worlds","Atlas der Welten","アトラス・オブ・ワールド","아틀라스의 세계","Atlas of Worlds","Атлас миров","Atlas de Mundos","Atlas of Worlds","異界輿圖","","","","","","",""
3,"MapWorlds","War for the Atlas","La Guerre de l'Atlas","Krieg um den Atlas","ウォー・フォー・アトラス","아틀라스의 격전","War for the Atlas","Война за Атлас","Guerra por el Atlas","War for the Atlas","烽火輿圖","Art/2DItems/Maps/Atlas2Maps/New/Base.dds","","","","","",""
4,"Betrayal","Betrayal","Betrayal","Betrayal","ビトレイアル","배신","Betrayal","Предательство","Betrayal","Betrayal","密教反叛","Art/2DItems/Maps/Atlas2Maps/New/Base2.dds","","","","","",""
5,"Synthesis","Synthesis","Synthesis","Synthesis","シンセシス","결합","Synthesis","Синтез","Synthesis","Synthesis","尋夢追憶","Art/2DItems/Maps/Atlas2Maps/New/Base3.dds","","","","","",""
6,"Legion","Legion","Legion","Legion","リージョン","군단","Legion","Легион","Legion","Legion","戰亂之殤","Art/2DItems/Maps/Atlas2Maps/New/Base4.dds","","","","","",""
7,"Blight","Blight","Blight","Blight","ブライト","역병","Blight","Скверна","Blight","Blight","凋落禁地","Art/2DItems/Maps/Atlas2Maps/New/Base5.dds","Art/2DItems/Maps/Atlas2Maps/New/BaseInfected.dds","","","","",""
8,"Metamorphosis","Metamorph","Metamorph","Metamorph","メタモルフ","변형","Metamorph","Метаморф","Metamorph","Metamorph","鍊獄幻魔","Art/2DItems/Maps/Atlas2Maps/New/Base6.dds","Art/2DItems/Maps/Atlas2Maps/New/Base6Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base6Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base6Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base6Drawn.dds","",""
9,"Delirium","Delirium","Delirium","Delirium","デリリウム","환영","Delirium","Делириум","Delirium","Delirium","譫妄異域","Art/2DItems/Maps/Atlas2Maps/New/Base7.dds","Art/2DItems/Maps/Atlas2Maps/New/Base7Infected.dds","Art/2DItems/Maps/Atlas2Maps/New/Base7Shaper.dds","Art/2DItems/Maps/Atlas2Maps/New/Base7Elder.dds","Art/2DItems/Maps/Atlas2Maps/New/Base7Drawn.dds","",""
