"rownum","QuestKey","i32","QuestStates","[i32]","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool","Message (English)","Message (French)","Message (German)","Message (Japanese)","Message (Korean)","Message (Portuguese)","Message (Russian)","Message (Spanish)","Message (Thai)","Message (Traditional Chinese)","MapPinsKeys1","i32","MapPinsTexts (English)","MapPinsTexts (French)","MapPinsTexts (German)","MapPinsTexts (Japanese)","MapPinsTexts (Korean)","MapPinsTexts (Portuguese)","MapPinsTexts (Russian)","MapPinsTexts (Spanish)","MapPinsTexts (Thai)","MapPinsTexts (Traditional Chinese)","MapPinsKeys2","[rid]","bool","[i32]","[i32]","i32","SoundEffect"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)"
0,0,0,[2],[],"Quest Complete - You have killed Hillock and received a reward from Tarkleigh.","Quête terminée — Vous avez tué Hillock et obtenu une récompense de la part de Tarkleigh.","Quest abgeschlossen: Ihr habt Hillock getötet und eine Belohnung von Tarkleigh erhalten.","クエスト完了－ヒロックを倒し、タークリーから報酬を受け取った。","퀘스트 완료 - 힐록을 처치하고 타클레이에게 보상을 받았습니다.","Missão Completa - Você matou Hillock e recebeu uma recompensa de Tarkleigh.","Задание выполнено: вы убили Хиллока и получили награду от Таркли.","Misión completa - Has matado a Hillock y recibido una recompensa de Tarkleigh.","ภารกิจ​เสร็จ​สิ้น - คุณ​ได้​สังหาร​ฮิลล็อค​และ​รับรางวัล​จาก​ทาร์กเลย์​แล้ว","任務完成 - 你已經殺了西拉克而且從塔格拉那裏取得任務獎勵。",1,"Quest Complete","Quête terminée","Quest abgeschlossen","クエスト完了","퀘스트 완료","Missão Completa","Задание выполнено","Misión completa","ภารกิจ​เสร็จสิ้น","任務完成",[],0,[],[],[],[],[],[],[],[],[],[],[],[],"",[],[],10,"",216,236,246,106,114,212,196,218,214,100
1,0,1,"[0,0]",[],"You have killed Hillock, the zombie attacking the town. Talk to Tarkleigh for a reward.","Vous avez tué Hillock, le zombie qui attaquait la ville. Parlez à Tarkleigh pour obtenir votre récompense.","Ihr habt den Zombie Hillock getötet, der die Stadt angriff. Sprecht Tarkleigh auf Eure Belohnung an.","街を襲っていたゾンビ・ヒロックを倒した。タークリーに話しかけ、報酬を受け取ろう。","마을을 공격하던 좀비, 힐록을 처치했습니다. 타클레이와 대화하십시오.","Você matou Hillock, o zumbi que estava atacando a vila. Fale com Tarkleigh para receber sua recompensa.","Вы убили Хиллока. Поговорите с Таркли о награде.","Has matado a Hillock, el zombi que atacaba el pueblo. Habla con Tarkleigh para recibir una recompensa.","คุณ​ได้​สังหาร​ฮิลล็อค ซอมบี้​ที่​จู่โจม​เมือง​นี้​​แล้ว พูดคุย​กับ​ทาร์กเลย์​เพื่อ​รับ​รางวัล","你已經擊倒了西拉克，攻擊城鎮的無腦肉塊。去找塔格拉領取你的任務獎勵。","","","","","","","","","","","",[0],0,"[""Talk to Tarkleigh for your reward""]","[""Parlez à Tarkleigh pour obtenir votre récompense.""]","[""Sprecht Tarkleigh auf Eure Belohnung an.""]","[""タークリーに話しかけ、報酬を受け取れ""]","[""타클레이와 대화하기""]","[""Fale com Tarkleigh para receber sua recompensa""]","[""Поговорите с Таркли о награде""]","[""Habla con Tarkleigh para recibir tu recompensa""]","[""พูด​คุย​กับทาร์กเลย์เพื่อ​รับ​รางวัลของคุณ""]","[""與塔格拉交談來獲得獎勵""]",[0],[],"",[],[],10,"",216,236,246,106,114,212,196,218,214,100
2,0,2,[0],"[280,0]","You have killed Hillock, the zombie attacking the town and levelled up. Open the Passive Skill Screen and spend a Passive Skill Point to upgrade your character.","Vous avez tué Hillock, le zombie qui attaquait la ville. Ouvrez votre Arbre des Passifs et dépensez-y un point pour améliorer votre personnage.","Ihr habt den Zombie Hillock getötet, der die Stadt angriff, und eine neue Stufe erreicht. Öffnet die Übersicht Eurer passiven Fertigkeiten, um Eurem Charakter einen passiven Fertigkeitspunkt zuzuweisen.","街を襲っていたゾンビ・ヒロックを倒し、レベルが上がった。パッシブスキルスクリーンを開き、パッシブポイントを使ってキャラクターをアップグレードしよう。","마을을 공격하던 좀비 힐록을 처치하고 레벨을 올렸습니다. 패시브 스킬 창을 열고 패시브 스킬 포인트를 투자해 캐릭터를 강화하십시오.","Você abateu Hillock, o zumbi que estava atacando a vila e você passou de nível. Abra a tela de Habilidades Passivas e use um Ponto de Habilidade Passiva para melhorar o seu personagem.","Вы убили Хиллока и повысили ваш уровень. Откройте экран пассивных умений и используйте очко пассивного умения, чтобы сделать вашего персонажа сильнее.","Has matado a Hillock, el zombi que atacaba el pueblo y subido de nivel. Abre la Pantalla de Habilidades Pasivas y gasta un Punto de Habilidades Pasivas para mejorar tu personaje.","คุณ​ได้​สังหาร​ฮิลล็อค ซอมบี้​ที่​จู่โจม​เมือง​นี้​และ​​เพิ่ม​เลเวล​ของ​คุณ​​แล้ว อัพเกรด​ตัว​ละคร​ของ​คุณ​ด้วย​การ​เปิด​หน้าต่าง​พาสซีฟ แล้ว​ใช้​แต้ม​พาส​ซีฟ​หนึ่ง​แต้ม","你已經擊倒了西拉克並升等了，開啟天賦樹畫面使用天賦點樹升級你的角色。","","","","","","","","","","","",[1],0,"[""Open the Passive Skill Screen\nSpend your Passive Skill Point""]","[""Ouvrez votre Arbre des passifs.\nDépensez-y votre point de Passif.""]","[""Öffnet die Übersicht Eurer passiven Fertigkeiten\nWeist den passiven Fertigkeitspunkt zu""]","[""パッシブスキルスクリーンを開け \nパッシブポイントを消費しろ""]","[""패시브 스킬 창 열기\n패시브 스킬 포인트 투자하기""]","[""Abra a Tela de Habilidades Passivas\nGaste o seu Ponto de Habilidade Passiva""]","[""Откройте экран пассивных умений\nИспользуйте очко пассивного умения""]","[""Abre la ventana de habilidades pasivas\nUtiliza tu punto de habilidades pasivas""]","[""เปิด​หน้าต่าง​ตาราง​พาสซีฟ\nใช้​แต้ม​พาส​ซีฟ​ของ​คุณ""]","[""開啟天賦樹畫面\n使用天賦點""]",[1],[],"",[],[],10,"",216,236,246,106,114,212,196,218,214,100
3,0,3,[0],[],"You have killed Hillock, the zombie attacking the town. Enter through the gate for a reward.","Vous avez tué Hillock, le zombie qui attaquait la ville. Passer la porte pour obtenir votre récompense.","Ihr habt den Zombie Hillock getötet, der die Stadt angriff. Geht in die Stadt und erhaltet Eure Belohnung.","街を襲っていたゾンビ・ヒロックを倒した。門を通り街に入り、報酬を受け取ろう。","마을을 공격하던 좀비인 힐록을 처치했습니다. 마을 입구로 들어가십시오.","Você matou Hillock, o zumbi que estava atacando a vila. Entre na vila para receber sua recompensa.","Вы убили Хиллока. Зайдите в лагерь за наградой.","Has matado a Hillock, el zombi que atacaba el pueblo. Entra por la puerta para obtener una recompensa.","คุณ​ได้​สังหาร​ฮิลล็อค ซอมบี้​ที่​จู่โจม​เมือง​นี้​​แล้ว ​เข้าไป​ใน​ประตู​เพื่อ​รับ​รางวัล","你已經擊倒了西拉克，你已經擊倒了西拉克，攻擊城鎮的無腦肉塊進入村莊來獲得獎勵。","","Enter town for your reward","Entrez en ville pour obtenir votre récompense","Geht in die Stadt und holt Euch Eure Belohnung","街に入り、報酬を受け取れ","마을로 들어가십시오","Entre na vila para receber sua recompensa","Зайдите в лагерь за наградой","Entra al pueblo para recibir tu recompensa","เข้า​เมือง​เพื่อ​รับ​รางวัลของคุณ","進入城鎮領取獎勵",[0],0,"[""Enter town for your reward""]","[""Entrez en ville pour obtenir votre récompense.""]","[""Geht in die Stadt und holt Euch Eure Belohnung.""]","[""街に入り、報酬を受け取れ""]","[""마을로 들어가기""]","[""Entre na vila para receber sua recompensa""]","[""Зайдите в лагерь за наградой""]","[""Entra al pueblo para recibir tu recompensa""]","[""เข้า​เมือง​เพื่อ​รับ​รางวัลของคุณ""]","[""進入城鎮以領取獎勵""]",[1],[],"",[],[],10,"",216,236,246,106,114,212,196,218,214,100
4,0,4,[1],[],"A large zombie called Hillock is attacking the town. Kill him to gain access.","Un immense zombie du nom de Hillock attaque la ville. Tuez-le pour pouvoir continuer votre progression.","Ein übergroßer Zombie mit dem Namen Hillock greift die Stadt an. Tötet ihn, um Zugang zur Stadt zu erhalten.","巨大なゾンビ・ヒロックが街を襲っている。倒して街へ入ろう。","힐록이라는 이름의 거대 좀비가 마을을 공격하고 있습니다. 길을 뚫기 위해 힐록을 처치하십시오.","Um grande zumbi chamado Hillock está atacando a vila. Mate-o para ganhar acesso a ela.","Великан Хиллок преграждает вход на заставу Львиного глаза. Убейте его, чтобы пройти дальше.","Un gran zombi llamado Hillock ataca el pueblo. Mátalo para poder entrar.","ซอมบี้​ขนาด​ใหญ่​ชื่อ​ฮิลล็อค​กำลัง​จู่โจม​เมือง​นี้ สังหาร​เขา​เพื่อ​เปิด​ทาง​","一隻叫做西拉克的大型殭屍正在攻擊城鎮。殺死那個擋路的無腦肉塊！","","Kill Hillock","Tuez Hillock","Tötet Hillock","ヒロックを倒せ","힐록을 처치하십시오","Mate Hillock","Убейте Хиллока","Mata a Hillock","สังหารฮิลล็อค","殺死西拉克",[1],0,"[""Kill Hillock""]","[""Tuez Hillock.""]","[""Tötet Hillock.""]","[""ヒロックを倒せ""]","[""힐록 처치하기""]","[""Mate Hillock""]","[""Убейте Хиллока""]","[""Mata a Hillock""]","[""สังหารฮิลล็อค""]","[""殺死西拉克""]",[1],[],"",[],[],10,"",216,236,246,106,114,212,196,218,214,100
5,5,0,[6],[],"Quest Complete - You have slain Brutus and have received a reward from Tarkleigh.","Quête terminée — Vous avez tué Brutus et obtenu une récompense de la part de Tarkleigh.","Quest abgeschlossen: Ihr habt Brutus getötet und eine Belohnung von Tarkleigh erhalten.","クエスト完了－ブルータスを倒し、タークリーから報酬を受け取った。","퀘스트 완료 - 브루투스를 처치하고 타클레이에게 보상을 받았습니다.","Missão Completa - Você matou Brutus e recebeu uma recompensa de Tarkleigh.","Задание выполнено: вы убили Изувера и получили награду от Таркли.","Misión completa - Has matado a Brutus y recibido una recompensa de Tarkleigh.","ภารกิจ​เสร็จสิ้น - คุณ​ได้​สังหาร​บรูตัส​และ​รับ​รางวัล​จาก​ทาร์กเลย์​​แล้ว","任務完成 - 你已經殺掉了布魯特斯並且從塔格拉那裏取得你的任務獎勵。",1,"Quest Complete","Quête terminée","Quest abgeschlossen","クエスト完了","퀘스트 완료","Missão Completa","Задание выполнено","Misión completa","ภารกิจ​เสร็จสิ้น","任務完成",[],0,[],[],[],[],[],[],[],[],[],[],[],[],"",[],[],10,"",216,236,246,106,114,212,196,218,214,100
6,5,1,"[5,0]",[],"You have killed Brutus and found a way through the Prison. Talk to Tarkleigh in town for a reward.","Vous avez tué Brutus et trouvé un passage à travers la Prison. Parlez à Tarkleigh en ville pour obtenir votre récompense.","Ihr habt Brutus getötet und Euch den Weg durch das Gefängnis gebahnt. Sprecht Tarkleigh in der Stadt auf Eure Belohnung an.","ブルータスを倒し、監獄を脱出した。街にいるタークリーに話しかけ、報酬を受け取ろう。","브루투스를 처치하고 수용소를 지나가는 길을 찾아냈습니다. 마을에서 타클레이와 대화하십시오.","Você matou Brutus e descobriu um caminho pela Prisão. Fale com Tarkleigh na vila para receber uma recompensa.","Вы убили Изувера и проложили путь через тюрьму. Поговорите с Таркли о награде.","Has matado a Brutus y encontrado la salida de la Prisión. Habla con Tarkleigh en el pueblo para recibir una recompensa.","คุณ​ได้​สังหาร​บรูตัส​และ​พบ​ทาง​ผ่าน​เรือน​จำ​แล้ว พูดคุย​กับ​ทาร์กเลย์​ใน​เมือง​เพื่อ​รับ​รางวัล","你已經擊殺了布魯特斯而且找到逃出監獄的路，回去村莊找塔格拉領取你的獎賞。","","Talk to Tarkleigh for your reward","Parlez à Tarkleigh pour obtenir votre récompense","Sprecht Tarkleigh auf Eure Belohnung an","タークリーに話しかけ、報酬を受け取れ","타클레이와 대화하기","Fale com Tarkleigh para receber sua recompensa","Поговорите с Таркли о награде","Habla con Tarkleigh para recibir tu recompensa","พูด​คุย​กับทาร์กเลย์เพื่อ​รับ​รางวัลของคุณ","與塔格拉交談以獲得獎勵",[0],0,"[""Talk to Tarkleigh for your reward""]","[""Parlez à Tarkleigh pour obtenir votre récompense.""]","[""Sprecht Tarkleigh auf Eure Belohnung an.""]","[""タークリーに話しかけ、報酬を受け取れ""]","[""타클레이와 대화하기""]","[""Fale com Tarkleigh para receber sua recompensa""]","[""Поговорите с Таркли о награде""]","[""Habla con Tarkleigh para recibir tu recompensa""]","[""พูด​คุย​กับทาร์กเลย์เพื่อ​รับ​รางวัลของคุณ""]","[""與塔格拉交談以獲得獎勵""]",[0],[],"",[],[],10,"",216,236,246,106,114,212,196,218,214,100
7,5,2,[5],[],"You have killed Brutus and unlocked the Prison's exit. Search for it in the Warden's Chambers in the Upper Prison.","Vous avez tué Brutus et débloqué la sortie de la Prison. Vous la trouverez dans les Appartements du Geôlier du le niveau supérieur de la Prison.","Ihr habt Brutus getötet und den Gefängnisausgang geöffnet. Sucht in den Wärtergemächern des oberen Gefängnisses danach.","ブルータスを倒し、監獄の出口を開いた。牢獄 -上層-の、監視員の部屋にある出口を探そう。","브루투스를 처치하자 잠겨있던 수용소의 출구가 열렸습니다. 수용소 상층에 있는 간수의 방에서 출구를 찾으십시오.","Você matou Brutus e abriu a saída da Prisão. Procure nos Aposentos do Carcereiro na Prisão Superior.","Вы убили Изувера и открыли выход из тюрьмы. Найдите его в Жилье тюремщика.","Has matado a Brutus y desbloquedo la salida de la Prisión. Encuentra la salida en las Cámaras del Guardián, en la Prisión Superior.","คุณ​ได้​สังหาร​บรูตัส​และ​ปลด​ล็อก​ทางออก​จาก​เรือน​จำ​แล้ว ค้นหา​ทางออก​ได้ใน​ห้อง​ของ​พัศดี​ภายใน​เรือน​จำ​ชั้น​บน","你已經擊殺了布魯特斯並且解開逃出監獄的大門，尋找大門離開典獄長的房間。","","The Prison's exit is now open","La sortie de la Prison est désormais ouverte","Der Gefängnisausgang ist nun geöffnet","監獄の出口が開いた","수용소의 출구가 개방되었습니다","A saída da Prisão foi aberta","Выход из тюрьмы открыт","La salida de la Prisión está ahora abierta","ทางออก​จาก​เรือน​จำ​เปิด​แล้ว","監獄大門已經開啟",[11],0,"[""Find the exit from the Prison""]","[""Trouvez la sortie de la Prison.""]","[""Findet den Ausgang aus dem Gefängnis.""]","[""監獄の出口を見つけろ""]","[""수용소의 출구 찾기""]","[""Encontre a saída da Prisão""]","[""Найдите выход из тюрьмы""]","[""Encuentra la salida de la Prisión""]","[""ค้นหา​ทางออก​จาก​เรือน​จำ""]","[""找出離開監獄的出口""]",[10],[],"",[],[],10,"",216,236,246,106,114,212,196,218,214,100
8,5,3,[514],[],"You have found Brutus in the Warden's Chambers in the Upper Prison. Kill him to unlock the exit.","Vous avez trouvé Brutus dans les Appartements du Geôlier du niveau supérieur de la Prison. Tuez-le pour débloquer la sortie.","Ihr habt Brutus in den Wärtergemächern des oberen Gefängnisses gefunden. Tötet ihn, um den Ausgang zu öffnen.","牢獄 -上層-にある監長の部屋でブルータスを見つけた。倒して出口を開けよう。","수용소 상층에 있는 간수의 방에서 브루투스를 발견했습니다. 출구를 열기 위해 브루투스를 처치하십시오.","Você encontrou o Brutus nos Aposentos do Carcereiro na Prisão Superior. Mate-o para abrir uma saída.","Вы нашли тюремщика в его жилище. Убейте Изувера, чтобы найти выход из тюрьмы.","Has encontrado a Brutus en las Cámaras del Guardián de la Prisión Superior. Mátalo para desbloquear la salida.","คุณ​ได้​พบ​บรูตัส​ใน​ห้อง​ของ​พัศดี​ภายใน​เรือน​จำ​ชั้น​บน สังหาร​เขา​เพื่อ​ปลด​ล็อก​ทางออก","你在典獄長的房間找到了布魯特斯。殺死他來解鎖監獄大門。","","Kill Brutus","Tuez Brutus","Tötet Brutus","ブルータスを倒せ","브루투스를 처치하십시오","Mate Brutus","Убейте Изувера","Mata a Brutus","สังหารบรูตัส","殺死布魯特斯",[10],0,"[""Kill Brutus""]","[""Tuez Brutus.""]","[""Tötet Brutus.""]","[""ブルータスを倒せ""]","[""브루투스 처치하기""]","[""Mate Brutus""]","[""Убейте Изувера""]","[""Mata a Brutus""]","[""สังหารบรูตัส""]","[""殺死布魯特斯""]",[10],[],"",[],[],10,"",216,236,246,106,114,212,196,218,214,100
9,5,4,[130],[797],"You have found Axiom Prison, home to Brutus, the Warden. Return to town for help preparing for the coming battle.","Vous avez découvert la Prison d'Axiom, foyer de Brutus, le Geôlier. Retournez en ville afin de vous préparer pour le combat à venir.","Ihr habt das Axiom-Gefängnis gefunden, das Zuhause des Wächters Brutus. Kehrt in die Stadt zurück und bereitet Euch auf den bevorstehenden Kampf vor.","獄長ブルータスの住処、アクシオム監獄を見つけた。街に戻り、戦いの準備をしよう。","간수 브루투스가 있는 액시옴 수용소를 발견했습니다. 전투를 준비하기 위해 마을로 돌아가십시오.","Você descobriu a Prisão de Axiom, lar do Brutus, o Carcereiro. Volte à vila para ter ajuda ao se preparar para a batalha.","Вы нашли тюрьму Аксиомы, обитель тюремщика Изувера. Вернитесь в лагерь и подготовьтесь к битве.","Has encontrado la Prisión de Axiom, hogar de Brutus, el Guardián. Vuelve al pueblo a buscar ayuda para la batalla que se aproxima.","คุณ​ได้​พบ​เรือนจำ​แอ็กเซียม สถาน​พำนัก​ของ​พัศดี​บรูตัส​แล้ว กลับ​ไป​ที่​เมือง​เพื่อ​ขอ​ความ​ช่วย​เหลือ​ใน​การเต​รี​ยม​การ​ต่อสู้​ใน​อนาคต","你發現了禁靈之獄，典獄長布魯特斯的老巢。回到城鎮進行補給以面對即將到來的苦戰。","","Return to town for assistance","Retournez en ville pour obtenir de l'aide","Kehrt für Unterstützung in die Stadt zurück","街に戻り援助を受けろ","조언을 듣기 위해 마을로 귀환하십시오","Volte à vila para receber ajuda","Вернитесь в лагерь за помощью","Vuelve al pueblo para conseguir ayuda","กลับ​ไป​ที่​เมือง​เพื่อ​ขอ​ความ​ช่วย​เหลือ","回到城鎮",[0],0,"[""Talk to Nessa""]","[""Parlez à Nessa.""]","[""Sprecht mit Nessa.""]","[""ネッサに話しかけろ""]","[""네사와 대화하기""]","[""Fale com Nessa""]","[""Поговорите с Нессой""]","[""Habla con Nessa""]","[""พูด​คุย​กับเนสซ่า""]","[""回到城鎮""]",[0],[],"",[],[],10,"",216,236,246,106,114,212,196,218,214,100
