"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Stats","StatsValues","Points","HASH16","Icon","IconMaxed","SoundEffect","i32","Quest"
0,"JewellerySpeed","Chaotic Adornment","Parures chaotiques","Chaotische Schmuckstücke","混沌の装飾品","혼돈의 장식품","Adorno Caótico","Хаотический орнамент","Adorno caótico","เครื่องประดับโกลาหล","混沌裝飾",[14744],[5],5,5415,"Art/2DArt/SkillIcons/HellscapePassives/JewelleryandFlaskMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/JewelleryandFlaskMicroMaxed.dds","",1317,""
1,"ArmourSpeed","Twisted Metal","Métal distordu","Bizarres Metall","捻じれた金属","뒤틀린 금속","Metal Retorcido","Искорёженный металл","Metal retorcido","โลหะบิดเบือน","變形鋼鐵",[14740],[5],5,34224,"Art/2DArt/SkillIcons/HellscapePassives/ArmourMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/ArmourMicroMaxed.dds","",1317,""
2,"WeaponSpeed","Murderous Desecration","Profanation meurtrière","Mörderische Entweihung","殺意ある冒涜","살인적인 모독","Profanação Assassina","Убийственное осквернение","Sacrilegio homicida","สังหารผิดผี","兇殘褻瀆","[14741,14743]","[5,5]",5,10836,"Art/2DArt/SkillIcons/HellscapePassives/WeaponMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/WeaponMicroMaxed.dds","",1317,""
3,"MapSpeed","Fervent Dreams","Rêves fiévreux","Inbrünstige Träume","熱狂的な夢","열렬한 꿈","Sonhos Ferventes","Кипучие мечты","Sueños fervientes","ฝันอันเร่าร้อน","熾熱夢想",[14742],[5],5,34087,"Art/2DArt/SkillIcons/HellscapePassives/MapsMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/MapsMicroMaxed.dds","",1317,""
4,"MicrowaveSlotNonMap1","Alternate History","Histoire alternative","Alternative Geschichte","代替の歴史","대체 역사","História Alternativa","Альтернативная история","Historia alternativa","ประวัติศาสตร์มิติอื่น","平行史實",[15212],[1],1,13590,"Art/2DArt/SkillIcons/HellscapePassives/MicrowaveUniqueItems.dds","Art/2DArt/SkillIcons/HellscapePassives/MicrowaveUniqueItemsMaxed.dds",338,1317,""
5,"MicrowaveSlotNonMap2","Crushed Organs","Organes écrasés","Gequetschte Organe","潰れた臓器","짓뭉개진 내장","Órgãos Esmagados","Раздавленные органы","Órganos aplastados","อวัยวะที่ถูกบดขยี้","粉碎器官",[14722],[1],1,46379,"Art/2DArt/SkillIcons/HellscapePassives/NonMapsSlotMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/NonMapsSlotMicroMaxed.dds",294,1317,""
6,"MicrowaveSlotMap","Restless Nightmares","Cauchemars incessants","Ruhelose Albträume","休みなき悪夢","뒤숭숭한 악몽","Pesadelos Inquietos","Безостановочный кошмар","Pesadillas agitadas","ฝันร้ายไร้ที่สิ้น","不安夢魘",[14723],[1],1,32734,"Art/2DArt/SkillIcons/HellscapePassives/MapsSlotMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/MapsSlotMicroMaxed.dds",295,1157,173
7,"AddSocketNumber","Trypophobia","Trypophobie","Trypophobie","トライポフォビア","환공포증","Tripofobia","Трипофобия","Tripofobia","โรคกลัวรู","密集恐懼症",[14746],[3],5,15734,"Art/2DArt/SkillIcons/HellscapePassives/AddAdditionalSlot.dds","Art/2DArt/SkillIcons/HellscapePassives/AddAdditionalSlotMaxed.dds","",1317,""
8,"AddSocketLink","Stitched Wounds","Cicatrices reliées","Genähte Wunden","縫われた傷","꿰맨 상처","Feridas Costuradas","Сшитые раны","Heridas suturadas","แผลที่ถูกเย็บ","縫合創傷",[14747],[3],5,50796,"Art/2DArt/SkillIcons/HellscapePassives/LinkAdditionalSlot.dds","Art/2DArt/SkillIcons/HellscapePassives/LinkAdditionalSlotMaxed.dds","",1317,""
9,"HellscapingSpeedPerHellscapeTierOnMap","Warped Sluice","Veines croisées","Verzerrte Schleuse","歪んだ水門","휘어진 수문","Comporta Empenada","Извращённый шлюз","Fluido distorsionado","รางน้ำแปรปรวน","歪斜水閘",[15067],[1],5,31773,"Art/2DArt/SkillIcons/HellscapePassives/AddCorruptedImplicitModifier.dds","Art/2DArt/SkillIcons/HellscapePassives/AddCorruptedImplicitModifierMaxed.dds","",1317,""
