"rownum","Id","CharactersKey","PassiveSkillTreeURL","AscendancyClassName (English)","AscendancyClassName (French)","AscendancyClassName (German)","AscendancyClassName (Japanese)","AscendancyClassName (Korean)","AscendancyClassName (Portuguese)","AscendancyClassName (Russian)","AscendancyClassName (Spanish)","AscendancyClassName (Thai)","AscendancyClassName (Traditional Chinese)","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","UIImageFile","TutorialVideo_BKFile","i32","f32","f32","BackgroundImageFile","IsTemporary","bool","ArchetypeImage","bool","bool"
0,"NoArchetype","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,"","",1,"","",""
1,"StrArchetypeA",0,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAEBABQgFHEoKj38UEdYY18_dqx7jIIHhVKLT5d5m2qtjcRYxtjPftlh2XzkUeoY7w72SPjr","Juggernaut","Colosse","Koloss","ジャガーノート","저거넛","Destruidor","Покоритель","Coloso","Juggernaut","勇士","Not even the freezing depths of winter can slow you down. The blood of your foes will flow as freely as you","Même l'hiver le plus glacial ne saurait vous ralentir. Le sang de vos ennemis s'écoulera avec la même liberté que celle qui vous anime.","Nicht einmal die klirrende Kälte vermag Euch zu verlangsamen. Lasst das Blut Eurer Feinde fließen und Eure Bewegungen genauso fließend sein.","冬の凍てつく深ささえも、あなたの足を止めることはできない。敵の血は、あなたと同じように自由に流れるだろう。","한겨울의 지독한 추위도 당신을 막을 수는 없습니다. 당신이 가는 곳마다 적들의 피가 흘러내릴 것입니다.","Nem mesmo as profundezas congelantes do inverno podem te desacelerar. O sangue dos seus inimigos fluirá livremente.","Даже пронизывающий холод зимы не сможет вас замедлить. Кровь ваших врагов проливается с той же свободой, с которой вы движетесь.","Ni siquiera las profundidades heladas del invierno pueden ralentizarte. La sangre de tus enemigos fluirá tan libremente como tú.","แม้แต่ความหนาวยะเยือกที่สุดก็ไม่ทำให้เจ้าช้าลง โลหิตของศัตรูจะไหลได้รวดเร็วเช่นเจ้า","沒有什麼凜冽的寒冬可以減緩你的步伐。敵人們的鮮血會釋放你的本能。","Art/2DArt/UIImages/InGame/ArchetypeSelect/Str/Juggernaut","http://down.qq.com/poe/videos/archetype/Juggernaut.BK2",2,307,35,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Str/MarauderBG","",1,"","",""
2,"StrArchetypeB",0,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAEDAAYOCfYQzBQgGS4n7T38UEdYY18_Z5t7IK2Nrj7EWMauxtjPftSP2WHkUe8O9kj4k_6H","Chieftain","Chef tribal","Stammesführer","チーフテン","치프틴","Chefe Guerreiro","Вождь","Jefe de guerra","Chieftain","酋長","The Karui gods have blessed you with fire. Summon the aid of your ancestors, and set the battlefield aflame.","Les Dieux karuis vous ont béni avec le feu. Invoquez l'aide de vos ancêtres et mettez le champ de bataille à feu et à sang.","Die Götter der Karui segneten Euch mit Feuer. Bittet die Ahnen um ihren Segen und setzt das Schlachtfeld in Brand.","カルイの神々は、あなたに火を授けた。先祖の力を呼び起こし、戦場に炎を灯せ。","카루이의 신들은 불로써 당신을 축복했습니다. 선조들의 도움을 불러와 전장을 불태우십시오.","Os deuses Karui te abençoaram com o fogo. Convoque a ajuda dos seus ancestrais e incendeie o campo de batalha.","Боги каруи благословили вас огнём. Взывайте к помощи предков и заставьте поле битвы полыхать.","Los dioses karui te han bendecido con el fuego. Invoca la ayuda de tus ancestros y enciende el campo de batalla.","เทพ Karui ได้ประทานพรเพลิงแก่เจ้า เรียกมันออกมาแผดเผาสนามรบโดยพลัน","卡魯之神用火庇佑你。召喚祖靈點燃整個戰場吧。","Art/2DArt/UIImages/InGame/ArchetypeSelect/Str/Chieftain","http://down.qq.com/poe/videos/archetype/Chieftain.BK2",3,573,142,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Str/MarauderBG","",1,"","",""
3,"StrArchetypeC",0,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAECAAmWFCAUcTkOPfxQR1hjXz92rIIHhVKMz5d5rY3G2M9-2WHZfORR6hjrCe8O8kH2SPjr","Berserker","Berserker","Berserker","バーサーカー","버서커","Berserker","Берсерк","Berserker","Berserker","暴徒","The more you hurt, the more you hurt! Let rage fuel each swing of your weapon.","Plus vous souffrez, plus vous faites souffrir ! Laissez la rage alimenter chaque coup de votre arme.","Je mehr Schmerzen Ihr einsteckt, desto mehr teilt Ihr aus! Lasst die Wut jeden Schwung Eurer Waffe antreiben.","痛めつけるほどに、より痛めつける！武器の一振りに怒りを込めろ。","더 많은 피해를 줄수록 더 많은 적들이 고통받게 됩니다! 당신의 공격을 격노의 힘으로 채우십시오.","Quanto mais você machuca, mais você se machuca. Deixe que a raiva alimente cada balanço da sua arma.","Чем сильнее вас бьют, тем сильнее бьете вы! Наполните яростью каждый взмах вашего оружия.","¡Cuanto más daño te hacen, más daño infliges! Deja que la ira alimente cada movimiento de tu arma.","ยิ่งเจ็บยิงตีแรง! ให้ความดุโหมกำลังฟาดฟันของอาวุธเจ้า","傷的越重，你傷人更重！讓憤怒在你的武器上肆意妄為吧。","Art/2DArt/UIImages/InGame/ArchetypeSelect/Str/Berserker","http://down.qq.com/poe/videos/archetype/Berserker.BK2",1,64,150,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Str/MarauderBG","",1,"","",""
4,"IntArchetypeA",1,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAMBAALjBAcHpQj0EFgRDx8CLJwyNDpYSbJVxmpDdhF-r4IQg9uNGayYvOrZX92M37DgEuTs","Elementalist","Élémentaliste","Elementaristin","エレメンタリスト","엘리멘탈리스트","Elementalista","Маг стихий","Elementalista","Elementalist","元素使","Shock your enemies into submission, or set them alight, or even freeze them in place. The power of the elements is at your fingertips!","Foudroyez vos ennemis pour les subjuguer, brûlez-les ou gelez-les sur place. Le pouvoir des éléments est à portée de main !","Schockt Eure Feinde bis zur Unterwerfung, setzt sie in Brand oder friert sie an Ort und Stelle fest. Die Macht der Elemente liegt in Euren Händen.","感電させて屈服させたり、火をつけたり、凍り付かせる事さえも。元素の力は思いのまま！","적을 감전시켜 굴복시키거나, 불태우거나, 그 자리에 얼려버리십시오. 원소의 힘은 당신의 무기입니다!","Eletrize seus inimigos até se submeterem, ou ateie fogo neles, ou até mesmo congele-os no lugar. O poder dos elementos está na ponta dos seus dedos.","Подчиняйте врагов силой молнии, воспламените или заморозьте их на месте. Силы стихий к вашим услугам!","Electrocuta a tus enemigos para someterlos, o préndelos fuego, o congélalos en su lugar. ¡El poder de los elementos está al alcance de tus manos!","ช็อตศัตรูให้ยอมแพ้ หรือจะจุดไฟ หรือจะจับแช่แข็งเลยก็ได้ พลังอำนาจของธาตุทั้งหมดอยู่ในมือเจ้าแล้ว","用雷霆震懾敵人、或用烈火點燃他們，甚至用寒冰封住他們。操控元素只需彈指之力！","Art/2DArt/UIImages/InGame/ArchetypeSelect/Int/Elementalist","http://down.qq.com/poe/videos/archetype/Elementalist.BK2",2,216,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Int/WitchBG","",1,"","",""
5,"IntArchetypeB",1,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAMBAAQHCPQsnDpYPV9Eq0yzUlNVrlXGZ_xqQ20ZghCD24-ml5WX9KyYrUq7Tbzq3V_fsPfX","Occultist","Occultiste","Okkultistin","オカルティスト","오컬티스트","Ocultista","Оккультист","Ocultista","Occultist","秘術家","Drain your enemy's life force with Chaos damage, or weaken them with debilitating curses. A master of the Dark Arts.","Drainez la force vitale de vos ennemis avec des Dégâts de chaos, ou affaiblissez-les avec des malédictions débilitantes. Vous êtes une maîtresse des Arts sombres.","Saugt Euren Feinden die Lebenskraft mit Chaosschaden aus oder schwächt sie mit entkräftenden Flüchen. Werdet zur Meisterin der dunklen Künste.","混沌ダメージで生命力を奪い、衰弱の呪いで弱らせる。闇の芸術を極めし者。","카오스 피해로 적의 생명력을 흡수하거나, 쇠잔 저주로 약화시키십시오. 당신은 어둠의 기술을 통달했습니다.","Drene a força vital do seu inimigo com Dano de Caos, ou enfraqueça-os com maldições debilitantes. Uma mestre nas Artes Sombrias.","Вытягивайте жизнь из ваших противников уроном от хаоса или истощите их проклятиями. Повелевайте тёмными искусствами!","Drena la fuerza vital de tus enemigos con daño de caos, o hazlos flaquear con maldiciones debilitantes. Una maestra de las artes oscuras.","ใช้พลังเคออสดูดพลังชีวิตศัตรูหรือสาปให้พวกมันอ่อนแอลง นี่คือจ้าวแห่งศาสตร์มืดโดยแท้","利用混沌之力吸取敵人的生命，或用惡咒折磨他們。黑暗大法師。","Art/2DArt/UIImages/InGame/ArchetypeSelect/Int/Occulist","http://down.qq.com/poe/videos/archetype/Occultist.BK2",3,622,45,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Int/WitchBG","",1,"","",""
6,"IntArchetypeC",1,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAMBAAQHCPQlsjpYTLNNuVXGYoZqG2pDa9ttGX0Yg9uFYJuhnr2qxKyYzLzfiukC7Ir31_6z","Necromancer","Nécromancienne","Nekromantin","ネクロマンサー","네크로맨서","Necromante","Некромант","Nigromante","Necromancer","死靈師","Raise zombies from the bodies of your defeated foes, or use their remains to empower your army.","Relevez vos adversaires vaincus sous forme de zombies ou utilisez leurs restes pour renforcer votre armée.","Erweckt Zombies aus den Leichen Eurer vernichteten Gegner oder verwendet ihre Überreste dazu, Eure Armee zu stärken.","倒した敵の死体からゾンビを蘇らせ、死体を利用して自軍を強化する。","물리친 적들의 시체에서 좀비를 소환하거나, 그 유해로 당신의 군대를 강화하십시오.","Evoque zumbis a partir dos corpos de inimigos derrotados, ou use seus restos para fortalecer seu exército.","Поднимайте зомби из трупов побеждённых врагов или подпитывайте их останками вашу армию.","Levanta zombis de los cuerpos de tus enemigos derrotados, o usa sus restos para fortalecer tu ejército.","ปลุกซอมบี้ขึ้นมาจากร่างศัตรูที่วางวาย หรือใช้ศพเพื่อเสริมกองทัพของเจ้า","用敵人的屍體召喚殭屍成為你的大軍，或用他們的遺體增強你的軍隊。","Art/2DArt/UIImages/InGame/ArchetypeSelect/Int/Necromancer","http://down.qq.com/poe/videos/archetype/Necromancer.BK2",1,0,69,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Int/WitchBG","",1,"","",""
7,"DexArchetypeA",3,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAIBAABeA4cILgxzGY4j9jB8MbBNklFHa5B9dY19jb-VZpuNo4qxs8v1037UI9RS3L3nD-2D_ro=","Raider","Furie","Jägerin","レイダー","레이더","Saqueadora","Налётчик","Incursora","Raider","俠客","Speed and damage are your two allies as you enter battle, annihilate your foes, and escape before they have a chance to respond","La vitesse et les dégâts sont vos deux alliés tandis que vous entrez dans la bataille, annihilez vos adversaires et vous échappez avant qu'ils n'aient la moindre chance de riposter.","Geschwindigkeit und Kraft sind Eure Verbündeten im Kampf. Vernichtet Eure Feinde und verschwindet, bevor sie zum Gegenschlag ausholen können.","スピードとダメージ。二つの味方と共に戦場に赴き、敵を殲滅し、反撃の前に逃げ切る。","빠른 속도와 피해를 벗삼아 전장을 휘젓습니다. 적을 말살하고 그들이 알아채기 전에 탈출하십시오.","Velocidade e força são suas aliadas conforme você entra em batalha, aniquila seus inimigos e escapa antes que eles tenham uma chance de revidar.","Скорость и урон станут вашими союзниками в битве: истребляйте врагов и спасайтесь, прежде чем они сумеют дать вам отпор.","La velocidad y el daño son tus aliados cuando entras en batalla, aniquilas a tus enemigos y escapas antes de que hayan tenido oportunidad de responder.","ความเร็วและการโจมตีที่รุนแรงคือพันธมิตรร่วมรบของเจ้า ขยี้ศัตรูและหลบเร้นหายไปก่อนพวกมันจะได้ตอบโต้","速度和力量是你戰鬥的利器，在敵人有辦法還擊前堅滅他們並全身而退。","Art/2DArt/UIImages/InGame/ArchetypeSelect/Dex/Raider","http://down.qq.com/poe/videos/archetype/Raider.BK2",1,28,0.5,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Dex/RangerBG","",1,"","",""
8,"DexArchetypeB",3,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAIDAAHRBLEGIwiJGf4bASP2JyEwfE2SUUddaHsUjX2VBZXImvGjiqfUr-vEosqp-WP-Cf7I","Pathfinder","Exploratrice","Pfadfinderin","パスファインダー","패스파인더","Desbravadora","Следопыт","Rastreadora","Pathfinder","追獵者","Supplement your skills with potent potables. Never be without a full flask!","Renforcez vos aptitudes par de puissants breuvages. Ne vous retrouvez jamais avec des flacons vides !","Ergänzt Eure Fertigkeiten mit wirkungsvollen Tränken. Sorgt stets für volle Fläschchen!","強力な所持品であなたのスキルを補います。フラスコは常に満タンに！","강력한 물약으로 스킬을 보충해 줍니다. 항상 플라스크를 가득 채워 다니십시오!","Suplemente suas habilidades poções potentes. Nunca fique sem um frasco cheio!","Подпитывайте ваши умения сильнодействующими напитками. Никогда не держите ваши флаконы пустыми!","Complementa tus habilidades con potentes bebidas. ¡Nunca vayas sin un frasco lleno!","เสริมทักษะของเจ้าด้วยยา อย่าปล่อยให้ขวดพร่องเด็ดขาด!","用蠻牛強化你的技能。藥劑要永遠是滿的！","Art/2DArt/UIImages/InGame/ArchetypeSelect/Dex/Pathfinder","http://down.qq.com/poe/videos/archetype/Pathfinder.BK2",2,240,35,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Dex/RangerBG","",1,"","",""
9,"DexArchetypeC",3,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAIDAAHRBLEGIwiJGf4bASP2MHxNklFHXWh7FI19lQWa8aEiokCjiqfUr-u748Siyqn0-Plj_rr-yA==","Deadeye","Archère d'élite","Scharfschützin","デッドアイ","데드아이","Atiradora","Снайпер","Tiradora","Deadeye","銳眼","Stand back lure your enemies wander into deluge of whistling arrows. If they can't reach you, they can't beat you.","Restez à distance et criblez vos ennemis avec un déluge de flèches sifflantes. S'ils ne peuvent vous atteindre, ils ne peuvent vous vaincre.","Tretet einen Schritt zurück und lockt Eure Feinde in einen zischenden Pfeilhagel. Solange sie Euch nicht erreichen, können sie Euch nichts anhaben.","後ろに下がって敵を誘い、風を切る矢の雨を浴びせる。あなたに届かないならば、あなたを倒すことはできない。","뒤로 물러나며 쏟아지는 화살비 속으로 적을 유인하십시오. 접근조차 할 수 없으니 해를 줄 수도 없겠지요.","Fique para trás e atraia seus inimigos para um dilúvio de flechas sibilantes. Se eles não podem te tocar, eles não podem te derrotar.","Держитесь на расстоянии, заманивая врагов в вихрь свистящих стрел. Если враги не могут до вас добраться - они не смогут вам навредить.","Párate lejos y atrae a tus enemigos hacia una lluvia de silbantes flechas. Si no pueden alcanzarte, no pueden derrotarte.","อยู่ห่างไกลและหลอกล่อศัตรูให้เข้ามาถูกลูกธนู ถ้าพวกมันมาไม่ถึง ก็ทำอะไรเจ้ามิได้","躲在暗處引誘敵人來到你的槍林彈雨中。如果敵人無法接近你，他們就無法擊敗你。","Art/2DArt/UIImages/InGame/ArchetypeSelect/Dex/Deadeye","http://down.qq.com/poe/videos/archetype/Deadeye.BK2",3,617,21,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Dex/RangerBG","",1,"","",""
