"rownum","Id","Art","RewardTypeName (English)","RewardTypeName (French)","RewardTypeName (German)","RewardTypeName (Japanese)","RewardTypeName (Korean)","RewardTypeName (Portuguese)","RewardTypeName (Russian)","RewardTypeName (Spanish)","RewardTypeName (Thai)","RewardTypeName (Traditional Chinese)","row","RewardRoomName (English)","RewardRoomName (French)","RewardRoomName (German)","RewardRoomName (Japanese)","RewardRoomName (Korean)","RewardRoomName (Portuguese)","RewardRoomName (Russian)","RewardRoomName (Spanish)","RewardRoomName (Thai)","RewardRoomName (Traditional Chinese)","MinLevel","MaxLevel","Weight","RewardRoomName2 (English)","RewardRoomName2 (French)","RewardRoomName2 (German)","RewardRoomName2 (Japanese)","RewardRoomName2 (Korean)","RewardRoomName2 (Portuguese)","RewardRoomName2 (Russian)","RewardRoomName2 (Spanish)","RewardRoomName2 (Thai)","RewardRoomName2 (Traditional Chinese)","HeistJobsKey","i32","i32"
0,"EscapeRoom","","Escape Route","Échappatoire","Fluchtweg","脱出ルート","탈출 경로","Rota de Fuga","Отходной путь","Ruta de escape","เส้นทางหลบหนี","逃脫路線",0,"Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency",0,100,0,"Escape Route","Échappatoire","Fluchtweg","脱出ルート","탈출 경로","Rota de Fuga","Отходной путь","Ruta de escape","เส้นทางหลบหนี","逃脫路線",[],0,0
1,"Currency","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardCurrency","Currency","Objets monétaires","Währung","カレンシー","화폐","Item Monetário","Валюта","Objetos monetarios","เงินตรา","通貨",0,"Currency Reward Room","Salle de récompenses :\nObjets monétaires","Belohnungsraum mit Währung","カレンシー報酬部屋","화폐 보물 창고","Sala de Recompensas: Itens Monetários","Комната с валютой","Sala de recompensas de objetos monetarios","ห้องของรางวัล เงินตรา","通貨獎勵房",46,100,350,"Currency Reward Room","Salle de récompenses :\nObjets monétaires","Belohnungsraum mit Währung","カレンシー報酬部屋","화폐 보물 창고","Sala de Recompensas: Itens Monetários","Комната с валютой","Sala de recompensas de objetos monetarios","ห้องของรางวัล เงินตรา","通貨獎勵房","[0,4,6]",350,1
2,"Uniques","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardUniques","Uniques","Objets uniques","Einzigartige Gegenstände","ユニーク","고유 아이템","Únicos","Уникальные предметы","Únicos","ยูนิค","傳奇",0,"Uniques Reward Room","Salle de récompenses :\nObjets uniques","Belohnungsraum mit einzigartigen Gegenständen","ユニーク報酬部屋","고유 아이템 보물 창고","Sala de Recompensas: Únicos","Комната с уникальными предметами","Sala de recompensas de únicos","ห้องของรางวัล ยูนิค","傳奇獎勵房",10,100,100,"Uniques Reward Room","Salle de récompenses :\nObjets uniques","Belohnungsraum mit einzigartigen Gegenständen","ユニーク報酬部屋","고유 아이템 보물 창고","Sala de Recompensas: Únicos","Комната с уникальными предметами","Sala de recompensas de únicos","ห้องของรางวัล ยูนิค","傳奇獎勵房","[1,8]",100,1
3,"Gems","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardGems","Gems","Gemmes","Gemmen","ジェム","젬","Gemas","Камни","Gemas","หิน","寶石",0,"Gems Reward Room","Salle de récompenses :\nGemmes","Belohnungsraum mit Gemmen","ジェム報酬部屋","젬 보물 창고","Sala de Recompensas: Gemas","Комната с камнями","Sala de recompensas de gemas","ห้องของรางวัล หิน","寶石獎勵房",6,100,300,"Gems Reward Room","Salle de récompenses :\nGemmes","Belohnungsraum mit Gemmen","ジェム報酬部屋","젬 보물 창고","Sala de Recompensas: Gemas","Комната с камнями","Sala de recompensas de gemas","ห้องของรางวัล หิน","寶石獎勵房",[4],300,1
4,"Maps","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardMaps","Maps","Cartes","Karten","マップ","지도","Mapas","Карты","Mapas","แผนที่","地圖",0,"Maps Reward Room","Salle de récompenses :\nCartes","Belohnungsraum mit Karten","マップ報酬部屋","지도 보물 창고","Sala de Recompensas: Mapas","Комната с картами","Sala de recompensas de mapas","ห้องของรางวัล แผนที่","地圖獎勵房",68,100,100,"Maps Reward Room","Salle de récompenses :\nCartes","Belohnungsraum mit Karten","マップ報酬部屋","지도 보물 창고","Sala de Recompensas: Mapas","Комната с картами","Sala de recompensas de mapas","ห้องของรางวัล แผนที่","地圖獎勵房",[8],100,1
5,"Trinkets","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardTrinkets","Accessories","Accessoires","Accessoires","宝飾品","장신구","Acessórios","Украшения","Accesorios","เครื่องประดับ","飾品",0,"Accessories Reward Room","Salle de récompenses :\nAccessoires","Belohnungsraum mit Accessoires","宝飾品報酬部屋","장신구 보물 창고","Sala de Recompensas: Acessórios","Комната с украшениями","Sala de recompensas de accesorios","ห้องของรางวัล เครื่องประดับ","飾品獎勵房",1,100,200,"Accessories Reward Room","Salle de récompenses :\nAccessoires","Belohnungsraum mit Accessoires","宝飾品報酬部屋","장신구 보물 창고","Sala de Recompensas: Acessórios","Комната с украшениями","Sala de recompensas de accesorios","ห้องของรางวัล เครื่องประดับ","飾品獎勵房","[0,2,4]",0,1
6,"Armour","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardArmour","Armour","Pièces d'armure","Rüstung","防具","방어구","Armadura","Доспехи","Armadura","เกราะ","護甲",0,"Armour Reward Room","Salle de récompenses :\nPièces d'armure","Belohnungsraum mit Rüstung","防具報酬部屋","방어구 보물 창고","Sala de Recompensas: Armaduras","Комната с доспехами","Sala de recompensas de armaduras","ห้องของรางวัล เกราะ","護甲獎勵房",1,100,200,"Armour Reward Room","Salle de récompenses :\nPièces d'armure","Belohnungsraum mit Rüstung","防具報酬部屋","방어구 보물 창고","Sala de Recompensas: Armaduras","Комната с доспехами","Sala de recompensas de armaduras","ห้องของรางวัล เกราะ","護甲獎勵房","[5,6,7]",0,1
7,"Weapon","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardWeapon","Weapon","Armes","Waffen","武器","무기","Arma","Оружие","Arma","อาวุธ","武器",0,"Weapon Reward Room","Salle de récompenses :\nArmes","Belohnungsraum mit Waffen","武器報酬部屋","무기 보물 창고","Sala de Recompensas: Armas","Комната с оружием","Sala de recompensas de armas","ห้องของรางวัล อาวุธ","武器獎勵房",1,100,200,"Weapon Reward Room","Salle de récompenses :\nArmes","Belohnungsraum mit Waffen","武器報酬部屋","무기 보물 창고","Sala de Recompensas: Armas","Комната с оружием","Sala de recompensas de armas","ห้องของรางวัล อาวุธ","武器獎勵房","[1,5]",0,1
8,"Abyss","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardAbyss","Abyss","Abysse","Abyss","アビス","심연","Abyss","Бездна","Abyss","อะบิส","深淵",0,"Abyss Reward Room","Salle de récompenses :\nObjets d'Abysse","Belohnungsraum mit Abyss-Gegenständen","アビス報酬部屋","심연 보물 창고","Sala de Recompensas: Abyss","Комната с Бездной","Sala de recompensas de Abyss","ห้องของรางวัล อะบิส","深淵獎勵房",46,100,150,"Abyss Reward Room","Salle de récompenses :\nObjets d'Abysse","Belohnungsraum mit Abyss-Gegenständen","アビス報酬部屋","심연 보물 창고","Sala de Recompensas: Abyss","Комната с Бездной","Sala de recompensas de Abyss","ห้องของรางวัล อะบิส","深淵獎勵房",[5],150,1
9,"Perandus","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardPerandus","Perandus","Pérandus","Perandus","ペランダス","페란두스","Perandus","Перандусы","Perandus","เพแรนดัส","普蘭德斯",0,"Perandus Reward Room","Salle de récompenses :\nObjets de Pérandus","Belohnungsraum mit Perandus-Gegenständen","ペランダス報酬部屋","페란두스 보물 창고","Sala de Recompensas: Perandus","Комната Перандусов","Sala de recompensas de Perandus","ห้องของรางวัล เพแรนดัส","普蘭德斯獎勵房",0,100,0,"Perandus Reward Room","Salle de récompenses :\nObjets de Pérandus","Belohnungsraum mit Perandus-Gegenständen","ペランダス報酬部屋","페란두스 보물 창고","Sala de Recompensas: Perandus","Комната Перандусов","Sala de recompensas de Perandus","ห้องของรางวัล เพแรนดัส","普蘭德斯獎勵房",[],0,1
10,"Harbinger","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardHarbinger","Harbinger","Précurseur","Harbinger","ハービンジャー","선구자","Harbinger","Предвестник","Harbinger","ฮาร์บินเจอร์","神諭",0,"Harbinger Reward Room","Salle de récompenses :\nObjets de Précurseurs","Belohnungsraum mit Harbinger-Gegenständen","ハービンジャー報酬部屋","선구자 보물 창고","Sala de Recompensas: Harbinger","Комната Предвестника","Sala de recompensas de Harbinger","ห้องของรางวัล ฮาร์บินเจอร์","神諭獎勵房",68,100,150,"Harbinger Reward Room","Salle de récompenses :\nObjets de Précurseurs","Belohnungsraum mit Harbinger-Gegenständen","ハービンジャー報酬部屋","선구자 보물 창고","Sala de Recompensas: Harbinger","Комната Предвестника","Sala de recompensas de Harbinger","ห้องของรางวัล ฮาร์บินเจอร์","神諭獎勵房","[6,7]",150,1
11,"Breach","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardBreach","Breach","Brèche","Breach","ブリーチ","균열","Breach","Разлом","Breach","บรีช","裂痕",0,"Breach Reward Room","Salle de récompenses :\nObjets de Brèche","Belohnungsraum mit Breach-Gegenständen","ブリーチ報酬部屋","균열 보물 창고","Sala de Recompensas: Breach","Комната Разлома","Sala de recompensas de Breach","ห้องของรางวัล บรีช","裂痕獎勵房",68,100,150,"Breach Reward Room","Salle de récompenses :\nObjets de Brèche","Belohnungsraum mit Breach-Gegenständen","ブリーチ報酬部屋","균열 보물 창고","Sala de Recompensas: Breach","Комната Разлома","Sala de recompensas de Breach","ห้องของรางวัล บรีช","裂痕獎勵房",[5],150,1
12,"Essences","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardEssences","Essences","Essences","Essenzen","エッセンス","에센스","Essências","Сущности","Esencias","เอสเซนส์","精髓",0,"Essences Reward Room","Salle de récompenses :\nEssences","Belohnungsraum mit Essenzen","エッセンス報酬部屋","에센스 보물 창고","Sala de Recompensas: Essências","Комната Сущностей","Sala de recompensas de esencias","ห้องของรางวัล เอสเซนส์","精髓獎勵房",5,100,250,"Essences Reward Room","Salle de récompenses :\nEssences","Belohnungsraum mit Essenzen","エッセンス報酬部屋","에센스 보물 창고","Sala de Recompensas: Essências","Комната Сущностей","Sala de recompensas de esencias","ห้องของรางวัล เอสเซนส์","精髓獎勵房","[6,8]",250,1
13,"Fragments","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardFragments","Fragments","Fragments","Fragmente","断片","조각","Fragmentos","Фрагменты","Fragmentos","ชิ้นส่วน","碎片",0,"Fragments Reward Room","Salle de récompenses :\nFragments","Belohnungsraum mit Fragmenten","断片報酬部屋","조각 보물 창고","Sala de Recompensas: Fragmentos","Комната с фрагментами","Sala de recompensas de fragmentos","ห้องของรางวัล ชิ้นส่วน","碎片獎勵房",68,100,250,"Fragments Reward Room","Salle de récompenses :\nFragments","Belohnungsraum mit Fragmenten","断片報酬部屋","조각 보물 창고","Sala de Recompensas: Fragmentos","Комната с фрагментами","Sala de recompensas de fragmentos","ห้องของรางวัล ชิ้นส่วน","碎片獎勵房",[0],250,1
14,"Fossils","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardFossils","Fossils","Fossiles","Fossilien","化石","화석","Fósseis","Ископаемые","Fósiles","ฟอสซิล","化石",0,"Fossils Reward Room","Salle de récompenses :\nFossiles","Belohnungsraum mit Fossilien","化石報酬部屋","화석 보물 창고","Sala de Recompensas: Fósseis","Комната с ископаемыми","Sala de recompensas de fósiles","ห้องของรางวัล ฟอสซิล","化石獎勵房",34,100,150,"Fossils Reward Room","Salle de récompenses :\nFossiles","Belohnungsraum mit Fossilien","化石報酬部屋","화석 보물 창고","Sala de Recompensas: Fósseis","Комната с ископаемыми","Sala de recompensas de fósiles","ห้องของรางวัล ฟอสซิล","化石獎勵房","[1,6]",150,1
15,"Prophecies","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardCurrency","Currency","Objets monétaires","Währung","カレンシー","화폐","Item Monetário","Валюта","Objetos monetarios","เงินตรา","通貨",0,"\u0002","\u0002","\u0002","\u0002","\u0002","\u0002","\u0002","\u0002","\u0002","\u0002",8,100,0,"Currency Reward Room","Salle de récompenses :\nObjets monétaires","Belohnungsraum mit Währung","カレンシー報酬部屋","화폐 보물 창고","Sala de Recompensas: Itens Monetários","Комната с валютой","Sala de recompensas de objetos monetarios","ห้องของรางวัล เงินตรา","通貨獎勵房",[2],0,1
16,"DivinationCards","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardDivination","Divination Cards","Cartes divinatoires","Weissagungskarten","占いカード","점술 카드","Cartas de Adivinhação","Гадальные карты","Cartas de adivinación","ไพ่พยากรณ์","命運卡",0,"Divination Cards Reward Room","Salle de récompenses :\nCartes divinatoires","Belohnungsraum mit Weissagungskarten","占いカード報酬部屋","점술 카드 보물 창고","Sala de Recompensas: Cartas de Adivinhação","Комната с гадальными картами","Sala de recompensas de cartas de adivinación","ห้องของรางวัล ไพ่พยากรณ์","命運卡獎勵房",36,100,300,"Divination Cards Reward Room","Salle de récompenses :\nCartes divinatoires","Belohnungsraum mit Weissagungskarten","占いカード報酬部屋","점술 카드 보물 창고","Sala de Recompensas: Cartas de Adivinhação","Комната с гадальными картами","Sala de recompensas de cartas de adivinación","ห้องของรางวัล ไพ่พยากรณ์","命運卡獎勵房","[2,7]",300,1
17,"Generic","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardGeneric","Generic","Objets génériques","Allgemein","一般","일반","Genérico","Разные предметы","Genérico","ทั่วไป","一般",0,"Generic Reward Room","Salle de récompenses :\nObjets génériques","Belohnungsraum mit Gegenständen","一般報酬部屋","일반 보물 창고","Sala de Recompensas: Génericos","Комната с разными наградами","Sala de recompensas genéricas","ห้องของรางวัล ทั่วไป","一般獎勵房",1,67,100,"Generic Reward Room","Salle de récompenses :\nObjets génériques","Belohnungsraum mit Gegenständen","一般報酬部屋","일반 보물 창고","Sala de Recompensas: Génericos","Комната с разными наградами","Sala de recompensas genéricas","ห้องของรางวัล ทั่วไป","一般獎勵房",[3],100,1
