"rownum","rid","rid","i32"
0,16338,16338,3
1,16339,16339,3
2,16335,16335,0
3,16336,16336,0
4,16337,16337,0
5,16340,16340,0
6,16341,216,0
7,16343,6194,0
8,16346,216,1
9,16347,216,2
10,16348,216,3
11,16349,11825,1
12,16267,11825,2
13,16350,172,1
14,16351,172,2
15,16352,16094,1
16,16353,16094,2
17,16365,16262,3
18,16363,16363,1
19,16364,16364,3
20,16325,16325,4
21,16326,16326,4
22,16327,16327,4
23,16356,16356,0
24,16357,16356,1
25,16358,16356,3
26,16360,16359,1
27,16361,16359,2
28,16362,16362,3
29,16354,16354,0
30,16355,16354,3
31,16342,16342,0
32,16344,16342,2
33,16345,16342,3
34,16268,16268,4
35,16367,16388,1
36,16368,16368,0
37,16366,16366,3
38,16369,16389,3
39,16377,16377,3
40,16378,16378,2
41,16379,16379,1
42,16380,16380,2
43,16381,16381,2
44,16409,16356,2
45,16416,16416,4
46,16415,16415,4
