"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,19906,0,11,100,1,6,1,1
1,19907,0,50,100,3,6,1,1
2,19958,0,11,100,1,6,1,1
3,19962,0,11,100,1,6,1,1
4,19963,0,11,100,1,6,1,1
5,19964,0,11,100,1,6,1,1
6,19965,0,11,100,1,6,1,1
7,19970,0,11,100,1,6,1,1
8,19973,150,11,100,1,3,1,1
9,19974,150,25,100,4,5,1,1
10,19975,75,68,100,6,7,1,1
11,19976,150,11,100,1,3,1,1
12,19977,150,25,100,4,5,1,1
13,19978,75,68,100,6,7,1,1
14,19979,150,11,100,1,3,1,1
15,19980,150,25,100,4,5,1,1
16,19981,75,68,100,6,7,1,1
17,19972,75,68,100,3,6,1,1
18,19982,150,40,100,1,3,1,1
19,19983,75,68,100,4,5,1,1
20,19971,37,68,100,6,7,1,1
21,19960,0,11,100,1,3,1,1
22,19984,0,25,100,4,5,1,1
23,19985,0,68,100,6,7,1,1
24,19986,0,68,100,6,7,1,1
25,19966,0,11,100,1,3,1,1
26,19987,0,25,100,4,5,1,1
27,19988,0,68,100,6,7,1,1
28,19961,150,11,100,1,3,1,1
29,19989,75,40,100,4,5,1,1
30,19990,37,68,100,6,7,1,1
31,19967,150,11,100,1,6,1,1
32,19968,75,68,100,4,7,1,1
33,19991,150,68,100,3,7,1,1
