"rownum","i32","i32","X","Y"
0,1,1,451.412,330.563
1,2,1,451.163,229.02
2,3,1,548.683,330.482
3,4,1,549.44,228.757
4,9,6,789.55,248.11
5,10,6,795.27,298.78
6,11,8,736.06,240.21
7,12,8,739.38,308.93
8,13,12,634.07,259.39
9,14,12,628.59,305.15
10,15,6,200.5,247.62
11,16,6,199.42,296.31
12,17,8,272.6,241.03
13,18,8,274.91,296.78
14,19,12,361.33,255.28
15,20,12,357.12,303.79
16,21,8,483,475
17,22,8,546,474
18,23,12,470.85,398.11
19,24,12,527.9,395.32
20,25,8,469,83
21,26,8,519,81
22,27,12,472,144.4
23,28,12,533.03,150.36
24,29,16,835.997,73.628
25,30,16,168.631,81.954
26,31,16,168.368,471.632
27,32,16,835.199,475.458
