"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","BestiaryGroupsKey","Name2 (English)","Name2 (French)","Name2 (German)","Name2 (Japanese)","Name2 (Korean)","Name2 (Portuguese)","Name2 (Russian)","Name2 (Spanish)","Name2 (Thai)","Name2 (Traditional Chinese)","Icon"
0,"Gargantuans","Gargantuans","Gargantuesques","Giganten","ガルガンチュア","가르강튀아","Gargantuas","Громадины","Gigantes","Gargantuan","巨人",3,"Gargantuan","Gargantuesque","Gigant","ガルガンチュア","가르강튀아","Gargantua","Громадина","Gigante","Gargantuan","巨人","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Gargantuans"
1,"Goatmen","Goatmen","Hommes-boucs","Ziegenmenschen","ゴートマン","염소인간","Homens Cabra","Козероги","Hombres cabra","Goatman","羊人",1,"Goatman","Homme-bouc","Ziegenmensch","ゴートマン","염소인간","Homen Cabra","Козерог","Hombre cabra","Goatman","羊人","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Goatman"
2,"GoatShamans","Goat Shamans","Chamans boucs","Ziegenmensch-Schamanen","ゴートシャーマン","염소 주술사","Shamans Cabra","Шаманы козерогов","Chamanes cabra","Goat Shaman","羊人術師",1,"Goat Shaman","Chaman bouc","Ziegenmensch-Schamane","ゴートシャーマン","염소 주술사","Shaman Cabra","Шаман козерогов","Chamán cabra","Goat Shaman","羊人術師","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/GoatShamans"
3,"Hellions","Hellions","Infernaires","Biester","ヘリオン","헬리온","Cães Infernais","Адские львы","Fieras","Hellion","地域犬",0,"Hellion","Infernaire","Biest","ヘリオン","헬리온","Cão Infernal","Адский лев","Fiera","Hellion","地域犬","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Hellions"
4,"Wolves","Wolves","Loups","Wölfe","ウルフ","늑대","Lobos","Волки","Lobos","Wolf","惡狼",2,"Wolf","Loup","Wolf","ウルフ","늑대","Lobo","Волк","Lobo","Wolf","惡狼",""
5,"Apes","Apes","Grands singes","Affen","エイプ","유인원","Primatas","Приматы","Simios","Ape","狂猿",1,"Ape","Grand singe","Affe","エイプ","유인원","Primata","Примат","Simio","Ape","狂猿","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/BloodMonkey"
6,"Rhoas","Rhoas","Rhoas","Rhoas","ロア","로아","Rhoas","Роа","Rhoas","Rhoa","恐喙鳥",5,"Rhoa","Rhoa","Rhoa","ロア","로아","Rhoa","Роа","Rhoa","Rhoa","恐喙鳥","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Rhoa"
7,"SandSpitters","Sand Spitters","Cracheurs de sable","Sandspucker","サンドスピッター","모래 전갈","Cuspidores de Areia","Песчаные плевуны","Escupidores de arena","Sand Spitter","噴砂爪蟹",10,"Sand Spitter","Cracheur de sable","Sandspucker","サンドスピッター","모래 전갈","Cuspidor de Areia","Песчаный плевун","Escupidor de arena","Sand Spitter","噴砂爪蟹",""
8,"SeaWitches","Sea Witches","Sorcières des mers","Seehexen","シーウィッチ","바다 마녀","Bruxas do Mar","Морские ведьмы","Brujas marinas","Sea Witch","海妖",9,"Sea Witch","Sorcière des mers","Seehexe","シーウィッチ","바다 마녀","Bruxa do Mar","Морская ведьма","Bruja marina","Sea Witch","海妖","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Seawitch"
9,"ShieldCrabs","Shield Crabs","Crabes-boucliers","Schildkrabben","シールドクラブ","방패게","Caranguejos Escudo","Крепкие крабы","Cangrejos escudo","Shield Crab","重盾巨蟹",10,"Shield Crab","Crabe-bouclier","Schildkrabbe","シールドクラブ","방패게","Caranguejo Escudo","Крепкий краб","Cangrejo escudo","Shield Crab","重盾巨蟹","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/ShieldCrabs"
