"rownum","Id","Title (English)","Title (French)","Title (German)","Title (Japanese)","Title (Korean)","Title (Portuguese)","Title (Russian)","Title (Spanish)","Title (Thai)","Title (Traditional Chinese)"
0,1,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
1,2,"Achievements","Succès","Errungenschaften","実績","업적","Conquistas","Достижения","Logros","ภารกิจความสำเร็จ","成就"
2,3,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
3,4,"Guild Challenges","Défis de Guilde","Gilden-Herausforderungen","ギルドチャンレジ","길드 도전과제","Desafios de Guilda","Испытания гильдии","Desafíos de Hermandad","ภารกิจท้าทายกิลด์","公會成就"
4,5,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
5,6,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
6,7,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
7,8,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
8,9,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
9,10,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
10,11,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
11,12,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
12,13,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
13,14,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
14,15,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
15,16,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
16,17,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
17,18,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
18,19,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
19,20,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
20,21,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
21,22,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
22,23,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
23,24,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
24,25,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
25,26,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
26,27,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
27,28,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
28,29,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
29,30,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
30,31,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
31,32,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
32,33,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
33,34,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
34,35,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
35,36,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
36,37,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
37,38,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
38,39,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
39,40,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
40,41,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
41,42,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
42,43,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
43,44,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
44,45,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
45,46,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
46,47,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
47,48,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
48,49,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
49,50,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
50,52,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
51,53,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰"
