"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","ArtFile","AchievementItemsKey"
0,"Currency","Contains 2 to 3 Synthesised Chests with Currency Items","Renferme 2 à 3 Coffres synthétisés contenant des Objets monétaires","Enthält 2 bis 3 synthetisierte Truhen mit Währungsgegenständen","カレンシーアイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 2~3개와 화폐 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Itens Monetários","Содержит от 2 до 3 синтезированных сундуков с валютой","Contiene de 2 a 3 Cofres Sintetizados que tienen Objetos Monetarios","มีหีบสมบัติสังเคราะห์ ไอเทมเงินตรา อยู่ 2 ถึง 3 หีบ","包含 2 至 3 個含有通貨的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIcon",""
1,"Currency2","Contains 3 to 4 Synthesised Chests with Currency Items","Renferme 3 à 4 Coffres synthétisés contenant des Objets monétaires","Enthält 3 bis 4 synthetisierte Truhen mit Währungsgegenständen","カレンシーアイテムの入ったシンセシスチェストが3-4個追加される","결합물 상자 3~4개와 화폐 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Itens Monetários","Содержит от 3 до 4 синтезированных сундуков с валютой","Contiene de 3 a 4 Cofres Sintetizados que tienen Objetos Monetarios","มีหีบสมบัติสังเคราะห์ ไอเทมเงินตรา อยู่ 3 ถึง 4 หีบ","包含 3 至 4 個含有通貨的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIcon",""
2,"Currency3","Contains 4 to 5 Synthesised Chests with Currency Items","Renferme 4 à 5 Coffres synthétisés contenant des Objets monétaires","Enthält 4 bis 5 synthetisierte Truhen mit Währungsgegenständen","カレンシーアイテムを含むシンセシスチェストが4-5個追加される","결합물 상자 4~5개와 화폐 아이템 포함","Contém de 4 a 5 Baús Sintetizados com Itens Monetários","Содержит от 4 до 5 синтезированных сундуков с валютой","Contiene de 4 a 5 Cofres Sintetizados que tienen Objetos Monetarios","มีหีบสมบัติสังเคราะห์ ไอเทมเงินตรา อยู่ 4 ถึง 5 หีบ","包含 4 至 5 個含有通貨的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIcon",""
3,"CurrencyHigh3","Contains 2 to 3 Synthesised Chests with valuable Currency Items\r\nContains 2 Synthesised Chests with Currency Items","Renferme 2 à 3 Coffres synthétisés contenant des Objets monétaires de valeur\r\nRenferme 2 Coffres synthétisés contenant des Objets monétaires","Enthält 2 bis 3 synthetisierte Truhen mit wertvollen Währungsgegenständen\r\nEnthält 2 synthetisierte Truhen mit Währungsgegenständen","高価値なカレンシーアイテムの入ったシンセシスチェストが2-3個追加される\r\nカレンシーアイテムの入ったシンセシスチェストが2個追加される","결합물 상자 2~3개와 귀중한 화폐 아이템 포함\r\n결합물 상자 2개와 화폐 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Itens Monetários valiosos\r\nContém 2 Baús Sintetizados com Itens Monetários","Содержит от 2 до 3 синтезированных сундуков с ценной валютой\r\nСодержит 2 синтезированных сундука с валютой","Contiene de 2 a 3 Cofres Sintetizados que tienen Objetos Monetarios valiosos\r\nContiene 2 Cofres Sintetizados que tienen Objetos Monetarios","มีหีบสมบัติสังเคราะห์ ไอเทมเงินตรา ที่มีค่า อยู่ 2 ถึง 3 หีบ\r\nมีหีบสมบัติสังเคราะห์ ไอเทมเงินตรา อยู่ 2 หีบ","包含 2 至 3 個含有價值通貨的追憶之匣\r\n包含 2 個含有通貨的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIconTier2",""
4,"Currency4","Contains 5 to 6 Synthesised Chests with Currency Items","Renferme 5 à 6 Coffres synthétisés contenant des Objets monétaires","Enthält 5 bis 6 synthetisierte Truhen mit Währungsgegenständen","カレンシーアイテムの入ったシンセシスチェストが5-6個追加される","결합물 상자 5~6개와 화폐 아이템 포함","Contém de 5 a 6 Baús Sintetizados com Itens Monetários","Содержит от 5 до 6 синтезированных сундуков с валютой","Contiene de 5 a 6 Cofres Sintetizados que tienen Objetos Monetarios","มีหีบสมบัติสังเคราะห์ ไอเทมเงินตรา อยู่ 5 ถึง 6 หีบ","包含 5 至 6 個含有通貨的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIcon",""
5,"CurrencyHigh4","Contains 3 to 4 Synthesised Chests with valuable Currency Items\r\nContains 2 Synthesised Chests with Currency Items","Renferme 3 à 4 Coffres synthétisés contenant des Objets monétaires de valeur\r\nRenferme 2 Coffres synthétisés contenant des Objets monétaires","Enthält 3 bis 4 synthetisierte Truhen mit wertvollen Währungsgegenständen\r\nEnthält 2 synthetisierte Truhen mit Währungsgegenständen","高価値なカレンシーアイテムの入ったシンセシスチェストが3-4個追加される\r\nカレンシーアイテムの入ったシンセシスチェストが2個追加される","결합물 상자 3~4개와 귀중한 화폐 아이템 포함\r\n결합물 상자 2개와 화폐 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Itens Monetários valiosos\r\nContém 2 Baús Sintetizados com Itens Monetários","Содержит от 3 до 4 синтезированных сундуков с ценной валютой\r\nСодержит 2 синтезированных сундука с валютой","Contiene de 3 a 4 Cofres Sintetizados que tienen Objetos Monetarios valiosos\r\nContiene 2 Cofres Sintetizados que tienen Objetos Monetarios","มีหีบสมบัติสังเคราะห์ ไอเทมเงินตรา ที่มีค่า อยู่ 3 ถึง 4 หีบ\r\nมีหีบสมบัติสังเคราะห์ ไอเทมเงินตรา อยู่ 2 หีบ","包含 3 至 4 個含有價值通貨的追憶之匣\r\n包含 2 個含有通貨的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIconTier2",""
6,"CurrencyEpic4","Contains a Synthesised Chest with very valuable Currency Items\r\nContains 4 to 5 Synthesised Chests with Currency Items","Renferme 1 Coffre synthétisé contenant des Objets monétaires de grande valeur\r\nRenferme 4 à 5 Coffres synthétisés contenant des Objets monétaires","Enthält 1 synthetisierte Truhe mit sehr wertvollen Währungsgegenständen\r\nEnthält 4 bis 5 synthetisierte Truhen mit Währungsgegenständen","非常に高価値なカレンシーアイテムの入ったシンセシスチェストが1個追加される\r\nカレンシーアイテムの入ったシンセシスチェストが4-5個追加される","결합물 상자 1개와 매우 귀중한 화폐 아이템 포함\r\n결합물 상자 4~5개와 화폐 아이템 포함","Contém um Baú Sintetizado com Itens Monetários valiosos\r\nContém de 4 a 5 Baús Sintetizados com Itens Monetários","Содержит синтезированный сундук с очень ценной валютой\r\nСодержит от 4 до 5 синтезированных сундуков с валютой","Contiene un Cofre Sintetizado que tiene Objetos Monetarios muy valiosos\r\nContiene de 4 a 5 Cofres Sintetizados que tienen Objetos Monetarios","มีหีบสมบัติสังเคราะห์ ไอเทมเงินตรา ที่มีค่า มากๆ อยู่ 1 หีบ\r\nมีหีบสมบัติสังเคราะห์ ไอเทมเงินตรา อยู่ 4 ถึง 5 หีบ","包含 1 個含有價值連城通貨的追憶之匣\r\n包含 4 至 5 個含有通貨的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIconTier3",""
7,"Currency5","Contains 6 to 7 Synthesised Chests with Currency Items","Renferme 6 à 7 Coffres synthétisés contenant des Objets monétaires","Enthält 6 bis 7 synthetisierte Truhen mit Währungsgegenständen","カレンシーアイテムの入ったシンセシスチェストが6-7個追加される","결합물 상자 6~7개와 화폐 아이템 포함","Contém de 6 a 7 Baús Sintetizados com Itens Monetários","Содержит от 6 до 7 синтезированных сундуков с валютой","Contiene de 6 a 7 Cofres Sintetizados que tienen Objetos Monetarios","มีหีบสมบัติสังเคราะห์ ไอเทมเงินตรา อยู่ 6 ถึง 7 หีบ","包含 6 至 7 個含有通貨的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIcon",""
8,"CurrencyHigh5","Contains 4 to 5 Synthesised Chests with valuable Currency Items\r\nContains 2 Synthesised Chests with Currency Items","Renferme 4 à 5 Coffres synthétisés contenant des Objets monétaires de valeur\r\nRenferme 2 Coffres synthétisés contenant des Objets monétaires","Enthält 4 bis 5 synthetisierte Truhen mit wertvollen Währungsgegenständen\r\nEnthält 2 synthetisierte Truhen mit Währungsgegenständen","高価値なカレンシーアイテムの入ったシンセシスチェストが4-5個追加される\r\nカレンシーアイテムの入ったシンセシスチェストが2個追加される","결합물 상자 4~5개와 귀중한 화폐 아이템 포함\r\n결합물 상자 2개와 화폐 아이템 포함","Contém de 4 a 5 Baús Sintetizados com Itens Monetários valiosos\r\nContém 2 Baús Sintetizados com Itens Monetários","Содержит от 4 до 5 синтезированных сундуков с ценной валютой\r\nСодержит 2 синтезированных сундука с валютой","Contiene de 4 a 5 Cofres Sintetizados que tienen Objetos Monetarios valiosos\r\nContiene 2 Cofres Sintetizados que tienen Objetos Monetarios","มีหีบสมบัติสังเคราะห์ ไอเทมเงินตรา ที่มีค่า อยู่ 4 ถึง 5 หีบ\r\nมีหีบสมบัติสังเคราะห์ ไอเทมเงินตรา อยู่ 2 หีบ","包含 4 至 5 個含有價值通貨的追憶之匣\r\n包含 2 個含有通貨的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIconTier2",""
9,"CurrencyEpic5","Contains a Synthesised Chest with very valuable Currency Items\r\nContains 5 to 6 Synthesised Chests with Currency Items","Renferme 1 Coffre synthétisé contenant des Objets monétaires de grande valeur\r\nRenferme 5 à 6 Coffres synthétisés contenant des Objets monétaires","Enthält 1 synthetisierte Truhe mit sehr wertvollen Währungsgegenständen\r\nEnthält 5 bis 6 synthetisierte Truhen mit Währungsgegenständen","非常に高価値なカレンシーアイテムの入ったシンセシスチェストが1個追加される\r\nカレンシーアイテムの入ったシンセシスチェストが5-6個追加される","결합물 상자 1개와 매우 귀중한 화폐 아이템 포함\r\n결합물 상자 5~6개와 화폐 아이템 포함","Contém um Baú Sintetizado com Itens Monetários valiosos\r\nContém de 5 a 6 Baús Sintetizados com Itens Monetários","Содержит синтезированный сундук с очень ценной валютой\r\nСодержит от 5 до 6 синтезированных сундуков с валютой","Contiene un Cofre Sintetizads que tiene Objetos Monetarios muy valiosos\r\nContiene de 5 a 6 Cofres Sintetizados que tienen Objetos Monetarios","มีหีบสมบัติสังเคราะห์ ไอเทมเงินตรา ที่มีค่า มากๆ อยู่ 1 หีบ\r\nมีหีบสมบัติสังเคราะห์ ไอเทมเงินตรา อยู่ 5 ถึง 6 หีบ","包含 1 個含有價值連城通貨的追憶之匣\r\n包含 5 至 6 個含有通貨的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CurrencyItemRewardIconTier3",""
