"rownum","BetrayalJobsKey","BetrayalTargetsKey","BetrayalRanksKey","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Description2 (English)","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)"
0,3,16,1,"Pilfering Torment Scarabs","Dérobe des Scarabées du Tourment","Stibitzt Torment-Skarabäen","トーメントスカラベの窃盗","훔쳐낸 고통 갑충석","Furtando Escaravelhos Atormentados","Разворовывает скарабеев Мучения","Hurtar escarabajos de tormento","ฉกชิงสคารับทรมาน","盜竊苦痛聖甲蟲","Pilfering Torment Scarabs","Dérobe des Scarabées du Tourment","Stibitzt Torment-Skarabäen","トーメントスカラベの窃盗","훔쳐낸 고통 갑충석","Roubando Escaravelhos do Tormento","Разворовывает скарабеев Мучения","Hurtar escarabajos de tormento","ฉกชิงสคารับทรมาน","盜竊苦痛聖甲蟲"
1,3,16,2,"Pilfering Torment Scarabs","Dérobe des Scarabées du Tourment","Stibitzt Torment-Skarabäen","トーメントスカラベの窃盗","훔쳐낸 고통 갑충석","Furtando Escaravelhos Atormentados","Разворовывает скарабеев Мучения","Hurtar escarabajos de tormento","ฉกชิงสคารับทรมาน","盜竊苦痛聖甲蟲","Pilfering Torment Scarabs","Dérobe des Scarabées du Tourment","Stibitzt Torment-Skarabäen","トーメントスカラベの窃盗","훔쳐낸 고통 갑충석","Roubando Escaravelhos do Tormento","Разворовывает скарабеев Мучения","Hurtar escarabajos de tormento","ฉกชิงสคารับทรมาน","盜竊苦痛聖甲蟲"
2,3,16,3,"Pilfering Torment Scarabs","Dérobe des Scarabées du Tourment","Stibitzt Torment-Skarabäen","トーメントスカラベの窃盗","훔쳐낸 고통 갑충석","Furtando Escaravelhos Atormentados","Разворовывает скарабеев Мучения","Hurtar escarabajos de tormento","ฉกชิงสคารับทรมาน","盜竊苦痛聖甲蟲","Pilfering Torment Scarabs","Dérobe des Scarabées du Tourment","Stibitzt Torment-Skarabäen","トーメントスカラベの窃盗","훔쳐낸 고통 갑충석","Roubando Escaravelhos do Tormento","Разворовывает скарабеев Мучения","Hurtar escarabajos de tormento","ฉกชิงสคารับทรมาน","盜竊苦痛聖甲蟲"
3,1,16,1,"Guarding Veiled Equipment","Garde de l'Équipement crypté","Bewahrt verhüllte Ausrüstung","ヴェール装備の警備","수호받는 장막 장비","Protegendo Equipamentos Ocultos","Охраняет завуалированное снаряжение","Preservar equipamiento encriptado","เฝ้าไอเทมสวมใส่ผนึก","保護隱匿護甲","Smuggling Boots (Trapped Chests!)","Fait de la contrebande de Bottes (dans des coffres piégés !)","Schmuggelt Stiefel (Truhen mit Fallen!)","靴の密輸（トラップチェスト！）","밀수한 장화 (덫 상자!)","Contrabandeando Botas (Baús Trancados!)","Тайно провозит сапоги (ловушки в сундуках!)","Traficar con botas (¡Cofres atrapados!)","ลอบขนรองเท้า (หีบติดกับดัก!)","走私鞋子（陷阱寶箱！）"
4,1,16,2,"Guarding Veiled Equipment","Garde de l'Équipement crypté","Bewahrt verhüllte Ausrüstung","ヴェール装備の警備","수호받는 장막 장비","Protegendo Equipamentos Ocultos","Охраняет завуалированное снаряжение","Preservar equipamiento encriptado","เฝ้าไอเทมสวมใส่ผนึก","保護隱匿護甲","Smuggling Boots (Trapped Chests!)","Fait de la contrebande de Bottes (dans des coffres piégés !)","Schmuggelt Stiefel (Truhen mit Fallen!)","靴の密輸（トラップチェスト！）","밀수한 장화 (덫 상자!)","Contrabandeando Botas (Baús Trancados!)","Тайно провозит сапоги (ловушки в сундуках!)","Traficar con botas (¡Cofres atrapados!)","ลอบขนรองเท้า (หีบติดกับดัก!)","走私鞋子（陷阱寶箱！）"
5,1,16,3,"Guarding Veiled Equipment","Garde de l'Équipement crypté","Bewahrt verhüllte Ausrüstung","ヴェール装備の警備","수호받는 장막 장비","Protegendo Equipamentos Ocultos","Охраняет завуалированное снаряжение","Preservar equipamiento encriptado","เฝ้าไอเทมสวมใส่ผนึก","保護隱匿護甲","Smuggling Boots (Trapped Chests!)","Fait de la contrebande de Bottes (dans des coffres piégés !)","Schmuggelt Stiefel (Truhen mit Fallen!)","靴の密輸（トラップチェスト！）","밀수한 장화 (덫 상자!)","Contrabandeando Botas (Baús Trancados!)","Тайно провозит сапоги (ловушки в сундуках!)","Traficar con botas (¡Cofres atrapados!)","ลอบขนรองเท้า (หีบติดกับดัก!)","走私鞋子（陷阱寶箱！）"
6,2,16,1,"Smuggling Attuned Equipment (Trapped Chests!)","Fait de la contrebande d'Équipement réactif\r\n(dans des coffres piégés !)","Schmuggelt angepasste Ausrüstung (Truhen mit Fallen!)","調和した装備の密輸（トラップチェスト！）","밀수한 조율된 장비 (덫 상자!)","Contrabandeando Equipamentos Sintonizados (Baús com Armadilhas!)","Тайно провозит подогнанную экипировку (ловушки в сундуках!)","Traficar con equipamiento adaptado (¡Cofres atrapados!)","ลอบขนไอเทมสวมใส่ที่ถูกปรับแต่ง (หีบติดกับดัก!)","走私調和的武器（陷阱寶箱！）","Transporting Boots","Transporte des Bottes","Transportiert Stiefel","靴の輸送","수송 중인 장화","Transportando Botas","Перевозит сапоги","Transportar botas","ขนส่งรองเท้า","護送鞋子"
7,2,16,2,"Smuggling Attuned Equipment (Trapped Chests!)","Fait de la contrebande d'Équipement réactif\r\n(dans des coffres piégés !)","Schmuggelt angepasste Ausrüstung (Truhen mit Fallen!)","調和した装備の密輸（トラップチェスト！）","밀수한 조율된 장비 (덫 상자!)","Contrabandeando Equipamentos Sintonizados (Baús com Armadilhas!)","Тайно провозит подогнанную экипировку (ловушки в сундуках!)","Traficar con equipamiento adaptado (¡Cofres atrapados!)","ลอบขนไอเทมสวมใส่ที่ถูกปรับแต่ง (หีบติดกับดัก!)","走私調和的武器（陷阱寶箱！）","Transporting Boots","Transporte des Bottes","Transportiert Stiefel","靴の輸送","수송 중인 장화","Transportando Botas","Перевозит сапоги","Transportar botas","ขนส่งรองเท้า","護送鞋子"
8,2,16,3,"Smuggling Attuned Equipment (Trapped Chests!)","Fait de la contrebande d'Équipement réactif\r\n(dans des coffres piégés !)","Schmuggelt angepasste Ausrüstung (Truhen mit Fallen!)","調和した装備の密輸（トラップチェスト！）","밀수한 조율된 장비 (덫 상자!)","Contrabandeando Equipamentos Sintonizados (Baús com Armadilhas!)","Тайно провозит подогнанную экипировку (ловушки в сундуках!)","Traficar con equipamiento adaptado (¡Cofres atrapados!)","ลอบขนไอเทมสวมใส่ที่ถูกปรับแต่ง (หีบติดกับดัก!)","走私調和的武器（陷阱寶箱！）","Transporting Boots","Transporte des Bottes","Transportiert Stiefel","靴の輸送","수송 중인 장화","Transportando Botas","Перевозит сапоги","Transportar botas","ขนส่งรองเท้า","護送鞋子"
9,4,16,1,"Imbuing Veiled Magic","Manipule de la Magie cryptée","Verleiht verhüllte Magie","ヴェール魔法の染色","장막 마법 부여","Imbuindo Magias Ocultas","Насыщает завуалированную магию","Imbuir magia encriptada","เพิ่มพลังเวทมนตร์ผนึก","注入隱匿魔法","Gambling with Boot Properties","Joue avec les Propriétés des Bottes","Experimentiert mit Stiefel-Eigenschaften","靴の特性のギャンブル","장화 속성 도박","Arriscando com Propriedades de Botas","Спекулирует на свойствах сапог","Apostar sobre las propiedades de las botas","เสี่ยงโชคกับคุณสมบัติของรองเท้า","用鞋子屬性博弈"
