"rownum","Id","ChestsKey","SpawnWeight","MinLabyrinthTier","MaxLabyrinthTier","i32"
0,"Metadata/Chests/Labyrinth/Izaro/IzaroChest1",359,200,1,3,0
1,"Metadata/Chests/Labyrinth/Izaro/IzaroChest2",360,100,1,3,0
2,"Metadata/Chests/Labyrinth/Izaro/IzaroChest3",361,50,1,3,0
3,"Metadata/Chests/Labyrinth/Izaro/IzaroChest4",362,5,1,3,0
4,"Metadata/Chests/Labyrinth/Izaro/IzaroChest5",363,200,1,3,0
5,"Metadata/Chests/Labyrinth/Izaro/IzaroChest6",364,100,1,3,0
6,"Metadata/Chests/Labyrinth/Izaro/IzaroChest7",365,200,1,3,0
7,"Metadata/Chests/Labyrinth/Izaro/IzaroChest8",366,100,1,3,0
8,"Metadata/Chests/Labyrinth/Izaro/IzaroChest9",367,200,1,3,0
9,"Metadata/Chests/Labyrinth/Izaro/IzaroChest10",368,100,1,3,0
10,"Metadata/Chests/Labyrinth/Izaro/IzaroChest11",369,200,1,3,0
11,"Metadata/Chests/Labyrinth/Izaro/IzaroChest12",370,100,1,3,0
12,"Metadata/Chests/Labyrinth/Izaro/IzaroChest14",372,100,1,3,0
13,"Metadata/Chests/Labyrinth/Izaro/IzaroChest15",373,100,1,3,0
14,"Metadata/Chests/Labyrinth/Izaro/IzaroChest16",374,500,1,3,0
15,"Metadata/Chests/Labyrinth/Izaro/IzaroChest17",375,100,1,3,0
16,"Metadata/Chests/Labyrinth/Izaro/IzaroChest18",376,100,1,3,0
17,"Metadata/Chests/Labyrinth/Izaro/IzaroChest20",378,5,1,3,0
18,"Metadata/Chests/Labyrinth/Izaro/IzaroChest21",379,200,4,4,0
19,"Metadata/Chests/Labyrinth/Izaro/IzaroChest22",380,50,4,4,0
20,"Metadata/Chests/Labyrinth/Izaro/IzaroChest23",381,200,4,4,0
21,"Metadata/Chests/Labyrinth/Izaro/IzaroChest24",382,15,4,4,0
22,"Metadata/Chests/Labyrinth/Izaro/IzaroChest13",371,50,4,4,0
23,"Metadata/Chests/Labyrinth/Izaro/IzaroChest19",377,20,4,4,0
24,"Metadata/Chests/Labyrinth/Izaro/IzaroChest25",384,120,4,4,0
25,"Metadata/Chests/Labyrinth/Izaro/IzaroChest26",385,160,4,4,0
26,"Metadata/Chests/Labyrinth/Izaro/IzaroChest27",386,200,4,4,0
27,"Metadata/Chests/Labyrinth/Izaro/IzaroChest28",387,200,4,4,0
28,"Metadata/Chests/Labyrinth/Izaro/IzaroChest29",388,200,4,4,0
29,"Metadata/Chests/Labyrinth/Izaro/IzaroChest30",389,200,4,4,0
30,"Metadata/Chests/Labyrinth/Izaro/IzaroChest31",390,200,4,4,0
31,"Metadata/Chests/Labyrinth/Izaro/IzaroChest32",391,200,4,4,0
32,"Metadata/Chests/Labyrinth/Izaro/IzaroChest33",392,200,4,4,0
33,"Metadata/Chests/Labyrinth/Izaro/IzaroChest34",393,200,4,4,0
