"rownum","BaseItemTypesKey","Name","Group","LifePerUse","ManaPerUse","RecoveryTime","BuffDefinitionsKey","BuffStatValues","RecoveryTime2","BuffStatValues2"
0,5757,"Small Life Flask",1,70,0,30,"",[],30,[]
1,5758,"Medium Life Flask",1,150,0,35,"",[],35,[]
2,5759,"Large Life Flask",1,250,0,35,"",[],35,[]
3,5760,"Greater Life Flask",1,360,0,35,"",[],35,[]
4,5761,"Grand Life Flask",1,640,0,30,"",[],30,[]
5,5762,"Giant Life Flask",1,830,0,40,"",[],40,[]
6,5763,"Colossal Life Flask",1,1000,0,35,"",[],35,[]
7,5764,"Sacred Life Flask",1,1200,0,30,"",[],30,[]
8,5765,"Hallowed Life Flask",1,1990,0,40,"",[],40,[]
9,5766,"Sanctified Life Flask",1,1460,0,15,"",[],15,[]
10,5767,"Divine Life Flask",1,2400,0,35,"",[],35,[]
11,5768,"Eternal Life Flask",1,2080,0,20,"",[],20,[]
12,5769,"Small Life Flask",1,70,0,40,"",[],40,[]
13,5770,"Medium Life Flask",1,130,0,50,"",[],50,[]
14,5771,"Large Life Flask",1,200,0,60,"",[],60,[]
15,5772,"Small Mana Flask",2,0,50,30,"",[],30,[]
16,5773,"Medium Mana Flask",2,0,70,35,"",[],35,[]
17,5774,"Large Mana Flask",2,0,90,40,"",[],40,[]
18,5775,"Greater Mana Flask",2,0,120,40,"",[],40,[]
19,5776,"Grand Mana Flask",2,0,170,45,"",[],45,[]
20,5777,"Giant Mana Flask",2,0,250,50,"",[],50,[]
21,5778,"Colossal Mana Flask",2,0,350,50,"",[],50,[]
22,5779,"Sacred Mana Flask",2,0,480,55,"",[],55,[]
23,5780,"Hallowed Mana Flask",2,0,700,60,"",[],60,[]
24,5781,"Sanctified Mana Flask",2,0,1100,65,"",[],65,[]
25,5782,"Divine Mana Flask",2,0,1400,50,"",[],50,[]
26,5783,"Eternal Mana Flask",2,0,1800,70,"",[],70,[]
27,5784,"Small Hybrid Flask",3,100,70,50,"",[],50,[]
28,5785,"Medium Hybrid Flask",3,230,100,50,"",[],50,[]
29,5786,"Large Hybrid Flask",3,510,140,50,"",[],50,[]
30,5787,"Colossal Hybrid Flask",3,690,200,50,"",[],50,[]
31,5788,"Sacred Hybrid Flask",3,1440,400,50,"",[],50,[]
32,5789,"Hallowed Hybrid Flask",3,1740,480,50,"",[],50,[]
33,5790,"Diamond Flask",4,0,0,60,114,[100],40,[100]
34,5791,"Ruby Flask",4,0,0,80,115,"[50,-20]",55,"[50,-20]"
35,5792,"Sapphire Flask",4,0,0,80,116,"[50,-20]",55,"[50,-20]"
36,5793,"Topaz Flask",4,0,0,80,117,"[50,-20]",55,"[50,-20]"
37,5794,"Granite Flask",4,0,0,60,118,[1500],40,[1500]
38,5795,"Quicksilver Flask",4,0,0,60,119,[40],20,[40]
39,5796,"Amethyst Flask",4,0,0,65,120,[35],45,[35]
40,5797,"Quartz Flask",4,0,0,60,121,"[1,10]",40,"[1,10]"
41,5798,"Jade Flask",4,0,0,60,122,[1500],40,[1500]
42,5799,"Basalt Flask",4,0,0,80,123,[20],55,[20]
43,5800,"Aquamarine Flask",4,0,0,80,124,[-60],55,[-60]
44,5801,"Stibnite Flask",4,0,0,80,126,[20],55,[20]
45,5802,"Sulphur Flask",4,0,0,80,127,[40],55,[40]
46,5803,"Silver Flask",4,0,0,60,128,[],40,[]
47,5804,"Bismuth Flask",4,0,0,85,125,[35],55,[35]
48,5805,"Gold Flask",4,0,0,50,129,[30],35,[30]
49,5806,"Corundum Flask",4,0,0,75,1840,[30],50,[30]
50,5807,"Iron Flask",4,0,0,50,130,[200],35,[200]
