"rownum","Id","i32","MapItem","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","i32","IsShaperGuardian","IsElderGuardian","rid","rid"
0,"Conqueror1",0,"","Baran, The Crusader","Baran, le Croisé","Baran der Kreuzritter","クルセイダー、バラン","십자군 바란","Baran, o Cruzado","Бэран, Крестоносец","Baran, el Cruzado","บาราน ผู้พิชิตอธรรม","聖戰軍王．巴倫",1,"","","",0
1,"Conqueror2",0,"","Veritania, The Redeemer","Véritania, la Rédemptrice","Veritania die Erlöserin","リディーマー、ヴェリタニア","대속자 베리타니아","Veritania, a Redentora","Веритания, Избавительница","Veritania, la Redentora","เวริทาเนีย ผู้พิชิตบาป","救贖者．維羅提尼亞",2,"","","",1
2,"Conqueror3",0,"","Al-Hezmin, The Hunter","Al-Hezmin, le Chasseur","Al-Hezmin der Jäger","ハンター、アルヘズミン","사냥꾼 알-헤즈민","Al-Hezmin, o Caçador","Аль-Хезмин, Охотник","Al-Hezmin, el Cazador","อัล-เฮซมิน ผู้พิชิตเหยื่อ","狩獵者．奧赫茲明",3,"","","",2
3,"Conqueror4",0,"","Drox, The Warlord","Drox, le Seigneur de guerre","Drox der Kriegsfürst","ウォーロード、ドロクス","전쟁군주 드록스","Drox, o Senhor da Guerra","Дрокс, Вождь","Drox, el Jefe de guerra","ดร็อกซ์ ผู้พิชิตศึก","總督軍．圖拉克斯",4,"","","",3
4,"ElderGuardian1",1,"","The Enslaver","L'Asservisseur","Der Sklavenschinder","エンスレイバー","조종자","O Escravizador","Поработитель","El Esclavista","ผู้กดขี่","異界．奴役",1,"",1,0,""
5,"ElderGuardian2",1,"","The Eradicator","L'Éradicateur","Der Vernichter","エラディケーター","박멸자","O Erradicador","Искоренитель","El Erradicador","ผู้ขจัด","異界．根除",2,"",1,1,""
6,"ElderGuardian3",1,"","The Constrictor","Le Constricteur","Der Unterdrücker","コンストリクター","위압자","O Constritor","Угнетатель","El Constrictor","ผู้บีบรัด","異界．干擾",3,"",1,2,""
7,"ElderGuardian4",1,"","The Purifier","Le Purificateur","Der Läuterer","ピュアリファイヤー","정화자","O Purificador","Искупитель","El Purificador","ผู้ชำระล้าง","異界．淨化",4,"",1,3,""
8,"ShaperGuardian1",2,7227,"Pit of the Chimera","Fosse de la Chimère","Grube der Chimäre","キメラの闘拳場","키메라의 구덩이","Fosso do Quimera","Яма Химеры","Hoyo de la Quimera","หลุมของคิเมียร่า","奇美拉魔坑",1,1,"","",""
9,"ShaperGuardian2",2,7228,"Lair of the Hydra","Antre de l'Hydre","Versteck der Hydra","ヒュドラの巣","히드라의 소굴","Covil da Hidra","Логово Гидры","Guarida de la Hidra","รังของไฮดร้า","九頭蛇冰窟",2,1,"","",""
10,"ShaperGuardian3",2,7230,"Forge of the Phoenix","Forge du Phénix","Schmiede des Phönix","フェニックスの鍛冶場","불사조의 대장간","Forja da Fênix","Кузница Феникса","Forja del Fénix","บ่อหลอมของฟีนิกซ์","火鳳凰熔核",3,1,"","",""
11,"ShaperGuardian4",2,7229,"Maze of the Minotaur","Dédale du Minotaure","Labyrinth des Minotauren","ミノタウロスの迷宮","미노타우로스의 미로","Labirinto do Minotauro","Лабиринт Минотавра","Laberinto del Minotauro","เขาวงกตของมิโนทอร์","牛頭人謎域",4,1,"","",""
