"rownum","string","[rid]","i32"
0,"steelskin_hit",[19],0
1,"steelskin_hit",[255],1
2,"steelskin_hit",[20],2
3,"steelskin_fadeout",[13],0
4,"steelskin_fadeout",[256],1
5,"steelskin_fadeout",[14],2
6,"divine_cry_weapon_left",[307],0
7,"divine_cry_weapon_left",[365],2
8,"divine_cry_weapon_left",[367],3
9,"divine_cry_weapon_right",[306],0
10,"divine_cry_weapon_right",[366],2
11,"divine_cry_weapon_right",[368],3
12,"chain_strike_dash",[10],0
13,"chain_strike_dash",[309],1
14,"chain_strike_hit",[11],0
15,"chain_strike_hit",[310],1
16,"arcane_cloak_block",[80],0
17,"arcane_cloak_block",[311],1
18,"arcane_cloak_fade_out",[79],0
19,"arcane_cloak_fade_out",[312],1
20,"igniting_flask_in_hand",[313],0
21,"igniting_flask_in_hand_scion_pls",[314],0
22,"weapon_trap_weapon",[318],0
23,"ambush_teleport_in",[324],0
24,"ambush_teleport_out",[325],0
25,"rage_slash_weapon",[326],0
26,"rage_slash_weapon",[509],1
27,"soulfeast_hand_surge",[327],0
28,"soulfeast_hand_surge",[474],1
29,"lightning_strike_proj_hit",[328],0
30,"lightning_strike_proj_hit",[328],1
31,"lightning_strike_proj_hit",[329],2
32,"lightning_strike_proj_hit",[437],3
33,"lightning_strike_proj_hit",[505],4
34,"lightning_strike_proj_hit",[593],5
35,"lightning_strike_vaal_blade",[330],0
36,"lightning_strike_vaal_blade",[330],1
37,"lightning_strike_vaal_blade",[342],2
38,"lightning_strike_vaal_blade",[438],3
39,"lightning_strike_vaal_blade",[506],4
40,"lightning_strike_vaal_blade",[594],5
41,"burning_arrow_stuck_fade",[71],0
42,"burning_arrow_stuck_fade",[333],1
43,"dash_afterimage",[57],0
44,"dash_char",[54],0
45,"dash_afterimage",[58],1
46,"dash_char",[55],1
47,"dash_afterimage",[59],2
48,"dash_char",[56],2
49,"dash_afterimage",[59],3
50,"dash_char",[56],3
51,"dash_afterimage",[161],4
52,"dash_char",[160],4
53,"dash_afterimage",[335],5
54,"dash_char",[334],5
55,"dash_char",[439],6
56,"dash_char_end",[440],6
57,"spectral_helix_weapon_effect",[341],0
58,"leap_slam",[344],10
59,"leap_slam",[347],12
60,"leap_slam",[345],14
61,"leap_slam",[346],16
62,"leap_slam",[343],19
63,"leap_slam",[347],21
64,"leap_slam_warp_out",[41],22
65,"leap_slam_warp_in",[42],22
66,"arc_hit",[34],8
67,"arc_hit",[147],10
68,"arc_hit",[348],12
69,"arc_lucky_begin",[35],8
70,"chronomancer_after_image",[349],0
71,"chronomancer_rewind_in_place",[369],0
72,"chronomancer_clone_rewind",[370],0
73,"attached_projectile_effect_arrow_loop",[186],1
74,"attached_projectile_effect_arrow_loop",[226],2
75,"attached_projectile_effect_arrow_loop",[296],3
76,"attached_projectile_effect_arrow_loop",[350],4
77,"attached_projectile_effect_arrow_loop",[462],5
78,"attached_projectile_effect_arrow_once",[187],1
79,"attached_projectile_effect_arrow_once",[227],2
80,"attached_projectile_effect_arrow_once",[297],3
81,"attached_projectile_effect_arrow_once",[351],4
82,"attached_projectile_effect_arrow_once",[463],5
83,"attached_projectile_effect_spell_loop",[188],1
84,"attached_projectile_effect_spell_loop",[228],2
85,"attached_projectile_effect_spell_loop",[298],3
86,"attached_projectile_effect_spell_loop",[352],4
87,"attached_projectile_effect_spell_loop",[464],5
88,"attached_projectile_effect_spell_once",[189],1
89,"attached_projectile_effect_spell_once",[229],2
90,"attached_projectile_effect_spell_once",[299],3
91,"attached_projectile_effect_spell_once",[353],4
92,"attached_projectile_effect_spell_once",[465],5
93,"attached_projectile_effect_mortar_1",[193],1
94,"attached_projectile_effect_mortar_1",[230],2
95,"attached_projectile_effect_mortar_1",[300],3
96,"attached_projectile_effect_mortar_1",[354],4
97,"attached_projectile_effect_mortar_1",[466],5
98,"attached_projectile_effect_mortar_2",[195],1
99,"attached_projectile_effect_mortar_2",[231],2
100,"attached_projectile_effect_mortar_2",[301],3
101,"attached_projectile_effect_mortar_2",[355],4
102,"attached_projectile_effect_mortar_2",[467],5
103,"attached_projectile_effect_mortar_3",[196],1
104,"attached_projectile_effect_mortar_3",[232],2
105,"attached_projectile_effect_mortar_3",[302],3
106,"attached_projectile_effect_mortar_3",[356],4
107,"attached_projectile_effect_mortar_3",[468],5
108,"attached_projectile_effect_mortar_4",[197],1
109,"attached_projectile_effect_mortar_4",[233],2
110,"attached_projectile_effect_mortar_4",[303],3
111,"attached_projectile_effect_mortar_4",[357],4
112,"attached_projectile_effect_mortar_4",[469],5
113,"poisonous_concoction_in_hand",[358],0
114,"poisonous_concoction_in_hand_scion_pls",[359],0
115,"poisonous_concoction_in_hand",[479],1
116,"poisonous_concoction_in_hand_scion_pls",[480],1
117,"poisonous_concoction_in_hand",[507],2
118,"poisonous_concoction_in_hand_scion_pls",[508],2
119,"shield_charge_charge",[260],0
120,"shield_charge_charge",[264],4
121,"shield_charge_charge",[360],5
122,"shield_charge_hit_flash",[23],0
123,"shield_charge_hit_flash",[33],2
124,"shield_charge_hit_flash",[23],3
125,"shield_charge_hit_flash",[267],4
126,"shield_charge_hit_flash",[361],5
127,"shield_charge_shield",[257],0
128,"shield_charge_shield",[261],2
129,"shield_charge_shield",[257],3
130,"shield_charge_shield",[257],4
131,"shield_charge_shield",[257],5
132,"shield_charge_shield_fadein",[258],0
133,"shield_charge_shield_fadein",[262],2
134,"shield_charge_shield_fadein",[258],3
135,"shield_charge_shield_fadein",[258],4
136,"shield_charge_shield_fadein",[258],5
137,"shield_charge_shield_fadeout",[259],0
138,"shield_charge_shield_fadeout",[263],2
139,"shield_charge_shield_fadeout",[259],3
140,"shield_charge_shield_fadeout",[259],4
141,"shield_charge_shield_fadeout",[259],5
142,"flame_dash_epk",[222],11
143,"virulent_arrow_epk",[371],0
144,"virulent_arrow_epk",[372],1
145,"virulent_arrow_epk",[374],2
146,"virulent_arrow_epk",[403],3
147,"tempest_shield_shield",[373],0
148,"tempest_shield_shield",[402],1
149,"tornado_shot_epk",[375],0
150,"tornado_shot_epk",[375],2
151,"tornado_shot_epk",[386],3
152,"tornado_shot_epk",[445],4
153,"soul_link",[380],0
154,"flame_link",[381],0
155,"remora_link",[382],0
156,"bulwark_link",[383],0
157,"trigger_link",[384],0
158,"critical_link",[385],0
159,"expanding_fire_cone_epk",[387],1
160,"crackling_lance_sparkle_boi_first_stage_epk",[200],0
161,"crackling_lance_sparkle_boi_first_stage_epk",[234],1
162,"crackling_lance_sparkle_boi_first_stage_epk",[390],2
163,"crackling_lance_sparkle_boi_second_stage_epk",[201],0
164,"crackling_lance_sparkle_boi_second_stage_epk",[235],1
165,"crackling_lance_sparkle_boi_second_stage_epk",[391],2
166,"crackling_lance_sparkle_boi_third_stage_epk",[202],0
167,"crackling_lance_sparkle_boi_third_stage_epk",[236],1
168,"crackling_lance_sparkle_boi_third_stage_epk",[392],2
169,"crackling_lance_sparkle_boi_fourth_stage_epk",[203],0
170,"crackling_lance_sparkle_boi_fourth_stage_epk",[237],1
171,"crackling_lance_sparkle_boi_fourth_stage_epk",[393],2
172,"crackling_lance_on_hit_epk",[185],0
173,"crackling_lance_on_hit_epk",[225],1
174,"crackling_lance_on_hit_epk",[389],2
175,"molten_shell_shell_epk",[241],4
176,"bubble_shield_hit",[449],0
177,"hydrosphere_revert_epk",[245],0
178,"hydrosphere_revert_epk",[459],1
179,"slither_wither",[37],0
180,"slither_wither",[278],1
181,"laser_spears_spear_glow",[448],0
182,"boneshatter_target_hit",[500],1
183,"cobra_lash_crit",[39],0
184,"cobra_lash_crit",[501],1
185,"venom_gyre_whirling_blades",[60],0
186,"venom_gyre_whirling_blades",[502],1
187,"whirling_blades_fade_out",[503],7
188,"whirling_blades_fade_in",[504],7
189,"kinetic_blast_wand_effect",[72],0
190,"kinetic_blast_wand_effect",[72],1
191,"kinetic_blast_wand_effect",[510],2
192,"ring_of_ice_statue_shatter",[533],0
193,"ring_of_ice_weapon_shatter",[534],0
194,"vaal_flicker_cut_wound",[535],0
195,"vaal_flicker_cut_wound",[548],1
196,"vaal_flicker_cut_wound",[551],2
197,"vaal_flicker_cut_wound",[554],4
198,"vaal_flicker_cut_wound2",[536],0
199,"vaal_flicker_cut_wound2",[549],1
200,"vaal_flicker_cut_wound2",[552],2
201,"vaal_flicker_cut_wound2",[555],4
202,"vaal_flicker_cut_wound3",[537],0
203,"vaal_flicker_cut_wound3",[550],1
204,"vaal_flicker_cut_wound3",[553],2
205,"vaal_flicker_cut_wound3",[556],4
206,"vaal_flicker_cut_wound",[600],8
207,"vaal_flicker_cut_wound2",[601],8
208,"vaal_flicker_cut_wound3",[602],8
209,"smite_weapon_effect",[542],0
210,"smite_weapon_effect",[547],1
211,"smite_weapon_effect",[605],3
212,"frigid_bond",[607],0
213,"mtx_spray_paint_channel",[619],0
214,"mtx_spray_paint_channel",[620],1
215,"mtx_spray_paint_channel",[621],2
