"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Illustration","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","IconSmall","BestiaryFamiliesKey","AchievementItemsKeys"
0,"Felines","\""Man-eaters. Predators. Cast aside the childish notion of embracing these beautiful beasts, for they are mighty and violent. They will tear into shreds all who approach them without respect.\""","« Des mangeurs d'hommes. Des prédateurs. Réprimez l'envie enfantine d'étreindre ces bêtes magnifiques car, aussi puissantes que violentes, elles réduiront en charpie quiconque s'en approchera sans déférence. »","\""Menschenfresser. Raubtiere. Werft Eure kindliche Vorstellung von der Umarmung dieser prachtvollen Geschöpfe beiseite, denn sie sind mächtig und gewalttätig. Sie werden alle, die sich ihnen ohne Respekt nähern, in Stücke reißen.\""","人食い。捕食者。この美しい獣たちを崇めるような子ども染みた考えは捨てよ。奴らは強大で暴力的だ。敬意を払わず近づいて来る者たちを八つ裂きにするだろう。","\""사람을 잡아먹는 포식자. 이 아름다운 동물들을 안으려는 순진한 생각은 집어치워라. 이들은 강하고 흉폭하다. 존중을 나타내지 않고 다가가는 자는 갈기갈기 찢어질 것이다.\""","\""Devoradores de homens. Predadores. Deixe de lado toda a noção infantil de abraçar estas bestas lindas, pois elas são poderosas e violentas. Elas despedaçarão todo aquele que se aproximar seu respeito.\""","\""Хищники. Людоеды. Лучше отбросить детское желание обнять этих прекрасных на вид созданий, ибо они сильны, жестоки и разорвут на части любого, кто подойдёт без должного уважения.\""","\""Devoradores de hombres. Depredadores. Abandona la idea infantil de acoger a estas hermosas bestias, pues son poderosas y violentas. Desgarrarán en pedazos a todo aquel que se les acerque sin respeto\"".","\""ตัว​กิน​คน นักล่า ลืม​เรื่อง​การ​สวม​กอด​สัตว์​เหล่า​นี้​ไป​เสีย พวก​มัน​ทั้ง​แข็งแกร่ง​และ​ดุร้าย และ​จะ​ฉีก​ทึ้ง​ทุก​ชีวิต​ที่​เข้าหา​มัน​อย่างไม่ยำเกรง\""","\""食人者。掠奪者。摒棄擁抱這些美麗野獸的幼稚想法，因為牠們既強大又殘暴，他們會無情地撕碎所有接近牠們的人。\""","Art/2DArt/UIImages/InGame/Bestiary/Illustrations/Felines","Felines","Félidés","Katzen","ネコ類","고양이과","Felinos","Кошачьи","Felinos","Feline","貓科動物","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/GroupFeline","Art/2DArt/UIImages/InGame/Bestiary/ItemIcons/Felines",0,[]
1,"Primates","\""There is an intelligence behind the eyes of these primates, a sentience that draws you in. But there is no empathy there. No kindness. Only hatred and anger, a lust to maim and kill.\"""," « Dans les yeux de ces primates brille une lueur d'intelligence, une conscience qui captive l'observateur. Mais nulle empathie, nulle gentillesse n'y sont toutefois décelables ; juste de la colère et de la haine, l'envie irrépressible de mutiler et de tuer. »","\""Hinter den Augen dieser Primaten verbirgt sich ein Intellekt, eine anziehende Empfindung. Doch erwartet von ihnen keine Empathie. Keine Gutmütigkeit. Es erwartet Euch nur Hass, Wut, und die Lust, zu verstümmeln und zu töten.\""","この霊長類たちの目には知性が見える。我らを引き付ける何かだ。だが共感はない。優しさもない。あるのは憎しみと怒りのみ、そして傷つけ殺すという欲望のみだ。","\""이들 영장류의 눈 속에는 지능과 더불어 사람을 끌어들이는 지각력이 있다. 하지만 공감은 없다. 친절도 없다. 오로지 증오와 분노, 해치고 죽이려는 갈망뿐이다.\""","\""Existe uma inteligência escondida nos olhos destes primatas, uma sensibilidade que o atrai. Mas não há empatia lá. Nenhuma bondade. Apenas ódio, raiva. Um desejo de mutilar e matar.","\""Разум в глазах этих развитых приматов притягивает взгляд, но сочувствия, равно как и доброты, в них нет и в помине. В этих глазах только злоба, жажда увечий и убийства.\""","\""Hay una inteligencia detrás de los ojos de los primates, una sensibilidad que atrae. Pero no existe empatía. No hay bondad. Solo odio y furia, un deseo de mutilar y matar\"".","\""นัยน์ตา​ของ​พวก​วานร​นี้​มี​ความ​ฉลาด ความ​รู้​สัมผัส​ที่​ดึงดูด​เจ้า​ได้ แต่​มัน​ไม่มี​ความ​เมตตา​กรุณา มี​เพียง​ความ​เกลียด​ชัง​และ​โกรธ​เกรี้ยว ความ​กระหาย​อยาก​ฆ่า​ฟัน\""","\""這些靈長動物的眼睛背後有一種智慧吸引著你。但這裡沒有同情。沒有仁慈。只是渴望傷害、重挫、殺戮。\""","Art/2DArt/UIImages/InGame/Bestiary/Illustrations/Primates","Primates","Primates","Primaten","霊長類","영장류","Primatas","Приматы","Primates","Primate","靈長動物","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/GroupPrimate","Art/2DArt/UIImages/InGame/Bestiary/ItemIcons/Primates",0,[]
2,"Canines","\""Pity the man who finds himself hunted. There is no place he can hide, nowhere he can run to, for a maddened barking will follow, and the canine will always sniff him out.\""","« Plaignez l'infortuné qui se fait prendre en chasse par les Canidés, car il n'existe en ce monde nul endroit où il irait se réfugier que, dans un concert de jappements enragés, leur odorat ne saurait retrouver. »","\""Ich bemitleide den Menschen, der von diesen Kreaturen gejagt wird, denn es gibt keinen Ort, an dem er sich verstecken oder an den er weglaufen kann. Erst ereilt einen das verrückt machende Gebelle und irgendwann hört man ihr Schnüffeln.\""","狩られる者は憐れだな。隠れる場所もなければ、逃げる場所もなく、狂ったような鳴き声に追われる。そして犬どもは必ず獲物を見つけ出す。","\""사냥감이 된 자를 불쌍히 여겨라. 숨을 곳도, 도망칠 곳도 없다. 분노에 찬 짖는 소리가 따르는가 싶으면, 언젠가는 반드시 냄새로 그를 찾아낼 것이다.\""","\""Tenha pena do homem que for caçado por estas coisas. Não existe lugar para ele se esconder, nenhum lugar para correr, pois o ladrido elouquecido o seguirá, os Cães sempre o encontrarão.\""","\""Мне жаль человека, который станет добычей этих тварей. Ему некуда бежать  и негде скрыться от безумного лая за спиной, ибо псы всё равно найдут его по запаху.\""","\""Compadécete del hombre al que cazan. No hay lugar donde pueda esconderse, ningún lugar al que pueda huir: unos ladridos enloquecidos lo perseguirán, y los canes siempre lo olfatearán\"".","\""สงสาร​คน​ที่​ถูก​ล่า​เถิด เขา​ผู้นั้น​ย่อม​ไม่มี​ที่​ให้​ซ่อน ไม่มี​ที่​ให้​หลบ เพราะ​เสียง​เห่า​บ้า​คลั่ง​จะ​ตาม​ไป​ทุก​ที่ และ​เจ้า​สุนัข​จะ​ตาม​กลิ่น​จน​พบ​เสมอ\""","\""我可憐那些發現自己被這東西追殺的人，沒有地方可以躲起來、無處可逃，因為瘋狂的吠叫會隨之而來，獵犬會一直嗅出他。\""","Art/2DArt/UIImages/InGame/Bestiary/Illustrations/Founds","Canines","Canidés","Hunde","イヌ類","개과","Caninos","Псовые","Caninos","Canine","犬科動物","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/GroupCanine","Art/2DArt/UIImages/InGame/Bestiary/ItemIcons/Canines",0,[]
3,"Ursa","\""Shaggy mounds of muscle and hair, not just man-eaters, but eaters of man-eaters. The Ursae venture out from their dens, lumbering through wooded land, grizzly and starving for hot blood and sweet flesh.\""","« Montagnes hirsutes tout en muscles, les Ursidés sont non seulement des mangeurs d'hommes, mais des dévoreurs de mangeurs d'hommes. S'aventurant d'un pas lourd hors de leur tanière dans les bois, ils sont avides de sang chaud et de chair fraîche. »","\""Struppige Hügel aus Muskeln und Haaren. Sie sind nicht nur Menschenfresser, sondern auch Fresser von Menschenfressern. Die Ursae wagen sich aus ihren Höhlen heraus, streifen durch bewaldetes Land und lechzen nach heißem Blut und süßem Fleisch.\""","乱雑な毛とそれに覆われた筋肉。ただの人食いではなく、人食いを食らう者。熊は巣穴を出て、たぎる血と甘美な肉を求めて木の茂った地を歩くのだ。","\""우락부락하고 털로 뒤덮인 이들은 사람을 먹는 동물을 잡아먹는다. 이들은 굴 속에서 나와 숲속을 어슬렁거린다. 뜨거운 피와 달콤한 살코기에 굶주린 채.\""","\""Montanhas de músculos e pelos, não só devoradores de Homens, mas devoradores dos devoradores de homens. Os Marsupiais se aventuram além de suas tocas, cortando pelas florestas, grisalhos e sedentos por sangue quente e carne doce.\""","\""Косматые утёсы мышц и шерсти. Не просто людоеды, а пожиратели людоедов. Медведи вылезают из своих берлог и проламываются сквозь буреломы. Лютые даже на вид, они ищут горячую кровь и сладкое мясо.\""","\""Montañas enmarañadas de músculo y pelo, no solamente devoran hombres, sino que también devoran a los devoradores de hombres. Los Ursas se aventuran fuera de sus madrigueras, merodeando a través de tierras boscosas, envejeciendo, sedientos de sangre caliente y carne dulce\"".","\""กล้าม​เนื้อ​และ​ขน​รุงรัง​รวม​กัน​เป็น​ภูเขา ไม่ใช่​ตัว​กิน​คน​แต่​ก็​เป็น​ตัว​กิน​ตัว​กิน​คน​ด้วย พวก​หมี​ยักษ์​ออก​จาก​รัง เดิน​ท่อง​ไป​ใน​ป่า โหย​หา​เลือด​อุ่น​และ​เนื้อ​หวาน​\""","\""毛茸茸的肌肉和頭髮堆，不僅僅是食人者，甚至會吃掉食人者。暴熊們冒出洞穴，在樹林裡跋涉，飢餓著渴望熱騰騰的鮮血和嫩肉。\""","Art/2DArt/UIImages/InGame/Bestiary/Illustrations/Ursa","Ursae","Ursidés","Ursae","クマ類","곰과","Marsupiais","Медвежьи","Ursas","Ursa","熊類動物","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/GroupUrsa","Art/2DArt/UIImages/InGame/Bestiary/ItemIcons/Ursa",0,[]
4,"Large Mammals","\""The abominations have no right to exist. When a man sees them, his spirit shakes, and the air around him pops and cracks, as if the universe itself is angry within this unnatural presence.\""","« L'existence même de ces abominations est une aberration. Celui qui les aperçoit voit son esprit ébranlé et l'air alentour se mettre à crépiter, comme si l'univers lui-même était courroucé par leur présence contre nature. »","\""Diese Abscheulichkeiten haben kein Existenzrecht. Wenn ein Mensch sie erblickt, dann läuft ihm ein kalter Schauer den Rücken hinunter, während die Luft um ihn herum zischt und knistert, so, als ob das Universum selbst durch diese unnatürlichen Kreaturen erbost wäre.\""","忌まわしき者は存在してはならぬ。奴らを見た者は、魂が震え、周囲の空気が破裂し割れるのだ。あたかも天地そのものがこの不自然な者の存在に怒っているかのように。","\""있어서는 안 될 혐오스러운 생물들이다. 이를 보는 자의 영혼은 떨리고, 주변의 공기는 갈라진다. 마치 우주 자신이 자연에 어긋나는 이 생물의 존재에 대해 분노하고 있는 것처럼.\""","\""As abominações não tem direito de existir. Quando um homem os vê, seu espírito estremece e o ar ao seu redor se agita, como se o universo em si estivesse com raiva desta presença inatural.\""","\""Таким чудовищам нет места и названия в природе. Стоит их завидеть, как душа уходит в пятки, а в глазах темнеет так, словно обозлённое мироздание уходит, лишь бы не быть к ним причастным.\""","\""Las abominaciones no tienen derecho a existir. Cuando un hombre las ve, su espíritu tiembla y el aire que lo rodea estalla y se agrieta, como si el propio universo estuviera enfurecido ante esta presencia antinatural\"".","\""สัตว์​ประหลาด​พวก​นี้​ไม่มี​สิทธิ์​คง​อยู่​ด้วย​ซ้ำ เมื่อ​ผู้​ใด​ได้​เห็น​พวก​มัน วิญญาณ​เขา​ย่อม​สั่น​สะท้าน อากาศ​รอบ​ตัว​จะ​ระเบิด​แตก​ออก​ราวกับ​ว่า​เอกภพ​คลั่ง​แค้น​เมื่อ​พบ​ตัว​พวก​มัน\""","\""可憎的事務無權存在。當人看到它們時，精神會顫慄，周圍的空氣會爆裂並裂開，彷彿宇宙本身在這種不自然的存在中生氣。\""","Art/2DArt/UIImages/InGame/Bestiary/Illustrations/Unnaturals","Unnaturals","Monstruosités","Unnatürliche(n)","不自然な者","대형 포유류","Não-Naturais","Необычные","Antinaturales","Unnatural","非自然","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/GroupUnnaturals","Art/2DArt/UIImages/InGame/Bestiary/ItemIcons/Unnaturals",0,[]
5,"Avians","\""The ancients looked upon them and thought them gods, for only the gods could ascend to such lofty heights. Such is the gift of the avian lineage, but be not fooled, for though their plumage is bright and their song bedazzling, their talons harbor lethal, gratuitous power.\""","« Les anciens les voyaient comme des divinités, car seuls les dieux peuvent s'élever à de si hautes altitudes. Tel est le don de la lignée des créatures des airs. Toutefois, ne soyez pas trompés par leur plumage brillant et leur chant envoûtant, car une puissance dévastatrice réside en leurs serres. »","\""Die Uralten schauten zu ihnen hinauf und dachten, sie seien Götter, denn nur die Götter konnten in solch luftige Höhen aufsteigen. Das ist die besondere Gabe der Vögel, aber lasst Euch nicht täuschen, denn obwohl ihr Gefieder hübsch und ihr Gesang lieblich ist, bergen ihre Krallen tödliche Gefahr.\""","古代の人々は奴らを眺めて、神と崇めた。あのような高さまで上昇できるのは神のみだと考えたからだ。それは鳥たちに与えられた贈り物であるが、騙されてはならない。奴らの羽毛は輝き、歌声は魅惑的だが、鉤爪は死を引き起こすいわれなき力を隠しているのだ。","\""고대에는 이들을 보고 신이라고 생각했다. 오직 신만이 그처럼 높이 올라갈 수 있었기 때문이다. 조류들만이 누릴 수 있는 혜택이었건만. 하지만 밝은 깃털색과 매혹적인 노래에 속아서 그 치명적인 발톱을 놓쳐서는 아니 될 것이다.\""","\""Os antigos os olharam e acharam que eram deuses, pois apenas deuses poderiam ascender à alturas tão de forma tão sublime. Assim como o presente da linhagem das aves, mas não se engane, pois apesar de suas plumas serem brilhantes e sua música deslumbrante, suas garras são letais, poderes gratuitos.\""","\""На заре времён люди смотрели на них и величали богами, ведь только богам подвластна высь. Да, пернатые способны летать, но пусть тебя не обманывают их яркие перья и громкие трели. Помни, что их когти и клювы несут смерть.\""","\""Los antiguos los contemplaban y los creían dioses, pues solo los dioses podían ascender a semejante altura. Tal es el don del linaje aviar, pero no te dejes engañar, porque aunque su plumaje sea brillante y su canto cautivador, sus garras albergan un poder letal e innecesario\"".","\""คน​โบราณ​มอง​พวก​มัน​เหมือน​เป็น​เทพเจ้า เพราะ​มี​เพียง​เทพ​ที่​จะ​โผ​บิน​ไป​ได้​สูง​เสียด​ฟ้า​แบบ​นั้น เป็น​ของ​ขวัญ​ของ​สาย​เลือด​นก​โดย​แท้ แต่​จง​อย่า​หลงใหล​ไป แม้​ขน​นก​จะ​สว่างไสว​และ​เสียง​ร้อง​ไพเราะ แต่​กรง​เล็บ​พวก​มัน​ทรง​พลัง​และ​อันตราย\""","\""古人們向上看著牠們，認為他們是神，因為只有神才到達到如此崇高的高度。這就是飛羽的天賦，但不要被愚弄，雖然牠們的羽毛雖然明亮，歌曲也很動聽，但他們的爪有著致命且無上的力量。\""","Art/2DArt/UIImages/InGame/Bestiary/Illustrations/Avians","Avians","Rapaces","Vögel","鳥類","조류","Aves","Пернатые","Aves","Avian","飛禽動物","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/GroupAvian","Art/2DArt/UIImages/InGame/Bestiary/ItemIcons/Avians",1,[]
6,"Reptiles","\""Once, their ancestors ruled this world. But dethroned by the arrogance of man, their cold blood boils over and their forked tongues flick in and out, tasting the air. They will take their pound of flesh, and bring misery upon any who try to stop them.\""","« Il fut un temps où leurs ancêtres régnaient sur le monde. Mais, détrônés par l'arrogance de l'Homme, dorénavant leur sang froid s'échauffe et leurs langues fourchues goûtent l'air dans l'attente de prendre leur part de chair — et de faire payer quiconque tentera de les en empêcher. »","\""Einst herrschten ihre Vorfahren über diese Welt. Doch seitdem sie von der Arroganz des Menschen entthront wurden, kocht ihr kaltes Blut und ihre gespaltenen Zungen zischen unentwegt. Sie werden Rache üben und Elend über jeden bringen, der sich ihnen in den Weg stellt.\""","かつて、奴らの先祖はこの地に君臨していたが、人間の傲慢により王の座を奪われた。奴らの冷血は煮えたぎり、2つに割れた舌が空気を味わうように見え隠れする。そして肉をもぎり取り、止めようとする者に苦痛をもたらす。","\""한때 이들의 선조들이 세상을 지배했던 건 사실이다. 하지만 인간의 오만에 자리를 내준 뒤로, 차가운 피는 끓고 갈라진 혀끝은 낼름거리며 공기만을 맛 볼 뿐이다. 이제 이들은 자기 몫의 살점을 챙기고, 길을 막아서는 누구에게든 불행을 선사할 것이다.\""","\""Os ancestrais uma vez reinaram neste mundo. Mas foram destronados pela arrogância dos homens, seu sangue gelado ferve e suas línguas bifurcadas se agitam para fora e para dentro. Eles tomarão sua quantia de carne, e trarão miséria sobre qualquer um que tentar pará-los.\""","\""В своё время их предки правили этим миром, пока высокомерные люди не отняли власть у хладнокровных. Потомки правителей быстры, их раздвоенные языки дрожат и пробуют воздух, чтобы учуять плоть. Их зубы вырывают куски мяса и заставляют страдать тех, кто дерзнёт противиться.\""","\""Antaño, sus antepasados gobernaban este mundo. Pero destronados por la arrogancia del hombre, su sangre fría hierve y sus lenguas bífidas aparecen y desaparecen, saboreando el aire. Tomarán su libra de carne y traerán miseria a cualquiera que intente detenerlos\"".","\""ครั้ง​หนึ่ง​บรรพบุรุษ​ของ​พวก​มัน​เคย​ครอง​โลก แต่ถูก​ความ​ยโส​ของ​มนุษย์​ทำลาย​สิ้น เลือด​ที่​เย็น​เยียบ​ของ​พวก​มัน​เดือด​พล่าน​และ​ลิ้น​สอง​แฉก​ตวัด​เข้า​ออก​สัมผัส​อากาศ พวก​มัน​​จะ​ฉกฉวย​เนื้อ​ของ​พวกมัน​มา​ให้​ได้​และ​พร้อม​กำจัด​ทุก​คน​ที่​ขวาง​ทาง​มัน\""","\""曾經，牠們的祖先統治著這個世界。但被人的自傲所淘汰，牠們的冷血沸騰了，蛇信吞吞吐吐，品嚐著空氣。牠們會吃掉沉噸的肉，給任何試著阻止牠們的人痛苦。\""","Art/2DArt/UIImages/InGame/Bestiary/Illustrations/Reptiles","Reptiles","Reptiles","Reptilien","爬虫類","파충류","Répteis","Пресмыкающиеся","Reptiles","Reptile","爬行動物","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/GroupReptiles","Art/2DArt/UIImages/InGame/Bestiary/ItemIcons/Reptiles",1,[]
7,"Insects","\""Wandering proboscises and clicking mandibles, the swarming masses birthed from darkness destined to forever plague the known world. They bring poverty and painful poisons, those who devour the harvest.\""","« Nées des ténèbres les plus noires, les colonies d'Insectes sont destinées à répandre la désolation par leurs trompes et leurs mandibules. Ces dévoreurs de récoltes sèment le malheur et leur poison violent dans leur sillage. »","\""Mit ihren umherirrenden Rüsseln und ihrem knackenden Mundwerkzeug sind diese schwärmenden Massen der Dunkelheit dazu bestimmt, die Welt auf ewig heimzusuchen. Sie verschlingen die Ernte und hinterlassen nichts als Armut und Leid.\""","さまよう吻とかちかち鳴らす下顎を携え、この既知の世界に永遠の苦しみを与えるべく、闇から群れが生まれた。奴らは貧困と痛みを伴う毒をもたらし、収穫をむさぼり食うのだ。","\""어둠에서 떼로 태어나 주둥이를 여기저기 찔러대고 턱을 달각거리는 이들은 이 세상을 영원히 오염시킬 운명을 타고났다. 가난과 고통스러운 독을 가져오고, 추수할 곡식마저 먹어치운다.\""","\""Trombas errantes e mandíbulas clicantes, os enxames massantes nasceram da escuridão, destinados a espraguejar para sempre o mundo conhecido. Eles trazem pobreza e venenos dolorosos, aqueles que devoram as colheitas.\""","\""Ищущие хоботки и щёлкающие жвала. Клубящиеся рои, порождённые мраком, чтобы нести страдания и беды миру. Их влечёт бедность, с ними приходят болезни, они поедают урожай.\""","\""Las masas de enjambres de probóscides errantes y mandíbulas chasqueantes nacieron de las tinieblas, destinadas a plagar para siempre el mundo conocido. Aquellos que devoran la cosecha traen pobreza y venenos dolorosos\"".","\""คลื่น​แมลง​เกิด​จาก​ความ​มืด​มา​พร้อม​ปาก​ดูด​ส่าย​ไหว กราม​ที่​ส่ง​เสียง​กรับๆ เพื่อ​กระจาย​ตัว​ไป​ทั่ว​โลก พวก​มัน​มา​พร้อม​ความ​อดอยาก​และ​พิษ​ภัย มัน​มา​เพื่อ​กัด​กิน​พืช​ผล​\""","\""有力的下顎，蟲群居在黑暗中且眾注定要永遠困擾著個世界。牠們吞噬收成的作物帶來貧難和痛苦的毒素。\""","Art/2DArt/UIImages/InGame/Bestiary/Illustrations/Insects","Insects","Insectes","Insekten","昆虫類","곤충과","Insetos","Насекомые","Insectos","Insect","昆蟲","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/GroupInsect","Art/2DArt/UIImages/InGame/Bestiary/ItemIcons/Insects",2,[]
8,"Arachnids","\"" 'Little gods of death' they are called by those who fear and know them intimately. The arachnid makes its nest inside the blanched skulls of dead men, waiting in darkness to poison the world.\""","« Ceux qui les craignent et les connaissent intimement les appellent “les petits dieux de la mort”. Les Arachnides font leur nid dans les crânes blanchis des hommes, tapis dans l'obscurité dans l'attente de déverser leur venin sur le monde. »","\""Jene, die mit ihnen vertraut sind und sie fürchten, nennen sie 'Kleine Götter des Todes'. Die Arachniden nisten in den bleichen Schädeln toter Männer und warten in der Dunkelheit darauf, die Welt zu vergiften.\""","奴らをよく知り恐れる者たちは、奴らを「死の神」と呼ぶ。クモ達は死んだ者の頭蓋骨に巣を作り、世界を毒で満たす機会を暗闇で窺っているのだ。","\""이들을 잘 알고 두려워하는 자들은 이들을 '작은 죽음의 신'이라고 부르곤 한다. 망자의 해골 속에 둥지를 틀고 어둠에서 세상을 중독시키기 위해 기다리는 존재여.\""","\"" 'Pequenos deuses da morte' eles são chamados por aqueles que os temem e conhecem de forma íntima. Os aracnídeos constroem seus ninhos dentro dos crânios pálidos dos mortos, esperando na escuridão para envenenar o mundo.","\""Хорошо знающие и страшащиеся называют их «маленькими богами смерти». Арахниды обживают выеденные черепа мертвецов и терпеливо ждут во тьме случая отравить мир.\""","\"" 'Pequeños dioses de muerte' los llaman aquellos que los conocen de cerca y les temen. Los Arácnidos hacen sus nidos dentro de las blanquecinas calaveras de los muertos, y esperan en la oscuridad su momento de envenenar el mundo\"".","\""'เทพ​มรณะ​ตัว​น้อย' คือ​ชื่อ​ของ​มัน​ที่​ผู้​ยำเกรง​และ​รู้จัก​มันดี​ตั้ง​ให้ แมงมุม​พวก​นี้​ทำ​รัง​อยู่​ภายใน​กะโหลก​มนุษย์ รอ​เวลา​พ่น​พิษ​ใส่​โลก\""","\""牠們被那些害怕並且熟知牠們的人稱為「小死神」。毒蛛在死人的頭顱裡面築巢，在黑暗中等待著毒噬世界。\""","Art/2DArt/UIImages/InGame/Bestiary/Illustrations/Arachnids","Arachnids","Arachnides","Arachniden","クモ類","거미과","Aracnídeos","Паукообразные","Arácnidos","Arachnid","蜘蛛","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/GroupArachnid","Art/2DArt/UIImages/InGame/Bestiary/ItemIcons/Arachnids",2,[]
9,"Cephalopod","\""Nightmares sprung forth from the tentacular void. An eldritch hatred emanates from various appendages, and the suctioning grip of their callous embrace will pull a man further into unholy depths.\""","« Une haine surnaturelle émane des nombreux appendices de ces cauchemars issus du vide tentaculaire. La poigne cruelle de leur étreinte entraînera un homme au plus profond des abysses impies. »","\""Tentakelförmige Albträume dringen aus der endlosen schwarzen Leere empor. Der bösartige Hass und der saugende Griff ihrer kalten Umarmung zieht den Menschen immer weiter in die finsteren Tiefen hinab.\""","悪夢は触手の空虚から生まれ出る。人知を超えた憎しみが触手から放たれ、タコの吸盤がからみつき、邪悪な深淵へと引きずり込む。","\""촉수 같은 공허 속에서 악몽이 뛰쳐 나온다. 온갖 부위에서 섬뜩한 증오감이 발산된다. 무심한 포옹으로 사람을 붙잡아 위험한 구렁텅이로 끌어당긴다.\""","\""Pesadelos surgiram do vazio tentacular. Um ódio antigo emana devários locais, e o aperto sugador de seu abraço caloroso arrastam um homem cada vez mais para os abismos malditos.\""","\""Из увитой щупальцами пустоты тянутся кошмары. От бугров на телах веет зловещей мерзостью, а прилипчивая хватка их грубых объятий увлекает человека в безбожные глубины.\""","\""Pesadillas brotan desde el vacío tentacular. Un odio espeluznante emana de diversos apéndices, y el agarre succionante de su despiadado apretón arrastrará a un hombre lejos hacia las profanas profundidades\"".","\""ฝัน​ร้าย​จะ​ผุด​ขึ้น​มา​จาก​ความ​ว่าง​เปล่า​ที่​เต็ม​ไป​ด้วย​หนวด ความ​เกลียด​ชัง​แผ่​ซ่าน​ออก​มา​จาก​หนวด​สารพัด​เส้น​และ​ปาก​ดูด​ของ​มัน​จะ​ลาก​เหยื่อ​ลง​ไป​สู่​ความ​มืด​เบื้องล่าง\""","\""噩夢從虛空觸手中爆發出來。一種邪惡的仇恨從各個肢體擴散，牠們無情擁抱的吸力把一個人一步步拉進邪惡的深淵。\""","Art/2DArt/UIImages/InGame/Bestiary/Illustrations/Cephalopods","Cephalopods","Céphalopodes","Cephalopoden","頭足類","두족류","Cefalópodes","Головоногие","Cefalópodos","Cephalopod","頭足動物","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/GroupCephalopod","Art/2DArt/UIImages/InGame/Bestiary/ItemIcons/Cephalopod",3,[]
