"rownum","Id","MinLevel","MaxLevel","Weight","TopologiesKey","MonsterPacksKeys","ArtFile","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","SynthesisAreaSizeKey","AchievementItemsKey"
0,"AcidCave_Small",6,50,100,2250,[1523],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/AcidCave","Limestone Hollow Memory","Souvenir d'un Gouffre calcaire","Erinnerung an die Tropfsteinhöhle","石灰石の空洞の記憶","석회암 동혈 기억","Memória do Oco de Calcário","Воспоминание: Известняковая впадина","Memoria de la Hondonada de Piedra Caliza","ความทรงจำของ Limestone Hollow","記憶：石灰岩洞",0,""
1,"ArachnidTomb_Small",56,100,0,2251,[1525],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArachnidTomb","Infested Tomb Memory","Souvenir d'un Tombeau infesté","Erinnerung an die Verseuchte Gruft","蜘蛛の蔓延った墓の記憶","감염된 무덤 기억","Memória da Tumba Infestada","Воспоминание: Зараженная гробница","Memoria de la Tumba Infestada","ความทรงจำของ Infested Tomb","記憶：病疫墓穴",0,""
2,"Antiquary_Small",46,50,100,2303,[1524],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Antiquary","Collection Memory","Souvenir d'une Collection","Erinnerung an die Sammlung","収集室の記憶","수집품 보관실 기억","Memória da Coleção","Воспоминание: Коллекция","Memoria de Colección","ความทรงจำของ Collection","記憶：蒐藏寶庫",0,""
3,"Baths_Small",59,100,0,2311,"[1544,1545]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Baths","State Palace Memory","Souvenir d'un Palais officiel","Erinnerung an den Stattlichen Palast","迎賓館の記憶","주 궁전 기억","Memória do Palácio Estatal","Воспоминание: Парадный дворец","Memoria del Palacio de Estado","ความทรงจำของ State Palace","記憶：州際宮殿",0,""
4,"Bazaar_Small",28,50,100,2314,[1528],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Bazaar","Exchange Memory","Souvenir d'un Marché","Erinnerung an die Börse","取引所の記憶","환전소 기억","Memória da Troca","Воспоминание: Биржа","Memoria de Intercambio","ความทรงจำของ Exchange","記憶：交易市集",0,""
5,"Beach_Small",6,50,100,2317,[1529],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Beach","Sandbar Memory","Souvenir d'un Banc de sable","Erinnerung an die Sandbank","砂州の記憶","모래톱 기억","Memória das Margens Arenosas","Воспоминание: Песчаная отмель","Memoria del Banco de Arena","ความทรงจำของ Sandbar","記憶：沙壩",0,""
6,"Causeway_Small",56,100,0,2323,[1531],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Causeway","River Crossing Memory","Souvenir d'une Traversée fluviale","Erinnerung an den Flussübergang","渡河の記憶","건널목 기억","Memória do Cruzamento de Rios","Воспоминание: Речная переправа","Memoria del Cruce del Río","ความทรงจำของ River Crossing","記憶：跨河堤道",0,""
7,"Cave_Small",6,50,100,2252,[1532],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Cave","Eroded Chamber Memory","Souvenir d'une Cavité érodée","Erinnerung an den Ausgewaschenen Hohlraum","浸食された洞窟の記憶","침식된 방 기억","Memória da Câmara Corroída","Воспоминание: Разрушенная камера","Memoria de la Cámara Erosionada","ความทรงจำของ Eroded Chamber","記憶：腐蝕密室",0,""
8,"CaveMine_Small",17,50,100,2326,[1546],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CaveMine","Abandoned Shaft Memory","Souvenir d'un Puits abandonné","Erinnerung an den Verlassenen Minenschacht","放棄された立坑の記憶","버려진 갱도 기억","Memória do Mastro Abandonado","Воспоминание: Заброшенная шахта","Memoria de la Mina Abandonada","ความทรงจำของ Abandoned Shaft","記憶：遺棄之柱",0,""
9,"Colosseum_Small",40,50,100,2253,"[1618,1619,1620,1621,1622]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Colosseum","Bloodsoaked Arena Memory","Souvenir d'une Arène imprégnée de sang","Erinnerung an die Blutgetränkte Arena","血塗れの闘技場の記憶","피투성이 투기장 기억","Memória da Arena Ensanguentada","Воспоминание: Пропитанная кровью арена","Memoria de la Arena Ensangrentada","ความทรงจำของ Bloodsoaked Arena","記憶：鮮血競技場",0,""
10,"ControlBlocks_Small",43,50,100,2336,[1534],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ControlBlocks","Slave Blocks Memory","Souvenir d'un Bagne","Erinnerung an die Sklavenpferche","奴隷区画の記憶","노예 구역 기억","Memória das Senzalas","Воспоминание: Кварталы рабов","Memoria de los Bloques de Esclavos","ความทรงจำของ Slave Blocks","記憶：奴役地帶",0,""
11,"DriedLake_Small",36,50,100,2254,[1623],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/DriedLake","Salted Earth Memory","Souvenir d'une Terre saline","Erinnerung an die Salzwüste","塩土の記憶","짜디짠 땅 기억","Memória da Terra Salgada","Воспоминание: Солончак","Memoria del Suelo Salado","ความทรงจำของ Salted Earth","記憶：鹽土",0,""
12,"Fissure_Small",39,50,100,2348,[1537],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Fissure","Aftermath Memory","Souvenir d'un Cataclysme","Erinnerung an die Kluft","廃墟の記憶","참사의 여파 기억","Memória das Consequências","Воспоминание: Последствия","Memoria de la Secuela","ความทรงจำของ Aftermath","記憶：殘破狹縫",0,""
