"rownum","Id","CursorDefault","CursorClick","i32","i32","CursorHover","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","IsEnabled","i32"
0,"Default","Art/2DArt/Cursors/Default.bmp","Art/2DArt/Cursors/Default_Click.bmp",0,0,"Art/2DArt/Cursors/Default_Hover.bmp","Regular","Normal","Standard","標準","일반","Normal","Обычный","Regular","ธรรมดา","一般",1,-100
1,"HighContrast","Art/2DArt/Cursors/Contrast.bmp","Art/2DArt/Cursors/Contrast_Click.bmp",0,0,"Art/2DArt/Cursors/Contrast_Hover.bmp","High-contrast","Contraste élevé","Hoher Kontrast","ハイコントラスト","고대비","Alto Contraste","Контрастный","Alto contraste","คอนทราสต์สูง","高對比",1,-99
2,"Maraketh","Art/2DArt/Cursors/Maraketh.bmp","Art/2DArt/Cursors/Maraketh_Click.bmp",0,0,"Art/2DArt/Cursors/Maraketh_Hover.bmp","","","","","","","","","","","",0
3,"Vaal","Art/2DArt/Cursors/Vaal.bmp","Art/2DArt/Cursors/Vaal_Click.bmp",0,0,"Art/2DArt/Cursors/Vaal_Hover.bmp","","","","","","","","","","","",0
4,"Eternal","Art/2DArt/Cursors/Eternal.bmp","Art/2DArt/Cursors/Eternal_Click.bmp",0,0,"Art/2DArt/Cursors/Eternal_Hover.bmp","","","","","","","","","","","",0
5,"Karui","Art/2DArt/Cursors/Karui.bmp","Art/2DArt/Cursors/Karui_Click.bmp",0,0,"Art/2DArt/Cursors/Karui_Hover.bmp","","","","","","","","","","","",0
6,"Ezomyte","Art/2DArt/Cursors/Ezomyte.bmp","Art/2DArt/Cursors/Ezomyte_Click.bmp",0,0,"Art/2DArt/Cursors/Ezomyte_Hover.bmp","","","","","","","","","","","",0
7,"ContrastGreenArmour","Art/2DArt/Cursors/ContrastGreenArmour.bmp","Art/2DArt/Cursors/ContrastGreenArmour_Click.bmp",0,0,"Art/2DArt/Cursors/ContrastGreenArmour_Hover.bmp","Green","Vert","Grün","緑","녹색","Verde","Зелёный","Verde","สีเขียว","綠色",1,0
8,"ContrastGreenArmourInvert","Art/2DArt/Cursors/ContrastGreenArmourInv.bmp","Art/2DArt/Cursors/ContrastGreenArmourInv_Click.bmp",0,0,"Art/2DArt/Cursors/ContrastGreenArmourInv_Hover.bmp","Green (Inverted)","Vert (inversé)","Grün (invertiert)","緑（反転）","녹색 (반전)","Verde (Invertido)","Зелёный (инверсия)","Verde (invertido)","สีเขียว (กลับสี)","綠色(顛倒)",1,0
9,"ContrastInvert","Art/2DArt/Cursors/ContrastInvert.bmp","Art/2DArt/Cursors/ContrastInvert_Click.bmp",0,0,"Art/2DArt/Cursors/ContrastInvert_Hover.bmp","High-contrast (Inverted)","Contraste élevé (inversé)","Hoher Kontrast (invertiert)","ハイコントラスト（反転）","고대비 (반전)","Alto Contraste (Invertido)","Контрастный (инверсия)","Alto contraste (invertido)","คอนทราสต์สูง (กลับสี)","高對比(顛倒)",1,-99
10,"ContrastPinkArmour","Art/2DArt/Cursors/ContrastPinkArmour.bmp","Art/2DArt/Cursors/ContrastPinkArmour_Click.bmp",0,0,"Art/2DArt/Cursors/ContrastPinkArmour_Hover.bmp","Pink","Rose","Pink","ピンク","분홍색","Rosa","Розовый","Rosa","สีชมพู","粉色",1,0
11,"ContrastPinkArmourInvert","Art/2DArt/Cursors/ContrastPinkArmourInv.bmp","Art/2DArt/Cursors/ContrastPinkArmourInv_Click.bmp",0,0,"Art/2DArt/Cursors/ContrastPinkArmourInv_Hover.bmp","Pink (Inverted)","Rose (inversé)","Pink (invertiert)","ピンク（反転）","분홍색 (반전)","Rosa (Invertido)","Розовый (инверсия)","Rosa (invertido)","สีชมพู (กลับสี)","粉色(顛倒)",1,0
12,"MtxFirefly","Art/2DArt/Cursors/Firefly.bmp","Art/2DArt/Cursors/Firefly_Click.bmp",0,0,"Art/2DArt/Cursors/Firefly_Hover.bmp","","","","","","","","","","","",0
