"rownum","Id","Stat","FormatText","Divisor","PerMinute"
0,"Mana",11074,"{0} Mana",1,""
1,"Life",13303,"{0} Life",1,""
2,"ES",14179,"{0} Energy Shield",1,""
3,"Rage",13340,"{0} Rage",1,""
4,"ManaPercent",13302,"{0}% Mana",1,""
5,"LifePercent",13304,"{0}% Life",1,""
6,"UnreservedManaPercent",13565,"[DNT] {0}% Unreserved Mana ",1,""
7,"ManaPerMinute",14013,"{0} Mana per second",60,1
8,"LifePerMinute",14014,"{0} Life per second",60,1
9,"ManaPercentPerMinute",14017,"{0}% Mana per second",60,1
10,"LifePercentPerMinute",14018,"{0}% Life per second",60,1
11,"ESPerMinute",14094,"{0} Energy Shield per second",60,1
12,"ESPercentPerMinute",14095,"{0}% Energy Shield per second",60,1
