"rownum","Mod","Categories","DestroyAchievements"
0,3736,[3],[]
1,3743,[3],[]
2,3742,[3],[]
3,3750,[3],[]
4,3737,[0],[]
5,3738,[2],[]
6,3739,[0],[]
7,3748,[0],[]
8,3740,[2],[]
9,3741,[0],[]
10,3749,[0],[]
11,3747,[0],[]
12,3751,[0],[]
13,3735,[0],[]
14,3744,[3],[]
15,3745,[3],[]
16,3746,[3],[]
17,3702,[0],[]
18,3703,[0],[]
19,3704,[0],[]
20,3705,[0],[]
21,3706,[0],[]
22,3707,[0],[]
23,3708,[0],[]
24,3709,[0],[]
25,3710,[0],[]
26,3711,[0],[]
27,3712,[0],[]
28,3713,[1],[]
29,3714,[0],[]
30,3715,[0],[]
31,3716,[0],[]
32,3717,[1],[]
33,3718,[0],[]
34,3719,[0],[]
35,3720,[0],[]
36,3721,[0],[]
37,3722,[0],[]
38,3723,[0],[]
39,3724,[0],[]
40,3725,[0],[]
41,3726,[0],[]
42,3727,[0],[]
43,3728,[0],[]
44,3729,[0],[]
45,3730,[0],[]
46,3731,[0],[]
47,3732,[0],[]
48,3733,[0],[]
49,3734,[0],[]
