"rownum","i32","Biomes","AdjacentBiomes","WorldAreaBoss","WorldArea","NaturalSpawnWeight","NativePacks","FlavourText","MinWatchstoneTier","i32","i32","i32","rid","i32","rid","rid","rid","i32"
0,0,[],[],"",155,[0],[],"The last light at the end of the world.",0,1,0,8,0,0,"",1,2,2
1,1,"[2,3]",[],230,231,[200],[539],"Bright colours hide the rot beneath.",0,1,0,8,0,0,4,0,3,0
2,2,"[2,5]",[],237,238,[200],[421],"Wild lands spurn those who claim to rule them.",0,1,0,8,0,0,5,0,3,0
3,3,[5],[],239,240,[200],[549],"Time overwhelms even the sturdiest walls.",0,1,0,8,0,0,6,0,3,0
4,4,[6],[],242,243,[200],[446],"Restless prisoners yearn for freedom.",0,1,0,8,0,0,7,0,3,0
5,5,[],[],"",244,[0],[499],"The grandest of monuments, standing proudly before an audience of none.",0,1,0,8,0,0,"",2,4,0
6,6,[0],"[2,3]","",248,[200],[394],"A haven for seabirds. A hazard for sailors.",0,1,0,8,0,0,8,0,3,0
7,7,"[1,5]",[],249,250,[200],[458],"No living hands ever stoked these flames.",0,1,0,8,0,0,9,0,3,0
8,8,"[1,4,5]",[],251,252,[200],[531],"Beasts of many kinds sought shelter one final time.",0,1,0,8,0,0,10,0,3,0
9,9,"[3,4]",[],254,255,[200],[416],"These waters devour the same souls they feed.",0,1,0,8,0,0,11,3,3,0
10,10,[3],[],259,260,[200],[535],"The woods give their leaves to the seasons. Man takes the rest.",0,1,0,8,0,0,12,0,3,0
11,11,[4],[],261,262,[200],[538],"Humanity trapped within a cage of desperation and agony.",0,1,0,8,0,0,49,0,3,0
12,12,[3],[],263,264,[200],[388],"Leaves cling to trees as souls cling to life.",0,1,0,8,0,0,13,0,3,0
13,13,[7],[0],267,268,[100],[552],"Sturdy walls held out an armada, but not the famine it brought.",0,1,0,8,0,0,14,0,3,0
14,14,[1],[],269,270,[200],[383],"The last vestiges of earth, lost beyond the sky.",0,1,0,8,0,0,15,0,3,0
15,15,[6],[],272,273,[200],[385],"Silent stones mark ancient graves and forgotten sorrows.",0,1,0,8,0,0,16,0,3,0
16,16,"[1,2,5]",[],274,275,[200],[391],"Those killed in battle do not rest peacefully.",0,1,0,8,0,0,17,0,3,0
17,17,"[1,2,3]",[],278,279,[200],[403],"The tears of a ravaged earth.",0,1,0,8,0,0,18,0,3,0
18,18,"[2,3,4]",[],280,281,[200],[381],"The fetid home of foul generations.",0,1,0,8,0,0,19,0,3,0
19,19,[3],[],282,283,[200],[532],"Rushing waters threaten to move the earth.",0,1,0,8,0,0,47,0,3,0
20,20,[2],[],"",304,[200],[540],"Even the sparse vegetation does not linger here long.",0,1,0,8,0,0,20,0,3,0
21,21,"[1,5]",[],"",300,[200],[556],"Stagnant oils mix to form a deadly concoction.",0,1,0,8,0,0,21,0,3,0
22,22,[3],[],290,291,[200],[427],"Vast lairs of silk span the treetops.",0,1,0,8,0,0,22,0,3,0
23,23,"[1,5]",[],292,293,[200],[442],"Darkness enshrouds these endless chasms.",0,1,0,8,0,0,23,0,3,0
24,24,[8],[],301,302,[200],[496],"Hubris convinces men they can survive the mistakes of their forebears.",0,1,0,8,0,0,24,0,3,0
25,25,[3],[],"",246,[200],[389]," Poisoned trees bear pestilent fruits.",0,1,0,8,0,0,25,0,3,0
26,26,[1],[],"",236,[200],[530],"The ground shifts underfoot with disturbing ease.",0,1,0,8,0,0,26,0,3,0
27,27,"[1,2,3,4]",[],"",277,[200],[452],"Shafts of light raise life where they fall.",0,1,0,8,0,0,27,0,3,0
28,28,[1],[],"",288,[200],[558],"A wound carved into the world, never to heal.",0,1,0,8,0,0,28,0,3,0
29,29,[],[],"",334,[0],[464],"The path grow treacherous as the world falls away.",0,1,0,8,0,0,"",2,4,0
30,30,"[2,3,4]",[],"",257,[200],[479],"They watched the birds to foretell what any fool could see.",0,1,0,8,0,0,33,0,3,0
31,31,"[1,2,5]",[],317,318,[0],[397],"An orchestra of chains and screams produces a discordant cacophony.",0,1,0,8,0,0,34,0,3,0
32,32,[3],[],309,310,[200],[536],"Dark energies congeal the lifeblood of the forest.",0,1,0,8,0,0,35,0,3,0
33,33,[0],[5],"",234,[200],[422],"Fishermen once reaped a rich bounty here.",0,1,0,8,0,0,36,0,3,0
34,34,"[2,3,4]",[],319,320,[200],[377],"Spores dance through the air in search of new hosts.",0,1,0,8,0,0,37,0,3,0
35,35,"[2,3,5]",[],"",314,[0],[401],"A lineage of a thousand years, broken by one fleeting mistake.",0,1,0,8,0,0,38,0,3,0
36,36,[5],[],"",324,[200],[443],"A city ravaged by time and sands.",0,1,0,8,0,0,39,0,3,0
37,37,[6],[],295,296,[200],[404],"Avarice in the conqueror builds contempt among the conquered.",0,1,0,8,0,0,40,0,3,0
38,38,[5],[],"",266,[200],[527],"The work of an invisible empire.",0,1,0,8,0,0,42,0,3,0
39,39,[3],[],"",227,[0],[409],"Embers swirl as bark crackles and sparks.",0,1,0,8,0,0,43,0,3,0
40,40,[7],[],321,322,[200],[473],"A dark labyrinth of steel and stone.",0,1,0,8,0,0,44,0,3,0
41,41,"[5,7]",[],"",326,[200],[438],"Hidden amongst sunbleached wastes lies a mockery of paradise.",0,1,0,8,0,0,45,0,3,0
42,42,[7],[],315,316,[0],[438],"Stone shelters brace against the doom of the desert.",0,1,0,8,0,0,46,0,3,0
43,43,"[3,4]",[0],"",308,[0],[534],"A serene shoreline, sharp and slick.",0,1,0,8,0,0,48,0,3,0
44,44,[],[],"",306,[0],[518],"This Vaal structure is not lost in the jungle. Not yet.",0,1,0,8,0,0,"",2,4,0
45,45,[6],[],359,359,[0],[406],"A heart of corruption, borne of steel.",15,2,0,6468,0,0,29,0,8,5
46,46,[8],[],361,361,[0],[524],"A heart of corruption, borne of stone.",15,2,0,6468,0,0,30,0,12,5
47,47,[7],[],360,360,[0],[469],"A heart of corruption, borne of copper.",15,2,0,6468,0,0,31,3,10,5
48,48,[0],"[2,3]","",347,[0],[],"Hulls crash and splinter upon the shores.",0,1,0,8,0,0,50,1,6,1
49,49,[0],"[2,5]","",345,[10],[],"Life grows strong in this realm of plenty.",0,1,0,8,0,0,51,1,6,1
50,50,[8],[],"",346,[50],[],"By that era, Kamasa was just a name. Gold was their true god.",0,1,0,8,0,0,52,1,6,1
51,51,"[3,4]",[],"",349,[0],[],"A travelling merchant offers wares in perilous times.",0,1,0,8,0,0,53,1,0,4
52,52,[5],[],"",350,[0],[],"A travelling merchant offers wares in perilous times.",0,1,0,8,0,0,53,1,0,4
53,53,[4],[],"",351,[0],[],"A travelling merchant offers wares in perilous times.",0,1,0,8,0,0,53,1,0,4
54,54,[5],[],"",352,[0],[],"A travelling merchant offers wares in perilous times.",0,1,0,8,0,0,54,1,0,4
55,55,[2],[],"",353,[0],[],"A travelling merchant offers wares in perilous times.",0,1,0,8,0,0,54,1,0,4
56,56,"[3,4]",[],"",354,[0],[],"A travelling merchant offers wares in perilous times.",0,1,0,8,0,0,54,1,0,4
57,57,[0],"[2,5]","",355,[0],[],"A travelling merchant offers wares in perilous times.",0,1,0,8,0,0,55,1,0,4
58,58,[0],"[2,3]","",357,[10],[],"A travelling merchant offers wares in perilous times.",0,1,0,8,0,0,55,1,0,4
59,59,"[3,4]",[],"",356,[0],[],"A travelling merchant offers wares in perilous times.",0,1,0,8,0,0,55,1,0,4
60,60,"[4,8]",[],"",297,[0],[498],"Vice wears a mask of simplicity.",0,1,0,8,0,0,56,0,3,0
61,61,[5],[],220,221,[200],[379],"Aeons of wear have rotted steel to its core.",0,1,0,8,0,0,0,0,3,0
62,62,"[3,4]",[],222,223,[200],[519],"Humid air chokes and twists everything it touches.",0,1,0,8,0,0,1,0,3,0
63,63,[4],[],224,225,[200],[528],"The land returns the dead as easily as it received them.",0,1,0,8,0,0,2,3,3,0
64,64,[4],[0],228,229,[200],[402],"Mud and air seethes with warped life.",0,1,0,8,0,0,3,0,3,0
65,65,[3],[],"",381,[20],[],"A fortress of fallen wood.\n\nFully clear this area to claim it as a Hideout.",0,1,0,8328,0,0,41,1,0,3
66,66,[0],"[2,3,5,1]","",382,[5],[],"A forgotten grotto, lost to the world.\n\nFully clear this area to claim it as a Hideout.",0,1,0,8328,0,0,41,1,0,3
67,67,[5],[],"",383,[20],[],"A fragment of a glorious past.\n\nFully clear this area to claim it as a Hideout.",0,1,0,8328,0,0,41,1,0,3
68,68,[2],[],"",384,[20],[],"A moment in time, on the eve of the end.\n\nFully clear this area to claim it as a Hideout.",0,1,0,8328,0,0,41,1,0,3
69,69,[8],[],335,336,[200],"[510,511,512]","Wet stone emanates an inner warmth. Vaal brilliance lies in wait.",0,1,0,8,0,0,"",0,3,0
70,70,[7],[],337,338,[100],[441],"These rivers now carry only tides of sand.",0,1,0,8,0,0,"",0,3,0
71,71,"[1,8]",[],339,340,[200],"[485,488]","The cult of Kamasa exploited Utzaal long before its fall.",0,1,0,8,0,0,"",0,3,0
72,72,"[2,8]",[],341,342,[200],[],"Remnants of Vaal artifice still remain.",0,1,0,8,0,0,"",0,3,0
73,73,[],[],"",343,[0],[421],"Bleak heights overlook a devastated land.",0,1,0,8,0,0,"",2,4,0
74,74,[],[],"",344,[0],[478],"Life still clings to the highest places.",0,1,0,8,0,0,"",2,4,0
