"rownum","rid","[rid]","[rid]","[rid]","bool"
0,6463,"[2876,6463]",[],[],1
1,6462,"[134,6462]",[],[],1
2,17415,[17415],[],[],1
3,17416,[17416],[],[],1
4,153,[118],[],"[8,9,0,7]",""
5,554,[118],"[8,9]",[],""
6,287,[118],[0],[],""
7,288,[118],[7],[],""
8,160,[118],"[5,74]",[],1
9,3547,[3546],[],[],""
10,12126,[12127],[],[],""
11,5726,[5726],[],[],""
12,3394,[70],[],[],""
13,1109,[1108],[],[],""
14,3677,[1001],[],[],""
15,3395,[210],[],[],""
16,2049,[144],[],[],""
17,3396,[119],[],[],""
18,2686,[171],[],[],""
19,2037,[110],[],[],""
20,6667,[135],[],[],""
21,2374,[24],[],[],""
22,9425,[637],[],[],""
23,709,[710],[],[],""
24,2047,[439],[],[],""
25,634,[636],[],[],""
26,6156,[6157],[],[],""
27,9618,[9619],[],[],""
28,3100,[128],[],[],""
29,3099,[122],[],[],""
30,2927,[2928],[],[],""
31,2036,[1051],[],[],""
32,1060,[1061],[],[],""
33,2958,[2957],[],[],""
34,2771,[2770],[],[],""
35,2053,[2052],[],[],""
36,3591,[3590],[],[],""
37,3593,[3592],[],[],""
38,3588,[3586],[],[],""
39,3589,[3587],[],[],""
40,3682,[3681],[],[],""
41,3963,[30],[],[],""
42,3964,[31],[],[],""
43,3560,[3561],[],[],""
44,4346,[4347],[],[],""
45,4406,[940],[],[],""
46,4407,[2327],[],[],""
47,18545,[140],[],[],""
48,18544,[138],[],[],""
49,18546,[142],[],[],""
50,4476,[436],[],[],""
51,3962,[438],[],[],""
52,5025,[5024],[],[],""
53,5031,[3246],[],[],""
54,5122,[5123],[],[],""
55,5154,[560],[],[],""
56,5688,[5689],[],[],""
57,6377,[43],[],[],""
58,6378,[44],[],[],""
59,6379,[50],[],[],""
60,6380,[51],[],[],""
61,6381,[57],[],[],""
62,6382,[58],[],[],""
63,6383,[28],[],[],""
64,6384,[29],[],[],""
65,11877,[43],[],[],""
66,11878,[44],[],[],""
67,11875,[50],[],[],""
68,11876,[51],[],[],""
69,11879,[57],[],[],""
70,11880,[58],[],[],""
71,11873,[28],[],[],""
72,11874,[29],[],[],""
73,6385,[64],[],[],""
74,6386,[65],[],[],""
75,6392,[6391],[],[],""
76,6421,[6422],[],[],""
77,6427,[6424],[],[],""
78,6428,[6425],[],[],""
79,6429,[6426],[],[],""
80,6517,[6516],[],[],""
81,6977,[5608],[],[],""
82,3923,[7064],[],[],""
83,4310,[4310],[],[],""
84,7350,[7350],[],[],""
85,9204,[83],[],[],""
86,7729,[84],[],[],""
87,7873,[2779],[],[],""
88,7874,[39],[],[],""
89,7879,[2785],[],[],""
90,7875,[2891],[],[],""
91,7876,[2908],[],[],""
92,7877,[7880],[],[],""
93,7878,[7881],[],[],""
94,7854,[7744],[],[],""
95,237,[9311],[],[],""
96,9434,[423],[],[],""
97,9430,[3513],[],[],""
98,9437,[9436],[],[],""
99,9431,[3261],[],[],""
100,9432,[4440],[],[],""
101,9433,[7239],[],[],""
102,9421,[9420],[],[],""
103,9475,[9476],[],[],""
104,9477,[3285],[],[],""
105,9478,[9479],[],[],""
106,9492,[1831],[],[],""
107,9493,[471],[],[],""
108,9494,[472],[],[],""
109,9495,[473],[],[],""
110,9496,[474],[],[],""
111,9565,[9566],[],[],""
112,9569,[9567],[],[],""
113,9570,[9571],[],[],""
114,9591,[14113],[],[],""
115,9592,[466],[],[],""
116,9633,[914],[],[],""
117,9666,[2082],[],[],""
118,9673,[9673],[],[],""
119,9713,[1995],[],[],""
120,10323,[2229],[],[],""
121,10324,[1632],[],[],""
122,10325,[1631],[],[],""
123,10329,[4637],[],[],""
124,15218,[4637],[],[],""
125,10408,[10407],[],[],""
126,10406,[435],[],[],""
127,10409,[596],[],[],""
128,10410,[17678],[],[],""
129,10411,[7981],[],[],""
130,10849,[468],[],[],""
131,10850,[3763],[],[],""
