"rownum","Id","rid","i32","[rid]","[i32]","i32","i32","rid","i32","Suffix","rid"
0,"MemoryLineAnarchy1",2,52576,[16140],[3],4,1224,1244,0,"of Organised Chaos",5174
1,"MemoryLineAnarchy2",2,45329,[],[],1,1225,1245,0,"of Ransacked Relics",5174
2,"MemoryLineDomination1",8,37208,"[14845,16130]","[10,100]",6,1226,1246,0,"of Formidable Shrines",5174
3,"MemoryLineDomination2",8,35260,"[15993,16962]","[4,300]",3,1227,1247,0,"of the Pantheon",12257
4,"MemoryLineEssence1",9,53818,[],[],1,1228,1248,0,"of Collective Stasis",5174
5,"MemoryLineEssence2",9,23679,"[16005,12905,12996,14848,12997]","[1,100,1,1,100]",5,1229,1249,0,"of Crystal Prisons",12258
6,"MemoryLineAmbush1",1,46590,"[16162,4950]","[4,1]",4,1230,1250,0,"of Cascading Fortunes",12259
7,"MemoryLineAmbush2",1,33628,"[4892,4953]","[1,2]",3,1231,1251,0,"of Hidden Behemoths",5174
8,"MemoryLineBreach1",6,40744,"[16048,12616,15477]","[1,40,1]",4,1232,1252,0,"of Demonic Onslaught",12260
9,"MemoryLineBreach2",6,36724,"[16124,13029,12878]","[1,100,100]",6,1233,1253,0,"of Grasping Hands",12261
10,"MemoryLineTorment1",17,19174,[2687],[1],1,1234,1254,0,"of Self-Possession",5174
11,"MemoryLineTorment2",17,24671,[2687],[1],3,1235,1255,0,"of Tormented Souls",12262
12,"MemoryLineHarbinger1",18,24813,"[16150,16203]","[1,50]",4,1236,1256,0,"of Survivor's Guilt",12263
13,"MemoryLineHarbinger2",18,29521,[16022],[1],4,1237,1257,0,"of Phaaryl",12264
14,"MemoryLineBestiary1",3,50665,[2241],[2],3,1238,1258,0,"of Harvest Beasts",12265
15,"MemoryLineBestiary2",3,46008,"[2241,13078]","[2,100]",4,1239,1259,0,"of the Menagerie",5174
16,"MemoryLineIncursion1",13,23896,"[1324,2265,13113]","[100,1,50]",4,1240,1260,0,"of Reverse Incursion",12266
17,"MemoryLineBetrayal1",4,60599,[2241],[6],1,1241,1261,0,"of Bounty Hunters",5174
18,"MemoryLineHarvest1",11,39024,"[16135,16137,16176]","[1,1,1]",4,1242,1262,0,"of the Sacred Grove",12267
19,"MemoryLineAbyss1",0,55290,[15473],[1],4,1243,1263,0,"of Chasms",12268
