"rownum","BaseItemType","Tier","AreaLevel"
0,2683,1,1
1,2683,2,4
2,2683,3,7
3,2683,4,11
4,2683,5,15
5,2683,6,19
6,2683,7,23
7,2683,8,27
8,2683,9,32
9,2683,10,37
10,2683,11,42
11,2683,12,47
12,2683,13,53
13,2683,14,59
14,2685,1,1
15,2685,2,35
16,2685,3,53
17,2685,4,85
18,2685,5,86
19,2685,6,87
20,2685,7,88
21,2685,8,89
22,2685,9,90
23,2685,10,91
24,2685,11,92
25,2684,1,1
26,3023,1,1
27,3023,2,4
28,3023,3,7
29,3023,4,11
30,3023,5,15
31,3023,6,19
32,3023,7,23
33,3023,8,27
34,3023,9,32
35,3023,10,37
36,3023,11,42
37,3023,12,47
38,3023,13,53
39,3023,14,59
