"rownum","Id","Name","AOFile","ACTFile","BaseMaxLife","BaseMaxMana","WeaponSpeed","MinDamage","MaxDamage","MaxAttackDistance","Icon","IntegerId","BaseStrength","BaseDexterity","BaseIntelligence","[rid]","Description","StartSkillGem","rid","i32","i32","CharacterSize","i32","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","rid","rid","rid","i32","i32","i32","rid","i32","i32","i32","i32","rid","rid","rid","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","i16"
0,"Metadata/Characters/Str/StrFour","Marauder","Metadata/Characters/Str/StrFour.ao","Metadata/Characters/Str/StrFour.act",16,30,833,2,8,8,"",0,15,7,7,[818],"Hear me, Ancestors! A warrior stands before you, a man who chooses his own Way. I fight without fear, and should I die, know that my war will continue in the Halls of the Dead. Neither monster nor man shall stand in my way.",458,0,5,0,0,0,1,33554432,-973078528,2,16777216,0,503316480,3,771751936,3,872415232,3,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-2113929216,3,1627389952,1946157056,1,0,0,16777216,-2113929216,3,-268435456,0,0,4,301989888,4,1845493760,4,-939524096,4,603979776,5,0,1426063360,1627389952,2533359616,0,4435712,-1228664960,5,0,0,0,1342177280,6,0,0,0,1342177280,6,1509949440,6,1677721600,6,67108864,1677721600,0,"",16256,17214,4865920,0,65536,110952448,0,0,0,0,0,108544718,0,0
1,"Metadata/Characters/Int/IntFour","Witch","Metadata/Characters/Int/IntFour.ao","Metadata/Characters/Int/IntFour.act",16,30,833,2,5,8,"",1,7,7,15,[818],"I do not fear death. I am its master. Darkness and the dead are my weapons of war. My enemies will rot from the inside out, as my army of corpses tears them screaming limb from limb.",2819,0,5,0,0,0,1,33554432,-268435456,0,16777216,0,-2013265920,9,-1744830464,9,-1644167168,9,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-436207616,9,1660944384,-33554432,-16843010,-16843010,-16843010,33488638,-436207616,9,-268435456,0,1577058304,10,1879048192,10,-872415232,10,637534208,11,-2113929216,11,0,1459617792,1660944384,2600468480,0,0,335544320,12,0,0,0,-1375731712,12,0,0,0,-1375731712,12,-1207959552,12,-1040187392,12,687865856,1342177280,0,"",16256,17214,124272512,0,196608,122028032,0,0,0,196608,0,218514105,0,0
2,"Metadata/Characters/Dex/DexFour","Ranger","Metadata/Characters/Dex/DexFour.ao","Metadata/Characters/Dex/DexFour.act",16,30,833,2,5,8,"",2,7,15,7,[818],"All I need is a single well-placed arrow. I'm fleet of foot, and have the eyes of a hawk. Put a bow in my hands, and they'll die trying to catch me. ",401,0,5,0,0,0,1,33554432,-805306368,15,16777216,0,771751936,16,-1744830464,9,1040187392,16,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-2147483648,16,1644167168,-33554432,-16843010,-16843010,-16843010,33488638,-2147483648,16,-268435456,0,-100663296,16,201326592,17,1744830464,17,-1040187392,17,503316480,18,0,1442840576,1644167168,2566914048,0,-1010563584,-1329361675,18,0,0,0,1241513984,19,0,0,0,1241513984,19,1409286144,19,1577058304,19,671088640,1342177280,0,"",16256,17214,233848704,0,131072,142737408,0,0,0,196608,0,329401012,0,0
3,"Metadata/Characters/StrDex/StrDexFour","Duelist","Metadata/Characters/StrDex/StrDexFour.ao","Metadata/Characters/StrDex/StrDexFour.act",16,30,833,2,6,8,"",3,11,11,7,[818],"Life is all about making an impact. Leaving a mark. Simply surviving is not good enough. If you're not doing it with style, why fight at all? Put a sword in my hand. I'll give you a show you won't soon forget.",2696,0,5,0,0,0,1,33554432,201326592,23,16777216,0,-2046820352,23,771751936,3,-1778384896,23,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-402653184,23,1677721600,1946157056,1,0,0,16777216,-402653184,23,-268435456,0,1677721600,24,2080374784,24,-469762048,24,1140850688,25,-1509949440,25,0,1476395008,1677721600,2634022912,0,-855638016,1053044428,26,0,0,0,-570425344,26,0,0,0,-570425344,26,-301989888,26,-33554432,26,704643072,1509949440,0,"",16256,17214,345653120,0,262144,109248512,0,0,0,0,0,454574792,0,0
4,"Metadata/Characters/DexInt/DexIntFour","Shadow","Metadata/Characters/DexInt/DexIntFour.ao","Metadata/Characters/DexInt/DexIntFour.act",16,30,833,2,5,8,"",4,7,11,11,[818],"You were born with quickness of body and sharpness of mind. How have you paid for these gifts? With innocent blood.\r\n \r\nYours is a predatory profession. The business of butchery. You have stolen many a life to fill your purse.\r\n \r\nNow you will earn your redemption in Wraeclast.",2693,0,5,0,0,0,1,33554432,268435456,31,16777216,0,-1946157056,31,771751936,3,-1677721600,31,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-301989888,31,1694498816,-33554432,-16843010,-16843010,-16843010,33488638,-301989888,31,-268435456,0,1744830464,32,-2147483648,32,-402653184,32,1207959552,33,-1442840576,33,0,1509949440,1711276032,2701131776,0,855638016,1120113075,34,0,0,0,-503316480,34,0,0,0,-503316480,34,-234881024,34,33554432,35,738197504,1342177280,0,"",16256,17214,471220096,0,393216,116064256,0,0,0,0,0,589054656,0,0
5,"Metadata/Characters/StrInt/StrIntFour","Templar","Metadata/Characters/StrInt/StrIntFour.ao","Metadata/Characters/StrInt/StrIntFour.act",16,30,833,2,6,8,"",5,11,7,11,[818],"Do not mistake me for humble and weak because I am a man of God. No. We Templars have learned we must handle earthly affairs on our own. Though God is absent, evil shall not go unpunished.",468,0,5,0,0,0,1,33554432,1543503872,38,16777216,0,-637534208,38,771751936,3,-369098752,38,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1006632960,39,1711276032,1946157056,1,0,0,16777216,1006632960,39,-268435456,0,-1207959552,39,-805306368,39,939524096,40,-1744830464,40,-100663296,40,0,1493172224,1694498816,2667577344,0,1715745600,-1841088922,41,0,0,0,838860800,42,0,0,0,838860800,42,1107296256,42,1375731712,42,721420288,1342177280,0,"",16256,17214,605306752,0,327680,140312576,0,0,0,0,0,711738052,0,0
6,"Metadata/Characters/Str/StrFourb","Warrior","Metadata/Characters/Str/StrFourB.ao","Metadata/Characters/Str/StrFour.act",16,30,833,2,8,8,"",6,15,7,7,[818],"I wanted very little for myself. A forge, a bed. They took that all away when they burned down my home. Give me one good hammer, and they will find that there is nothing more dangerous than a man of peace roused to war.",461,0,5,0,0,0,1,33554432,-973078528,2,16777216,0,-2113929216,45,771751936,3,-1845493760,45,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-402653184,45,1627389952,1946157056,1,0,0,16777216,-402653184,45,-268435456,0,1677721600,46,2013265920,46,1845493760,4,-939524096,4,-704643072,46,0,150994944,1627389952,2550136832,0,4435712,-1228664960,5,0,0,0,1778384896,47,0,0,0,1342177280,6,1509949440,6,1677721600,6,67108864,1677721600,0,"",16256,17214,4865920,0,65536,138739712,0,0,0,196608,0,798638798,0,0
7,"Metadata/Characters/Int/IntFourb","Sorceress","Metadata/Characters/Int/IntFourB.ao","Metadata/Characters/Int/IntFour.act",16,30,833,2,5,8,"",7,7,7,15,[818],"The elements are mine to control. I know why lightning strikes, why fire burns, and why cold freezes. They do so because I command it. The vengeance of the Maraketh will find those who have transgressed no matter where they run.",378,0,5,0,0,0,1,33554432,-973078528,50,16777216,0,603979776,51,-1744830464,9,872415232,51,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-2113929216,51,1660944384,-33554432,-16843010,-16843010,-16843010,33488638,-2113929216,51,-268435456,0,33554432,52,369098752,52,-872415232,10,637534208,11,1946157056,52,0,184549376,1660944384,2617245696,0,0,335544320,12,0,0,0,134217728,53,0,0,0,-1375731712,12,-1207959552,12,-1040187392,12,687865856,1342177280,0,"",16256,17214,124272512,0,196608,-16908288,-16843010,-16843010,-16843010,261886,0,892879545,0,0
8,"Metadata/Characters/Dex/DexFourb","Huntress","Metadata/Characters/Dex/DexFourB.ao","Metadata/Characters/Dex/DexFour.act",16,30,833,2,5,8,"",8,7,15,7,[818],"The Spirit bid me leave my forests, only to find violence and death. Give me a spear! If they want blood, I will show them what it means to fight for survival.",453,0,5,0,0,0,1,33554432,-805306368,15,16777216,0,-603979776,55,-1744830464,9,-335544320,55,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1073741824,56,1644167168,-33554432,-16843010,-16843010,-16843010,33488638,1073741824,56,-268435456,0,-1107296256,56,-771751936,56,1744830464,17,-1040187392,17,805306368,57,0,167772160,1644167168,2583691264,0,-1010563584,-1329361675,18,0,0,0,-1006632960,57,0,0,0,1241513984,19,1409286144,19,1577058304,19,671088640,1342177280,0,"",16256,17214,233848704,0,131072,141033472,0,0,0,0,0,969163444,0,0
9,"Metadata/Characters/StrDex/StrDexFourb","Mercenary","Metadata/Characters/StrDex/StrDexFourB.ao","Metadata/Characters/StrDex/StrDexFour.act",16,30,833,2,6,8,"",9,11,11,7,[818],"You've got a weapon, I'll wield it. Just tell me where to point it. I've seen the highs and horrors of war, and I'll do whatever it takes to survive. If you've got coin, I'm your man.",3041,0,5,0,0,0,1,33554432,201326592,23,16777216,0,-1342177280,60,771751936,3,-1073741824,60,-33554432,"",-16843010,-16843010,-16843010,16711422,0,33554432,61,1677721600,1946157056,1,0,0,16777216,33554432,61,-268435456,0,-2113929216,61,-1677721600,61,-469762048,24,1140850688,25,100663296,62,0,201326592,1677721600,2650800128,0,-855638016,1053044428,26,0,0,0,-1610612736,62,0,0,0,-570425344,26,-301989888,26,-33554432,26,704643072,1509949440,0,"",16256,17214,345653120,0,262144,-16908288,-16843010,-16843010,-16843010,261886,0,1053835976,0,0
