"rownum","i32","i32"
0,1,0
1,2,0
2,3,0
3,4,0
4,5,0
5,6,0
6,7,0
7,8,0
8,9,0
9,10,0
10,11,0
11,12,0
12,13,0
13,14,0
14,15,0
15,16,-10
16,17,-10
17,18,-10
18,19,-10
19,20,-10
20,21,-10
21,22,-10
22,23,-10
23,24,-10
24,25,-10
25,26,-10
26,27,-10
27,28,-10
28,29,-10
29,30,-10
30,31,-10
31,32,-10
32,33,-20
33,34,-20
34,35,-20
35,36,-20
36,37,-20
37,38,-20
38,39,-20
39,40,-20
40,41,-20
41,42,-20
42,43,-20
43,44,-20
44,45,-30
45,46,-30
46,47,-30
47,48,-30
48,49,-30
49,50,-30
50,51,-40
51,52,-40
52,53,-40
53,54,-40
54,55,-40
55,56,-40
56,57,-40
57,58,-50
58,59,-50
59,60,-50
60,61,-50
61,62,-50
62,63,-50
63,64,-50
64,65,-60
65,66,-60
66,67,-60
67,68,-60
68,69,-60
69,70,-70
70,71,-70
71,72,-70
72,73,-70
73,74,-70
74,75,-80
75,76,-80
76,77,-80
77,78,-80
78,79,-80
79,80,-80
80,81,-80
81,82,-80
82,83,-80
83,84,-80
84,85,-80
85,86,-80
86,87,-80
87,88,-80
88,89,-80
89,90,-80
90,91,-80
91,92,-80
92,93,-80
93,94,-80
94,95,-80
95,96,-80
96,97,-80
97,98,-80
98,99,-80
99,100,-80
