"rownum","Id","i32","bool","bool"
0,"GroundSlam",85057,"",""
1,"DistanceScaledGroundSlam",74640,"",""
2,"VaalDistanceScaledGroundSlam",117288,"",""
3,"Cleave",84624,"",""
4,"TableCharge",77305,"",""
5,"ShieldCharge",125231,"",""
6,"NewShieldCharge",117347,"",""
7,"NewNewShieldCharge",76736,"",""
8,"EnduringCry",115488,"",""
9,"InspiringCry",94638,"",""
10,"AbyssalCry",79105,"",""
11,"LeapSlam",104313,"",""
12,"DoubleStrike",127008,"",""
13,"VaalDoubleStrikeTwo",100405,"",""
14,"ElementalHit",69789,"",""
15,"DualStrike",130261,"",""
16,"BladeFlurry",98651,"",""
17,"Frenzy",84483,"",""
18,"CausticArrow",98935,"",""
19,"VaalCausticArrow",120600,"",""
20,"Backstab",116069,1,""
21,"DetonateDead",100463,1,""
22,"DetonateDeadNew",103926,1,""
23,"FlickerStrike",90962,"",""
24,"BloodRage",80568,"",""
25,"SplitArrow",79268,"",""
26,"NewColdSnap",81097,"",""
27,"IceNova",75592,"",""
28,"Fireball",109134,"",""
29,"Arc",110896,"",""
30,"RaiseZombie",126115,"",""
31,"RighteousFire",96180,"",""
32,"VaalRighteousFireDuration",76824,"",""
33,"RevivePlayer",16878305,"",""
34,"Melee",110984,"",""
35,"MonsterProjectileWeapon",119873,"",""
36,"CobraLash",66138,"",""
37,"BloodChieftainSummonMonkeys",81766,1,""
38,"SkeletonProjectileFire",76462,1,""
39,"SkeletonProjectileCold",120815,1,""
40,"SkeletonProjectileLightning",88743,1,""
41,"Spark",96345,"",""
42,"IceSpear",85728,"",""
43,"RaiseSpectre",123928,"",""
44,"InfernalBlowNew",119414,"",""
45,"GlacialHammer",117248,"",""
46,"FrostWall",74720,"",""
47,"FrostWallNew",108482,"",""
48,"FreezingPulse",84259,"",""
49,"ShockNova",116067,"",""
50,"GenericMelee",107954,"",""
51,"FuseArrow",106547,"",""
52,"ExplosiveArrow",99315,"",""
53,"TemporalChains",116674,"",""
54,"ElementalWeakness",119941,"",""
55,"DrainEssence",88666,"",""
56,"Enfeeble",66809,"",""
57,"CriticalWeakness",91399,"",""
58,"Vulnerability",85893,"",""
59,"IncaMinionProjectile",71519,1,""
60,"LightningWarp",89978,"",""
61,"RaiseSkeleton",111963,"",""
62,"HeavyStrike",119491,"",""
63,"RainOfArrows",128011,"",""
64,"ExpandingRainOfArrows",101136,"",""
65,"FireStorm",115819,"",""
66,"LightningStrike",67365,"",""
67,"VaalNewLightningStrike",89704,"",""
68,"LightningShield",89889,"",""
69,"FireShield",117050,"",""
70,"Puncture",108026,"",""
71,"LightningArrow",85166,"",""
72,"VaalLightningArrow",108473,"",""
73,"CastAuraSpeed",115130,1,""
74,"CastAuraElementalResistances",110242,1,""
75,"CastAuraLifeRegen",117698,1,""
76,"CastAuraEnergyShield",97361,1,""
77,"CastAuraAccuracyAndCrit",67881,1,""
78,"CastAuraEvasion",101531,1,""
79,"CastAuraArmour",101098,1,""
80,"CastAuraFireDamage",100800,1,""
81,"CastAuraColdDamage",99378,1,""
82,"CastAuraLightningDamage",98760,1,""
83,"BurningArrow",66581,"",""
84,"CastAuraManaRegen",72806,1,""
85,"TrapGroundFire",74194,"",""
86,"TotemTaunt",67451,"",""
87,"ReviveSkeleton",106844,"",""
88,"SuicideExplosion",110090,"",""
89,"SuicideExplosionSelf",106099,"",""
90,"ShadowProjectiles",124395,"",""
91,"IceShot",89682,"",""
92,"VaalIceShot",114040,"",""
93,"ArcticBreath",124057,"",""
94,"BrutusHook",114911,"",""
95,"FireWeakness",82090,"",""
96,"ColdWeakness",71400,"",""
97,"LightningWeakness",70780,"",""
98,"BallLightning",103079,"",""
99,"ExpandingFireCone",97680,"",""
100,"VaalCyclone",113678,"",""
101,"CycloneChannelled",79660,"",""
102,"BirdmanConsumeCorpse",84266,"",""
103,"RootSpiderBurrow",111075,1,""
104,"RootSpiderEmerge",91750,1,""
105,"Reave",89545,"",""
106,"Hide",128289,"",""
107,"DelayedBlast",97345,"",""
108,"SmokeMine",69562,"",""
109,"ProximityShield",92524,"",""
110,"ThrownWeaponProjectile",118651,"",""
111,"VaalThrownWeapon",101521,"",""
112,"CastAuraFireResistance",85602,1,""
113,"CastAuraColdResistance",90539,1,""
114,"CastAuraLightningResistance",96035,1,""
115,"StormCall",93163,"",""
116,"AttachedStormCall",114054,"",""
117,"VaalStormCall",128067,"",""
118,"ChargedBlast",73903,"",""
119,"FlameblastChannelled",106784,"",""
120,"RepeatingVaalChargedBlast",130835,"",""
121,"VaalChargedBlast",100100,"",""
122,"Barrage",74033,"",""
123,"SummonElemental",69088,1,""
124,"FlameWhip",115782,"",""
125,"Desecrate",87905,"",""
126,"Upheaval",112978,"",""
127,"AtziriFlameblast",103053,"",""
128,"AtziriFlameblastEmpowered",117543,"",""
129,"SummonMonsters",124970,"",""
130,"SummonStandaloneMapBoss",113096,1,""
131,"MoltenStrike",108993,"",""
132,"BrutusSpikedGround",113392,"",""
133,"TornadoShotNew",84494,"",""
134,"BrutusGroundSlam",126343,"",""
135,"MonsterProjectileSpell",98855,"",""
136,"Heal",70750,1,""
137,"HeraldOfAsh",96812,"",""
138,"HeraldOfIce",72733,"",""
139,"HeraldOfThunder",91552,"",""
140,"HeraldOfLight",104227,"",""
141,"Consecrate",119639,"",""
142,"PoachersMark",121473,"",""
143,"SummonSpecificMonsters",116025,1,""
144,"SummonSpecificMonstersCannotDie",87362,1,""
145,"LightningTendrilsChannelled",111441,"",""
146,"BatScreech",120519,"",""
147,"VollCharge",102522,"",""
148,"VollSlam",96562,"",""
149,"WaterVortex",85165,"",""
150,"MonsterDodge",101251,"",1
151,"MonsterMortar",101108,"",""
152,"MonsterMortarAttack",70965,"",""
153,"ClusterBurst",85398,"",""
154,"SummonChaosElemental",75743,"",""
155,"SummonIceElemental",102787,"",""
156,"SummonFireElemental",99874,"",""
157,"IceCrash_",87001,"",""
158,"DeathExplode",96189,"",""
159,"MinerExcavateElemental",83329,1,""
160,"Wait",96398,1,1
161,"NewShockNova",79500,"",""
162,"FlameDash",89293,"",""
163,"PietyCorruptedLightningBeam",79399,"",""
164,"Fortify",106561,"",""
165,"IceStrike",114926,"",""
166,"FireMortar",125700,"",""
167,"NewPunishment",125111,"",""
168,"VaalArcticArmour",123658,"",""
169,"ElementalStrike",110112,"",""
170,"InvisibleFire",95228,"",""
171,"MortarWithGroundEffects",118885,"",""
172,"PietyReverseCleave",116299,"",""
173,"RainOfBlades",84827,"",""
174,"FrostBomb",89655,"",""
175,"UniqueAnimateWeapon",84172,1,""
176,"StormCloud",76121,"",""
177,"LbRetractableTrap",109130,"",""
178,"SummonRockGolem",70731,"",""
179,"WhirlingLeap",101952,"",""
180,"QuakeSlam",86347,"",""
181,"VaalEarthquake",111270,"",""
182,"VaalEarthquakeFootstep",89213,"",""
183,"Contagion",76809,"",""
184,"Wither",66466,"",""
185,"WitherChannelled",100467,"",""
186,"Siphon",123296,"",""
187,"ReviveAfterDuration",74530,"",""
188,"SummonSpecificMonstersFromMortars",129778,"",""
189,"SummonSpecificMonstersInFront",97485,1,""
190,"RigwaldWolfBarrage",97814,"",""
191,"ShockwaveSlam",95076,"",""
192,"NewSunder",90077,"",""
193,"RangeFinder",67603,"",1
194,"CastGroundEffect",84998,"",""
195,"FrostBolt",89746,"",""
196,"FrostBoltNova",103677,"",""
197,"BlightChannel",100838,"",""
198,"VaalBlight",115755,"",""
199,"ChargedAttackChannelled",110434,"",""
200,"VaalChargedAttack",81202,"",""
201,"FaceLastTarget",16849780,1,1
202,"SummonLightningElemental",86083,"",""
203,"IzaroWarp",66620,"",""
204,"DoubleSlash",66264,"",""
205,"WalkingDoubleSlash",80757,"",""
206,"SkeletalChains",111350,"",""
207,"FireOrbs",103153,"",""
208,"HydraTurretProjectile",125543,"",""
209,"FireBeam",95331,"",""
210,"MarkerWarp",106593,"",""
211,"MinotaurBurrow",67103,"",""
212,"SummonSpecificBarrels",126788,1,""
213,"SummonSpecificBarrelsInFront",121409,1,""
214,"SummonSpecificBarrelsFromMortar",103184,"",""
215,"BonePrison",117749,"",""
216,"BladeVortex",67007,"",""
217,"ChangeToStance1",16848583,1,1
218,"ChangeToStance2",16848580,1,1
219,"ChangeToStance3",16848581,1,1
220,"ChangeToStance4",16848578,1,1
221,"ChangeToStance5",16848579,1,1
222,"ChangeToStance1Immediate",16850520,1,1
223,"ChangeToStance2Immediate",16868680,1,1
224,"ChangeToStance3Immediate",16906038,1,1
225,"ChangeToStance4Immediate",16845519,1,1
226,"ChangeToStance5Immediate",16885009,1,1
227,"AtlasGrowingMaelstrom",129045,1,""
228,"AtlasSpiderWeb",97929,1,""
229,"ReviveSpecificMonsters",109854,1,""
230,"HotdogUpheaval",82374,"",""
231,"MortarInCone",104554,"",""
232,"BreachBoneNova",111933,"",""
233,"MaligaroBarrage",105840,"",""
234,"LightningSpell",113220,"",""
235,"SummonSpider",129922,1,""
236,"MeleeThrustAttack",126002,"",""
237,"LunarisGlaiveProjectile",124612,"",""
238,"AvariusDivineBeam",74958,"",""
239,"PurgeHoundWhirlingBlades",117682,"",""
240,"AbberathMeteorUpheaval",115046,"",""
241,"ChargedDashAim",77174,"",""
242,"UtulaRemoteSlam",103141,"",""
243,"Teleport",96781,"",""
244,"AddBuffToTarget",93666,1,""
245,"DelayedSkillTrigger",96213,"",""
246,"TriggerCharge",120296,"",""
247,"EmptyActionSpell",84130,1,1
248,"TriggerCascade",107343,1,""
249,"SpecialBeamCannon",121356,"",""
250,"MoveDaemon",101262,1,""
251,"RotateDaemon",72674,1,""
252,"RotateObject",94205,1,1
253,"DoedreScreech",129135,1,""
254,"IguanaFlamethrower",120085,"",""
255,"VolatileDead",116268,"",""
256,"VolatileDeadDetonate",122927,"",""
257,"WalkEmerge",66505,"",1
258,"CorpseErruption",106367,"",""
259,"ShakariQuicksand",80768,"",""
260,"DeceleratingProjectile",66599,"",""
261,"Aegis",122975,"",""
262,"EnduranceChargeSlam",113193,"",""
263,"LightningElderBolt",95937,"",""
264,"SlideEmerge",67714,1,1
265,"GeometryAttack",121277,"",""
266,"GeometrySpell",118006,"",""
267,"EmptyActionSpell2",73118,1,1
268,"EmptyActionSpell3",73119,1,1
269,"EmptyActionSpell4",73112,1,1
270,"EmptyActionSpell5",73113,1,1
271,"ChaosWeakness",66879,"",""
272,"SummonPetrificationStatue",100368,1,""
273,"TemporalAnomalySkill",123574,"",""
274,"EmptyActionSpellLoop",66179,1,1
275,"EmptyActionSpellLoop2",121544,1,1
276,"EmptyActionSpellLoop3",121545,1,1
277,"EmptyActionSpellLoop4",121550,1,1
278,"EmptyActionSpellLoop5",121551,1,1
279,"IntimidatingCry",81483,"",""
280,"MonsterDetonateDeadArea",119152,"",""
281,"MasterGrantBuff",91090,"",""
282,"EmptyActionAttack",74286,1,1
283,"EmptyActionAttack2",99032,1,1
284,"EmptyActionAttack3",99033,1,1
285,"EmptyActionAttack4",99038,1,1
286,"EmptyActionAttack5",99039,1,1
287,"EmptyActionAttackLoop",65759,1,1
288,"EmptyActionAttackLoop2",113063,1,1
289,"EmptyActionAttackLoop3",113062,1,1
290,"EmptyActionAttackLoop4",113057,1,1
291,"EmptyActionAttackLoop5",113056,1,1
