"rownum","ItemExperienceType","ItemCurrentLevel","Experience","i32"
0,0,1,0,0
1,0,2,768,3
2,0,3,9702,6
3,0,4,67178,10
4,0,5,243700,14
5,0,6,824190,18
6,0,7,2104945,22
7,0,8,5520325,26
8,0,9,14891562,31
9,0,10,36390616,36
10,0,11,72329816,41
11,0,12,140079525,46
12,0,13,265807499,52
13,0,14,488536627,58
14,0,15,774300949,64
15,0,16,1028313681,66
16,0,17,1282326412,72
17,0,18,1536339143,78
18,0,19,1790351874,84
19,0,20,2044364605,90
20,1,1,0,0
21,1,2,16154,0
22,1,3,647270,0
23,1,4,6361711,0
24,1,5,39949255,0
25,1,6,529166003,0
26,2,1,0,0
27,2,2,226854909,0
28,2,3,1666045137,0
29,3,1,0,0
30,3,2,413882498,0
31,3,3,869153245,0
32,3,4,1369951067,0
33,3,5,1920828672,0
34,4,1,0,0
35,4,2,226854909,0
36,4,3,1666045137,0
37,4,4,2086927923,0
38,5,1,0,0
39,5,2,70,0
40,5,3,378,0
41,5,4,1932,0
42,5,5,8599,0
43,5,6,34646,0
44,5,7,84371,0
45,5,8,180085,0
46,5,9,349680,0
47,5,10,633439,0
48,5,11,1087435,0
49,5,12,1790563,0
50,5,13,2851786,0
51,5,14,4917656,0
52,5,15,7424766,0
53,5,16,13223702,0
54,5,17,28307621,0
55,5,18,56100356,0
56,5,19,99970095,0
57,5,20,342051651,0
58,6,1,0,0
59,6,2,841,0
60,6,3,3940,0
61,6,4,11373,0
62,6,5,34268,0
63,6,6,83993,0
64,6,7,179707,0
65,6,8,349302,0
66,6,9,633061,0
67,6,10,1087057,0
68,6,11,1790185,0
69,6,12,2851408,0
70,6,13,4917278,0
71,6,14,7424388,0
72,6,15,9998119,0
73,6,16,17609470,0
74,6,17,31047378,0
75,6,18,56099525,0
76,6,19,99968961,0
77,6,20,342050139,0
78,7,1,0,0
79,7,2,3231,0
80,7,3,12800,0
81,7,4,40989,0
82,7,5,100135,0
83,7,6,211327,0
84,7,7,405127,0
85,7,8,725407,0
86,7,9,1233246,0
87,7,10,1787625,0
88,7,11,2542674,0
89,7,12,3559207,0
90,7,13,5457809,0
91,7,14,7421828,0
92,7,15,9995559,0
93,7,16,17606398,0
94,7,17,31043282,0
95,7,18,56093893,0
96,7,19,99961281,0
97,7,20,342039899,0
98,8,1,0,0
99,8,2,9569,0
100,8,3,37758,0
101,8,4,96904,0
102,8,5,208096,0
103,8,6,401896,0
104,8,7,722176,0
105,8,8,1081266,0
106,8,9,1579774,0
107,8,10,2261831,0
108,8,11,3183608,0
109,8,12,4911487,0
110,8,13,6703256,0
111,8,14,9056935,0
112,8,15,12127847,0
113,8,16,21223313,0
114,8,17,37263203,0
115,8,18,67080320,0
116,8,19,129975376,0
117,8,20,342026975,0
118,9,1,0,0
119,9,2,15249,0
120,9,3,56766,0
121,9,4,138749,0
122,9,5,286717,0
123,9,6,537274,0
124,9,7,942360,0
125,9,8,1390078,0
126,9,9,2005396,0
127,9,10,2840035,0
128,9,11,4410795,0
129,9,12,6044782,0
130,9,13,8195812,0
131,9,14,11008001,0
132,9,15,16107361,0
133,9,16,25508092,0
134,9,17,40781458,0
135,9,18,67068040,0
136,9,19,129958630,0
137,9,20,342004647,0
138,10,1,0,0
139,10,2,49725,0
140,10,3,145439,0
141,10,4,315034,0
142,10,5,514379,0
143,10,6,800194,0
144,10,7,1201538,0
145,10,8,1755917,0
146,10,9,2510966,0
147,10,10,3527499,0
148,10,11,5426101,0
149,10,12,7390120,0
150,10,13,9963851,0
151,10,14,14640290,0
152,10,15,17657617,0
153,10,16,25480618,0
154,10,17,40744826,0
155,10,18,67017671,0
156,10,19,129889945,0
157,10,20,341913067,0
158,11,1,0,0
159,11,2,69833,0
160,11,3,198382,0
161,11,4,352935,0
162,11,5,578309,0
163,11,6,898981,0
164,11,7,1346699,0
165,11,8,1962017,0
166,11,9,2796656,0
167,11,10,4367416,0
168,11,11,6001403,0
169,11,12,8152433,0
170,11,13,10964622,0
171,11,14,14619806,0
172,11,15,17637133,0
173,11,16,25456038,0
174,11,17,40712051,0
175,11,18,66972606,0
176,11,19,129828493,0
177,11,20,341831131,0
178,12,1,0,0
179,12,2,118383,0
180,12,3,294199,0
181,12,4,548260,0
182,12,5,907350,0
183,12,6,1405858,0
184,12,7,2087915,0
185,12,8,3009692,0
186,12,9,4737571,0
187,12,10,5876448,0
188,12,11,7244681,0
189,12,12,8883019,0
190,12,13,10839667,0
191,12,14,14494851,0
192,12,15,17512178,0
193,12,16,25306092,0
194,12,17,40512123,0
195,12,18,66697705,0
196,12,19,129453628,0
197,12,20,341331311,0
198,13,1,0,0
199,13,2,199345,0
200,13,3,485160,0
201,13,4,886504,0
202,13,5,1440883,0
203,13,6,1918320,0
204,13,7,2502106,0
205,13,8,3212465,0
206,13,9,4567976,0
207,13,10,5706853,0
208,13,11,7075086,0
209,13,12,8713424,0
210,13,13,10670072,0
211,13,14,14325256,0
212,13,15,17342583,0
213,13,16,25102578,0
214,13,17,40240771,0
215,13,18,66324596,0
216,13,19,128944843,0
217,13,20,340652931,0
218,14,1,0,0
219,14,2,285815,0
220,14,3,538410,0
221,14,4,852804,0
222,14,5,1241538,0
223,14,6,1718975,0
224,14,7,2302761,0
225,14,8,3013120,0
226,14,9,4368631,0
227,14,10,5507508,0
228,14,11,6875741,0
229,14,12,8514079,0
230,14,13,10470727,0
231,14,14,14125911,0
232,14,15,17143238,0
233,14,16,24863364,0
234,14,17,39921819,0
235,14,18,65886037,0
236,14,19,128346808,0
237,14,20,339855551,0
238,15,1,0,0
239,15,2,252595,0
240,15,3,566989,0
241,15,4,955723,0
242,15,5,1433160,0
243,15,6,2016946,0
244,15,7,2727305,0
245,15,8,4082816,0
246,15,9,5221693,0
247,15,10,6589926,0
248,15,11,8228264,0
249,15,12,10184912,0
250,15,13,13840096,0
251,15,14,16857423,0
252,15,15,20433655,0
253,15,16,29598386,0
