"rownum","Id","i32","ClientStrings","i32","i32","i32","[i32]"
0,"ConsoleMovementMaxDistance",80,4714,0,0,0,[0]
1,"ConsoleFiftyUnitsDistance",50,4714,0,0,0,[0]
2,"ConsoleAtFeet",5,4714,5,5,5,"[0,3]"
3,"ConsoleAtFeetNormalSelfcast",0,4714,5,5,5,"[0,3]"
4,"ConsoleQuickDodge",80,4714,0,0,0,[1]
5,"ConsoleFiftyUnitsDistanceRespectTarget",50,4714,0,0,0,"[0,2]"
6,"ConsoleForceLocationMaxDistance",80,4714,0,0,0,"[0,3]"
7,"ConsoleFiftyFiveUnitsDistanceRespectTarget",55,4714,0,0,0,"[0,2]"
8,"ConsoleEightyUnitsDistanceRespectTarget",80,4714,0,0,0,"[0,2]"
9,"ConsoleFifteenUnitsNormalSelfcast",0,4714,15,15,15,"[0,3]"
10,"ConsoleAtFeetRespectTarget",5,4714,5,5,5,"[0,2]"
