"rownum","Id","rid","rid","rid","[rid]","bool","bool","[rid]","[string]","i32","i32","i32","i32"
0,"IsNormalMonster",0,"","",[],"","",[],[],0,1,100,0
1,"IsMagicMonster",1,"","",[],"","",[],[],0,1,100,0
2,"IsRareMonster",2,"","",[],"","",[],[],0,1,100,0
3,"IsUniqueMonster",3,"","",[],"","",[],[],0,1,100,0
4,"IsMapBoss","","","",[],1,"",[],[],0,1,100,0
5,"IsNotUnique","","",3,[],"","",[],[],0,1,100,0
6,"IsBeyondMonster","",5536,"",[],"","",[],[],0,1,100,0
7,"IsInvasionBoss","",3393,"",[],"","",[],[],0,1,100,0
8,"IsTormentedSpirit","",5405,"",[],"","",[],[],0,1,100,0
9,"IsRogueExile","",8405,"",[],"","",[],[],0,1,100,0
10,"IsIzaro","",3983,"",[],"","",[],[],0,1,100,0
11,"IsNotIzaro","","","",[3983],"","",[],[],0,1,100,0
12,"IsSynthesisedMonster","","","",[],"","",[414],[],0,1,100,0
13,"IsNotConvertingPhysicalDamage","","","","[1070,1071,1072,1073]","","",[],[],0,1,100,0
14,"IsHarbinger","",8832,"",[],"","",[],[],0,1,100,0
15,"IsFirst3Possessed","",2545,"",[],"","",[],[],3,1,100,0
16,"IsCorruptedVaal","","","",[],"","",[441],[],0,1,100,0
17,"IsNotMapBoss","","","",[],"",1,[],[],0,1,100,0
18,"ShouldNotDropSplinters","",11031,"",[],"","",[],[],0,1,100,0
19,"IsWarband","",11032,"",[],"","",[],[],0,1,100,0
20,"IsElderPortal","",11033,"",[],"","",[],[],0,1,100,0
21,"IsMapBossUnderling","",11034,"",[],"","",[],[],0,1,100,0
22,"IsAfflictionWildBoss","",11035,"",[],"","",[],[],0,1,100,0
23,"IsTempleArchitect","",11068,"",[],"","",[],[],0,1,100,0
24,"IsNotTempleArchitect","","","",[11068],"","",[],[],0,1,100,0
25,"IsIncursionBoss","",11069,"",[],"","",[],[],0,1,100,0
26,"IsWarbandLeader","",11116,"",[],"","",[],[],0,1,100,0
27,"IsNotWarbandLeader","","","",[11116],"","",[],[],0,1,100,0
28,"IsBetrayalTarget","",11136,"",[],"","",[],[],0,1,100,0
29,"IsNotBetrayalTarget","","","",[11136],"","",[],[],0,1,100,0
30,"IsIncursionArchitect","",11137,"",[],"","",[],[],0,1,100,0
31,"IsNotIncursionArchitect","","","",[11137],"","",[],[],0,1,100,0
32,"IsBestiaryRedBeast","",11138,"",[],"","",[],[],0,1,100,0
33,"IsNotBestiaryRedBeast","","","",[11138],"","",[],[],0,1,100,0
34,"HeistGuard","","","",[],"","",[622],[],0,1,100,0
35,"IsNotRitualMonster","","","",[12738],"","",[],[],0,1,100,0
36,"IsShaperMonster","","","",[],"","",[632],[],0,1,100,0
37,"IsElderMonster","","","",[],"","",[633],[],0,1,100,0
38,"IsCrusaderMonster","","","",[],"","",[636],[],0,1,100,0
39,"IsEyrieMonster","","","",[],"","",[634],[],0,1,100,0
40,"IsBasiliskMonster","","","",[],"","",[635],[],0,1,100,0
41,"IsAdjudicatorMonster","","","",[],"","",[637],[],0,1,100,0
42,"IsBreachMonster","",4965,"",[],"","",[],[],0,1,100,0
43,"IsRitualRespawnedMapBoss","",7542,"",[],"","",[],[],0,1,100,0
44,"IsNotRitualRespawnedMapBoss","","","",[7542],"","",[],[],0,1,100,0
45,"IsAbyssMonster","","","",[],"","",[239],[],0,1,100,0
46,"IsEssenceMonster","",13078,"",[],"","",[],[],0,1,100,0
47,"IsInfluenceMonster","","","",[],"","",[642],[],0,1,100,0
48,"IsBlightBoss","","","",[],"","",[643],[],0,1,100,0
49,"Level4Plus","","","",[],"","",[],[],0,4,100,0
50,"IsBreachCommander","","","",[],"","",[199],[],0,1,100,0
51,"IsDelveBoss","","","",[],"","",[],[],0,1,100,11950100
52,"IsHellscapeMonster","","","",[],"","",[],[],0,1,100,-1520197555
53,"IsTangleInfluencedMonster","","","",[],"","",[],[],0,1,100,155062019
54,"IsCleansingFireInfluencedMonster","","","",[],"","",[],[],0,1,100,-1163185422
55,"Level1to45Monster","","","",[],"","",[],[],0,1,45,0
56,"Level46to67Monster","","","",[],"","",[],[],0,46,67,0
57,"Level68to72Monster","","","",[],"","",[],[],0,68,72,0
58,"Level73to77Monster","","","",[],"","",[],[],0,73,77,0
59,"Level78to84Monster","","","",[],"","",[],[],0,78,84,0
60,"Level81plusMonster","","","",[],"","",[],[],0,81,100,0
61,"Level85plusMonster","","","",[],"","",[],[],0,85,100,0
62,"IsBestiaryYellowBeast","",16144,"",[],"","",[],[],0,1,100,0
63,"IsIncursionMemoryLineMonster","",16151,"",[],"","",[],[],0,1,100,0
64,"IsMavenWitnessed","",16396,"",[],"","",[],[],0,1,100,0
65,"IsLastMapBoss","",16468,"",[],"","",[],[],0,1,100,0
66,"IsSanctumFloorBoss","",16739,"",[],"","",[],[],0,1,100,0
67,"IsSanctumGuard","",16758,"",[],"","",[],[],0,1,100,0
68,"IsSanctumBoss","",16823,"",[],"","",[],[],0,1,100,0
69,"IsBreachMonsterCold","","","",[],"","",[993],[],0,1,100,0
70,"IsBreachMonsterFire","","","",[],"","",[994],[],0,1,100,0
71,"IsBreachMonsterLightning","","","",[],"","",[995],[],0,1,100,0
72,"IsBreachMonsterPhysical","","","",[],"","",[996],[],0,1,100,0
73,"IsBreachMonsterChaos","","","",[],"","",[997],[],0,1,100,0
74,"IsBlightMonster","",9728,"",[],"","",[],[],0,1,100,0
75,"IsAfflictionMonster","",10802,"",[],"","",[],[],0,1,100,0
76,"IsSanctumFinalBoss","",17010,"",[],"","",[],[],0,1,100,0
77,"Level80OrBelowMonster","","","",[],"","",[],[],0,1,80,0
78,"IsArbiterBoss","",20751,"",[],"","",[],[],0,1,100,0
79,"IsAfflictionDaemon","","","",[],"","",[1109],[],0,1,100,0
