"rownum","Id","ClassNo","Characters","CoordinateRect","RGBFlavourTextColour","Name","FlavourText","OGGFile","PassiveTreeImage","i32","i32","bool","i32","i32"
0,"Marauder1",1,[0],"150,-550,700,500","175,90,50","[DNT] Bait Fisher","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,240,1,-2030043136,0
1,"Marauder2",2,[0],"150,-550,700,500","175,90,50","[DNT] Handliner","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,240,1,-2030043136,0
2,"Marauder3",3,[0],"150,-550,700,500","175,90,50","[DNT] Rodman","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,240,1,-2030043136,0
3,"Warrior1",1,[6],"0,-600,1000,500","246,184,138","Titan","Incredible might has always laid buried within you. Now is the time to rise.","","Art/2DArt/BaseClassIllustrations/TitanAscendancy.dds",1332,240,1,-2030043136,0
4,"Warrior2",2,[6],"0,-600,1000,500","221,193,163","Warbringer","Your home has been threatened. A good man must be roused to war.","","Art/2DArt/BaseClassIllustrations/WarbringerAscendancy.dds",1332,240,1,-2030043136,0
5,"Warrior3",3,[6],"150,-550,700,500","175,90,50","[DNT] Angler","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,240,1,-2030043136,16777216
6,"Ranger1",1,[2],"0,-650,1000,500","206,205,255","Deadeye","A woman can change the world with a single well-placed arrow.","","Art/2DArt/BaseClassIllustrations/DeadeyeAscendancy.dds",1332,120,1,-2030043136,0
7,"Ranger2",2,[2],"0,-550,1000,500","124,179,118","[DNT] Piscator","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,120,1,-2030043136,16777216
8,"Ranger3",3,[2],"0,-650,1000,500","159,234,178","Pathfinder","There are venoms and virtues aplenty in the wilds, if you know where to look.","","Art/2DArt/BaseClassIllustrations/PathfinderAscendancy.dds",1332,120,1,-2030043136,0
9,"Huntress1",1,[8],"-150,-550,700,500","124,179,118","[DNT] Spearfisher","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,120,1,-2030043136,0
10,"Huntress2",2,[8],"-150,-550,700,500","124,179,118","[DNT] Harpooner","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,120,1,-2030043136,0
11,"Huntress3",3,[8],"-150,-550,700,500","124,179,118","[DNT] Fisherwoman","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,120,1,-2030043136,0
12,"Witch1",1,[1],"0,400,1000,500","255,165,126","Infernalist","You seek power at any cost... and there is no price too high to pay.","","Art/2DArt/BaseClassIllustrations/InfernalistAscendancy.dds",1332,0,1,-2030043136,0
13,"Witch2",2,[1],"0,400,1000,500","234,213,159","Blood Mage","Your search for power took you on a journey inwards.","","Art/2DArt/BaseClassIllustrations/BloodMageAscendancy.dds",1332,0,1,-2030043136,0
14,"Witch3",3,[1],"0,400,1000,500","154,195,201","[DNT] Troller","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,0,1,-2030043136,16777216
15,"Sorceress1",1,[7],"0,400,1000,500","227,191,255","Stormweaver","The rumble of thunder heralds your approach. Woe to those that draw your ire.","","Art/2DArt/BaseClassIllustrations/StormcallerAscendancy.dds",1332,0,1,-2030043136,0
16,"Sorceress2",2,[7],"0,500,1000,500","191,209,255","Chronomancer","The tapestry of time is yours to weave; an element you alone may master.","","Art/2DArt/BaseClassIllustrations/ChronomancerAscendancy.dds",1332,0,1,-2030043136,0
17,"Sorceress3",3,[7],"0,400,700,500","154,195,201","[DNT] Surf Caster","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,0,1,-2030043136,16777216
18,"Duelist1",1,[3],"0,-650,700,500","150,175,200","[DNT] Giller","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,180,1,-2030043136,0
19,"Duelist2",2,[3],"0,-650,700,500","150,175,200","[DNT] Filleter","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,180,1,-2030043136,0
20,"Duelist3",3,[3],"0,-650,700,500","150,175,200","[DNT] Waterman","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,180,1,-2030043136,0
21,"Mercenary1",1,[9],"0,-600,1000,500","150,175,200","[DNT] Whaler","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,180,1,-2030043136,16777216
22,"Mercenary2",2,[9],"0,-600,1000,500","189,233,225","Witchhunter","There's something very wrong with this world... and you're going to fix it.","","Art/2DArt/BaseClassIllustrations/WitchhunterAscendancy.dds",1332,180,1,-2030043136,0
23,"Mercenary3",3,[9],"0,-600,1000,500","224,221,179","Gemling Legionnaire","The more you embrace virtue gems, the more power they offer...","","Art/2DArt/BaseClassIllustrations/GemlingAscendancy.dds",1332,180,1,-2030043136,0
24,"Templar1",1,[5],"150,400,700,500","207,189,138","[DNT] Seaman","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,300,1,-2030043136,0
25,"Templar2",2,[5],"150,400,700,500","207,189,138","[DNT] Trawler","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,300,1,-2030043136,0
26,"Templar3",3,[5],"150,400,700,500","207,189,138","[DNT] Boatman","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,300,1,-2030043136,0
27,"Druid1",1,[11],"150,400,700,500","207,189,138","[DNT] Netter","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,300,1,-2030043136,0
28,"Druid2",2,[11],"150,400,700,500","207,189,138","[DNT] Poacher","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,300,1,-2030043136,0
29,"Druid3",3,[11],"150,400,700,500","207,189,138","[DNT] Wildfowler","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,300,1,-2030043136,0
30,"Shadow1",1,[4],"-150,400,700,500","114,129,141","[DNT] Ice Fisher","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,60,1,-2030043136,0
31,"Shadow2",2,[4],"-150,400,700,500","114,129,141","[DNT] Longliner","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,60,1,-2030043136,0
32,"Shadow3",3,[4],"-150,400,700,500","114,129,141","[DNT] Dredger","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,60,1,-2030043136,0
33,"Monk1",1,[10],"0,400,1000,500","114,129,141","[DNT] Kite Fisher","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,60,1,-2030043136,16777216
34,"Monk2",2,[10],"0,400,1000,500","199,184,238","Invoker","True strength lies within. One must only focus... and believe.","","Art/2DArt/BaseClassIllustrations/InvokerAscendancy.dds",1332,60,1,-2030043136,0
35,"Monk3",3,[10],"0,400,1000,500","255,211,220","Acolyte of Chayula","The truth of your faith threatens to break your very soul... but in that struggle lies power beyond belief.","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,60,1,-2030043136,0
