"rownum","Id","Value","i32"
0,"MonsterAccuracyBase",47,1
1,"MonsterAccuracyIncremental",321,1
2,"MonsterAccuracyImprovement",210,100
3,"MonsterArmourBase",3,1
4,"MonsterArmourIncremental",5,2
5,"MonsterArmourStrengthRatioMultiplier",3,1
6,"MonsterArmourImprovement",450,100
7,"MonsterEvasionBase",8,1
8,"MonsterEvasionIncremental",3,1
9,"MonsterEvasionDexterityRatioMultiplier",2,1
10,"MonsterEvasionImprovement",12,10
11,"OldLeechModsEffectiveness",20,1
12,"AscendancyRespecCost",5,1
13,"SkillDamageBaseEffectiveness",3885209,1000000
14,"SkillDamageIncrementalEffectiveness",0,1000000
15,"MaxHideoutDoodads",750,1
16,"PassiveTreeJewelDistanceMultiplier",120,100
17,"PartyQuantityBonusPerAdditionalPlayer",20,100
18,"PartyQuantityBonusPerAdditionalPlayerHardMode",20,100
19,"PartyRarityBonusPerAdditionalPlayer",0,100
20,"PartyRarityBonusPerAdditionalPlayerHardMode",0,100
21,"PartyUniqueBonusPerAdditionalPlayer",100,100
22,"LightStunMinimumChance",20,1
23,"LightStunRatioScale",92,1
24,"LightStunMinimumChancePlayer",11,1
25,"LightStunRatioScalePlayer",110,1
26,"HeavyStunDamageScale",87,100
27,"HeavyStunThresholdModifier",450,1
28,"HeavyStunModifierDuration",16500,1000
29,"HeavyStunDamageScalePlayer",100,100
30,"HeavyStunThresholdModifierPlayer",100,1
31,"HeavyStunModifierDurationPlayer",10000,1000
32,"FreezeDamageScale",335,100
33,"FreezeDamageScalePlayer",200,100
34,"FreezeDuration",4000,1000
35,"FreezeDurationPlayer",2000,1000
36,"FreezeThresholdModifier",375,1
37,"FreezeModifierDuration",16500,1000
38,"ElectrocuteDamageScale",400,100
39,"ElectrocuteDuration",5000,1
40,"ElectrocuteDurationPlayer",2000,1
41,"ElectrocuteThresholdModifier",600,1
42,"ElectrocuteModifierDuration",16500,1000
43,"PinDamageScale",1000,100
44,"PinDuration",4000,1000
45,"PinThresholdModifier",225,1
46,"PinModifierDuration",13000,1000
47,"MonsterIntRatioCovertLifeToEnergyShield",100,1
48,"ShockChanceMultiplier",25,1
49,"IgniteChanceMultiplier",25,1
50,"MiscAilmentChanceMultiplier",25,1
51,"AilmentChanceExponent",1,1
52,"ChillEffectMultiplier",60,1
53,"ChillMaxEffect",50,1
54,"SellPriceMultiplier",11,100
55,"MobilePriceMultiplier",25,100
56,"UnidentifiedMagicMultiplier",150,100
57,"UnidentifiedRareMultiplier",600,100
58,"IdentifiedMagicMultiplier",100,100
59,"IdentifiedRareMultiplier",200,100
60,"AtlasPassiveRespecCost",5000,1
61,"EndgameStartLevel",65,1
62,"BleedingHitDamagePercentPerMinute",900,1
63,"IgniteHitDamagePercentPerMinute",1200,1
64,"PoisonHitDamagePercentPerMinute",1200,1
65,"JaggedGroundMagnitude",-20,1
66,"BaseBleedingDuration",5,1
67,"BaseChillDuration",2,1
68,"BaseShockDuration",4,1
69,"BasePoisonDuration",2,1
70,"BaseIgniteDuration",4,1
