"rownum","Item","Category","SubCategory","bool","EnabledInChallengeLeague","GoldPurchaseFee","bool"
0,2,0,0,1,1,1,""
1,16,0,0,1,1,20,""
2,11,0,0,1,1,50,""
3,15,0,0,1,1,120,""
4,14,0,0,1,1,120,""
5,3,0,0,1,1,160,""
6,38,0,0,1,1,160,""
7,7,0,0,1,1,200,""
8,26,0,0,1,1,800,""
9,8,0,0,1,1,1000,""
10,102,0,0,1,1,1000,""
11,25,0,0,1,1,1000,""
12,6,0,0,1,1,25000,""
13,22,0,2,1,1,200,""
14,23,0,2,1,1,600,""
15,24,0,2,1,1,1000,""
16,31,0,3,1,1,4,""
17,119,0,3,1,1,12,""
18,121,0,3,1,1,100,""
19,5,0,1,1,1,250,""
20,0,0,1,1,1,500,""
21,1,0,1,1,1,500,""
22,18,0,1,1,1,750,""
23,19,0,1,1,1,1000,""
24,101,13,13,1,1,3,""
25,621,13,13,1,1,1000,""
26,85,10,10,1,1,3,""
27,585,10,10,1,1,1000,""
28,626,4,5,1,1,1000,""
29,3009,4,6,1,1,350,""
30,3010,4,6,1,1,350,""
31,3011,4,6,1,1,350,""
32,811,13,15,1,1,100,""
33,812,13,15,1,1,140,""
34,813,13,15,1,1,180,""
35,814,13,15,1,1,220,""
36,815,13,15,1,1,300,""
37,816,13,15,1,1,400,""
38,817,13,15,1,1,520,""
39,818,13,15,1,1,700,""
40,819,13,15,1,1,920,""
41,820,13,15,1,1,1000,""
42,183,10,12,1,1,100,""
43,184,10,12,1,1,100,""
44,185,10,12,1,1,100,""
45,194,10,12,1,1,160,""
46,187,10,12,1,1,260,""
47,188,10,12,1,1,260,""
48,189,10,12,1,1,260,""
49,186,10,12,1,1,360,""
50,191,10,12,1,1,560,""
51,192,10,12,1,1,560,""
52,190,10,12,1,1,960,""
53,193,10,12,1,1,1000,""
54,1146,24,24,1,1,250,""
55,1147,24,24,1,1,250,""
56,1148,24,24,1,1,250,""
57,1149,24,24,1,1,250,""
58,1145,24,24,1,1,500,""
59,53,8,8,1,1,100,""
60,54,8,8,1,1,100,""
61,55,8,8,1,1,100,""
62,59,8,8,1,1,120,""
63,64,8,8,1,1,120,""
64,57,8,8,1,1,120,""
65,58,8,8,1,1,120,""
66,56,8,8,1,1,140,""
67,61,8,8,1,1,160,""
68,62,8,8,1,1,160,""
69,60,8,8,1,1,180,""
70,63,8,8,1,1,200,""
71,65,8,9,1,1,600,""
72,66,8,9,1,1,600,""
73,67,8,9,1,1,600,""
74,76,8,9,1,1,660,""
75,69,8,9,1,1,740,""
76,70,8,9,1,1,740,""
77,71,8,9,1,1,740,""
78,68,8,9,1,1,820,""
79,73,8,9,1,1,900,""
80,74,8,9,1,1,900,""
81,72,8,9,1,1,1000,""
82,75,8,9,1,1,1000,""
83,491,27,27,1,1,250,""
84,492,27,27,1,1,250,""
85,493,27,27,1,1,250,""
86,494,27,27,1,1,250,""
87,495,27,27,1,1,350,""
88,496,27,27,1,1,350,""
89,500,27,27,1,1,350,""
90,497,27,27,1,1,450,""
91,498,27,27,1,1,450,""
92,499,27,27,1,1,500,""
93,3004,4,7,1,1,1000,""
94,3005,4,7,1,1,1000,""
95,3006,4,7,1,1,1000,""
96,3134,29,29,1,1,120,""
97,3135,29,29,1,1,120,""
98,3136,29,29,1,1,120,""
99,3137,29,29,1,1,120,""
100,3128,29,29,1,1,100,""
101,3129,29,29,1,1,100,""
102,3138,29,29,1,1,260,""
103,3130,29,29,1,1,260,""
104,3140,29,29,1,1,260,""
105,3141,29,29,1,1,260,""
106,3142,29,29,1,1,920,""
107,3131,29,29,1,1,920,""
108,3132,29,29,1,1,1000,""
109,3133,29,29,1,1,1000,""
110,3143,29,29,1,1,1000,""
111,3144,29,29,1,1,1000,""
112,3139,29,29,1,1,1000,""
113,510,28,28,1,1,500,""
114,501,28,28,1,1,500,""
115,502,28,28,1,1,500,""
116,503,28,28,1,1,850,""
117,504,28,28,1,1,850,""
118,505,28,28,1,1,850,""
119,506,28,28,1,1,850,""
120,507,28,28,1,1,850,""
121,508,28,28,1,1,850,""
122,511,28,28,1,1,850,""
123,512,28,28,1,1,850,""
124,513,28,28,1,1,1000,""
125,514,28,28,1,1,1000,""
126,515,28,28,1,1,1000,""
127,509,28,28,1,1,1000,""
