"rownum","i32","i32"
0,1,15
1,2,19
2,3,24
3,4,30
4,5,37
5,6,44
6,7,56
7,8,69
8,9,80
9,10,93
10,11,108
11,12,124
12,13,141
13,14,160
14,15,181
15,16,211
16,17,228
17,18,247
18,19,267
19,20,287
20,21,309
21,22,332
22,23,356
23,24,381
24,25,407
25,26,435
26,27,464
27,28,495
28,29,527
29,30,560
30,31,595
31,32,632
32,33,670
33,34,710
34,35,752
35,36,796
36,37,842
37,38,890
38,39,939
39,40,991
40,41,1046
41,42,1102
42,43,1161
43,44,1223
44,45,1287
45,46,1353
46,47,1423
47,48,1495
48,49,1570
49,50,1649
50,51,1730
51,52,1815
52,53,1903
53,54,1994
54,55,2090
55,56,2188
56,57,2291
57,58,2398
58,59,2509
59,60,2624
60,61,2743
61,62,2867
62,63,2996
63,64,3130
64,65,3268
65,66,3412
66,67,3561
67,68,3716
68,69,3876
69,70,4042
70,71,4215
71,72,4393
72,73,4578
73,74,4770
74,75,4968
75,76,5174
76,77,5387
77,78,5607
78,79,5835
79,80,6072
80,81,6316
81,82,6570
82,83,6832
83,84,7103
84,85,7383
85,86,7674
86,87,7974
87,88,8284
88,89,8605
89,90,8938
90,91,9281
91,92,9636
92,93,10003
93,94,10382
94,95,10774
95,96,11179
96,97,11598
97,98,12031
98,99,12477
99,100,12939
