"rownum","Id","bool","i32","i32"
0,"Claw","",-16843010,-16843010
1,"Dagger","",-16843010,-16843010
2,"Wand","",-16843010,-16843010
3,"OneHandSword","",-16843010,-16843010
4,"Bow","",-16843010,-16843010
5,"Staff","",-16843010,-16843010
6,"TwoHandSword","",3,0
7,"TwoHandMace","",3,0
8,"Quiver","",-16843010,-16843010
9,"Shield",1,-16843010,-16843010
10,"Spear","",-16843010,-16843010
11,"SpiritShield",1,-16843010,-16843010
12,"Crossbow","",-16843010,-16843010
13,"Sceptre","",-16843010,-16843010
14,"Flail","",-16843010,-16843010
15,"Buckler",1,-16843010,-16843010
16,"ThrownOneHandAxe","",-16843010,-16843010
17,"ThrownTwoHandAxe","",-16843010,-16843010
18,"ThrownShield","",-16843010,-16843010
