"rownum","Id","Icon_DDSFile","Stats","Stat1Value","Stat2Value","Stat3Value","Stat4Value","i32","i32","i32","i32","i32","i32","i32","string","bool","rid","bool","rid","bool","[rid]","rid","i32","i32","i32","i32","bool","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","rid","i32","[rid]","i32","[rid]","bool","rid","bool","bool","rid","bool","rid","i32"
0,"attributes1","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],2,0,0,0,9702579,0,0,0,11141120,0,0,"","","","","","",[],0,11403264,0,0,0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",0,0,[],0,[],"","","",1,"","","",0
1,"attributes2","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,9702369,0,0,0,14155776,0,0,"","","","","","",[],0,14155776,0,0,0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",0,0,[],0,[],"","","",1,"","","",0
2,"attributes3","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,9703468,0,0,0,16908288,0,0,"","","","","","",[],0,16908288,0,0,0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",0,0,[],0,[],"","","",1,"","","",0
3,"attributes4","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,9731802,0,0,0,19660800,0,0,"","","","","","",[],0,19660800,0,0,0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",0,0,[],0,[],"","","",1,"","","",0
4,"attributes5","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,9759113,0,0,0,22413312,0,0,"","","","","","",[],0,22413312,0,0,0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",0,0,[],0,[],"","","",1,"","","",0
5,"attributes6","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,9761826,0,0,0,25165824,0,0,"","","","","","",[],0,25165824,0,0,0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",0,0,[],0,[],"","","",1,"","","",0
6,"attributes7","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,9707821,0,0,0,27918336,0,0,"","","","","","",[],0,27918336,0,0,0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",0,0,[],0,[],"","","",1,"","","",0
7,"attributes8_","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,9758142,0,0,0,30801920,0,0,"","","","","","",[],0,30801920,0,0,0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",0,0,[],0,[],"","","",1,"","","",0
8,"attributes9","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,9729985,0,0,0,33554432,0,0,"","","","","","",[],0,33554432,0,0,0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",0,0,[],0,[],"","","",1,"","","",0
9,"attributes10","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,9727033,0,0,0,36438016,0,0,"","","","","","",[],0,36438016,0,0,0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",0,0,[],0,[],"","","",1,"","","",0
10,"attributes11","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,9730136,0,0,0,39321600,0,0,"","","","","","",[],0,39321600,0,0,0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",0,0,[],0,[],"","","",1,"","","",0
11,"attributes12","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,9747304,0,0,0,42205184,0,0,"","","","","","",[],0,42205184,0,0,0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",0,0,[],0,[],"","","",1,"","","",0
12,"attributes13","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,9747880,0,0,0,45088768,0,0,"","","","","","",[],0,45088768,0,0,0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",0,0,[],0,[],"","","",1,"","","",0
13,"attributes14","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,9730566,0,0,0,47972352,0,0,"","","","","","",[],0,47972352,0,0,0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",0,0,[],0,[],"","","",1,"","","",0
14,"attributes15","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,9729469,0,0,0,50855936,0,0,"","","","","","",[],0,50855936,0,0,0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",0,0,[],0,[],"","","",1,"","","",0
15,"attributes16","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,9717776,0,0,0,53739520,0,0,"","","","","","",[],0,53739520,0,0,0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",0,0,[],0,[],"","","",1,"","","",0
16,"attributes17_","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18749],1,0,0,0,9727632,0,0,0,56754176,0,0,"","","","","","",[],0,56754176,0,0,0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",0,0,[],0,[],"","","",1,"","","",0
