"rownum","Id","bool","IsLocal","IsWeaponLocal","Semantics","Text","bool","IsVirtual","MainHandAlias_StatsKey","OffHandAlias_StatsKey","bool","HASH32","BelongsActiveSkillsKey","Category","bool","bool","IsScalable","ContextFlags","[rid]","bool"
0,"level",1,"","",3,"Level",1,"","","",1,1043633784,[],18,1,"",1,[],[],""
1,"item_drop_slots",1,"","",3,"Item Drop Slots","","","","",1,-1300918419,[],"","","",1,[],[],""
2,"main_hand_weapon_type",1,"","",3,"Main Hand Weapon Type",1,1,"","",1,356082681,[],"",1,"",1,[1],[],""
3,"off_hand_weapon_type",1,"","",3,"Off Hand Weapon Type",1,1,"","",1,501678916,[],"",1,"",1,[1],[],""
4,"current_endurance_charges",1,"","",3,"Endurance Charges",1,"","","",1,-2122390594,[],"","","",1,[],[],""
5,"current_frenzy_charges",1,"","",3,"Frenzy Charges",1,"","","",1,623963944,[],"","","",1,[],[],""
6,"current_power_charges",1,"","",3,"Power Charges",1,"","","",1,489142904,[],"","","",1,[],[],""
7,"base_cannot_have_life_leeched_from",1,"","",4,"Cannot be Life-Leeched","","","","",1,1960720105,[],18,"","","",[],[],""
8,"base_cannot_have_mana_leeched_from",1,"","",4,"Cannot be Mana-Leeched","","","","",1,-240478464,[],"","","","",[],[],""
9,"monster_slain_experience_+%",1,"","",1,"Experience From Slain Monsters","","","","",1,-412187701,[],"","","",1,[],[],""
10,"monster_dropped_item_rarity_+%",1,"","",1,"Rarity of Items Dropped by Monsters","","","","",1,-1176759949,[],"","","",1,[],[],""
11,"monster_dropped_item_quantity_+%","","","",1,"Quantity of Items Dropped by Monsters","","","","",1,-239722763,[],"","","",1,[],[],""
12,"local_flask_life_to_recover",1,1,"",3,"Local Flask Life to Recover","","","","",1,-576125868,[],"","","",1,[],[],""
13,"local_flask_life_to_recover_+%",1,1,"",1,"Local Flask Life to Recover +%","","","","",1,-1198959115,[],"","","",1,[],[],""
14,"local_flask_mana_to_recover",1,1,"",3,"Local Flask Mana to Recover","","","","",1,1835370919,[],"","","",1,[],[],""
15,"local_flask_mana_to_recover_+%",1,1,"",1,"Local Flask Mana to Recover +%","","","","",1,395902594,[],"","","",1,[],[],""
16,"local_flask_recovery_speed_+%",1,1,"",1,"Local Flask Recovery Speed +%","","","","",1,1556748148,[],"","","",1,[],[],""
17,"local_flask_deciseconds_to_recover",1,1,"",3,"Time to Recover","","","","",1,97193766,[],"","","",1,[],[],""
18,"local_extra_max_charges","",1,"",3,"Local Extra Charges","","","","",1,-383728497,[],"","","",1,[],[],""
19,"shield_block_%",1,"","",1,"Shield Block Chance","","","","",1,-1873459806,[],11,"","",1,[],[],""
20,"old_do_not_use_spell_block_%_from_assumed_block_value","","","",1,"","","","","",1,1484398156,[],"","","",1,[],[],""
21,"block_while_dual_wielding_%","","","",1,"Blocking while Dual Wielding","","","","",1,298807534,[],11,"","",1,[],[],""
22,"block_recovery_+%",1,"","",1,"Block Recovery Increase","","","","",1,-1638902486,[],11,"","",1,[],[],""
23,"shield_armour_+%",1,"","",1,"Shield Armour","","","","",1,1669549715,[],9,"","",1,[],[],""
24,"damage_+%",1,"","",1,"All Damage","","","","",1,-1168998803,[],1,"","",1,[],[],""
25,"spell_damage_+%",1,"","",1,"Spell Damage +%","","","","",1,78851980,[],1,"","",1,[],[],""
26,"physical_damage_+%",1,"","",1,"Physical Damage +%","","","","",1,-453783483,[],1,"","",1,[],[],""
27,"local_physical_damage_+%","",1,"",1,"Local Physical Damage +%","","","","",1,-1544785049,[],"","","",1,[],[],""
28,"global_minimum_added_physical_damage","","","",3,"Minimum Added Physical Damage","","","","",1,821215114,[],"","","",1,[],[],""
29,"global_maximum_added_physical_damage","","","",3,"Maximum Added Physical Damage","","","","",1,1816224805,[],"","","",1,[],[],""
30,"attack_minimum_added_physical_damage","","","",3,"Minimum Added Physical Damage","","","","",1,-1987301089,[],1,"","",1,[],[],""
31,"attack_maximum_added_physical_damage","","","",3,"Maximum Added Physical Damage","","","","",1,1877497836,[],1,"","",1,[],[],""
32,"local_minimum_added_physical_damage","",1,"",3,"Local Minimum Added Physical Damage","","","","",1,1855777478,[],"","","",1,[],[],""
33,"local_maximum_added_physical_damage","",1,"",3,"Local Maximum Added Physical Damage","","","","",1,2141103287,[],"","","",1,[],[],""
34,"physical_axe_damage_+%","","","",1,"Axe Damage","","","","",1,-1256660353,[],1,"","",1,[],[],""
35,"physical_staff_damage_+%","","","",1,"Staff Damage","","","","",1,932143818,[],1,"","",1,[],[],""
36,"physical_claw_damage_+%","","","",1,"Claw Damage","","","","",1,140443962,[],1,"","",1,[],[],""
37,"physical_dagger_damage_+%","","","",1,"Dagger Damage","","","","",1,-689652613,[],1,"","",1,[],[],""
38,"physical_mace_damage_+%","","","",1,"Mace Damage","","","","",1,1862394874,[],1,"","",1,[],[],""
39,"physical_bow_damage_+%","","","",1,"Bow Damage","","","","",1,204052327,[],1,"","",1,[],[],""
40,"physical_sword_damage_+%","","","",1,"Sword Damage","","","","",1,2133884384,[],1,"","",1,[],[],""
41,"physical_wand_damage_+%","","","",1,"Wand Damage","","","","",1,1844590324,[],1,"","",1,[],[],""
42,"fire_damage_+%",1,"","",1,"Fire Damage +%","","","","",1,191057191,[],1,"","",1,[],[],""
43,"global_minimum_added_fire_damage","","","",3,"Minimum Added Fire Damage","","","","",1,2034740550,[],"","","",1,[],[],""
44,"global_maximum_added_fire_damage","","","",3,"Maximum Added Fire Damage","","","","",1,-902547218,[],"","","",1,[],[],""
45,"attack_minimum_added_fire_damage",1,"","",3,"Attack Minimum Added Fire Damage","","","","",1,-1181478971,[],"","","",1,[],[],""
46,"attack_maximum_added_fire_damage",1,"","",3,"Attack Maximum Added Fire Damage","","","","",1,501099642,[],"","","",1,[],[],""
47,"local_minimum_added_fire_damage","",1,"",3,"Local Minimum Added Fire Damage","","","","",1,318629524,[],"","","",1,[],[],""
48,"local_maximum_added_fire_damage","",1,"",3,"Local Maximum Added Fire Damage","","","","",1,928714545,[],"","","",1,[],[],""
49,"cold_damage_+%",1,"","",1,"Cold Damage +%","","","","",1,78179886,[],1,"","",1,[],[],""
50,"global_minimum_added_cold_damage","","","",3,"Minimum Added Cold Damage","","","","",1,-619139700,[],"","","",1,[],[],""
51,"global_maximum_added_cold_damage","","","",3,"Maximum Added Cold Damage","","","","",1,-271567038,[],"","","",1,[],[],""
52,"attack_minimum_added_cold_damage",1,"","",3,"Attack Minimum Added Cold Damage","","","","",1,171791935,[],"","","",1,[],[],""
53,"attack_maximum_added_cold_damage",1,"","",3,"Attack Maximum Added Cold Damage","","","","",1,-939811086,[],"","","",1,[],[],""
54,"local_minimum_added_cold_damage","",1,"",3,"Local Minimum Added Cold Damage","","","","",1,-255408318,[],"","","",1,[],[],""
55,"local_maximum_added_cold_damage","",1,"",3,"Local Maximum Added Cold Damage","","","","",1,472353268,[],"","","",1,[],[],""
56,"lightning_damage_+%",1,"","",1,"Lightning Damage +%","","","","",1,-1639944867,[],1,"","",1,[],[],""
57,"global_minimum_added_lightning_damage","","","",3,"Minimum Added Lightning Damage","","","","",1,-1577166020,[],"","","",1,[],[],""
58,"global_maximum_added_lightning_damage","","","",3,"Maximum Added Lightning Damage","","","","",1,-1369359538,[],"","","",1,[],[],""
59,"attack_minimum_added_lightning_damage",1,"","",3,"Attack Minimum Added Lightning Damage","","","","",1,365867665,[],"","","",1,[],[],""
60,"attack_maximum_added_lightning_damage",1,"","",3,"Attack Maximum Added Lightning Damage","","","","",1,513324754,[],"","","",1,[],[],""
61,"local_minimum_added_lightning_damage","",1,"",3,"Local Minimum Added Lightning Damage","","","","",1,-1727629303,[],"","","",1,[],[],""
62,"local_maximum_added_lightning_damage","",1,"",3,"Local Maximum Added Lightning Damage","","","","",1,2119574765,[],"","","",1,[],[],""
63,"chaos_damage_+%",1,"","",1,"Chaos Damage +%","","","","",1,-1059988617,[],1,"","",1,[],[],""
64,"global_minimum_added_chaos_damage","","","",3,"Minimum Added Chaos Damage","","","","",1,2045769627,[],"","","",1,[],[],""
65,"global_maximum_added_chaos_damage","","","",3,"Maximum Added Chaos Damage","","","","",1,237208908,[],"","","",1,[],[],""
66,"attack_minimum_added_chaos_damage",1,"","",3,"Minimum Added Chaos Damage","","","","",1,-1824954379,[],"","","",1,[],[],""
67,"attack_maximum_added_chaos_damage",1,"","",3,"Maximum Added Chaos Damage","","","","",1,813475924,[],"","","",1,[],[],""
68,"local_minimum_added_chaos_damage","",1,"",3,"Local Minimum Added Chaos Damage","","","","",1,-1616765083,[],"","","",1,[],[],""
69,"local_maximum_added_chaos_damage","",1,"",3,"Local Maximum Added Chaos Damage","","","","",1,1788772063,[],"","","",1,[],[],""
70,"attack_speed_+%",1,"","",1,"Attack Speed +%","","","","",1,1067510423,[],3,"","",1,[],[],""
71,"local_attack_speed_+%","",1,1,1,"Local Attack Speed +%","","",779,796,1,-475973045,[],"","","",1,[],[],""
72,"melee_attack_speed_+%","","","",1,"Melee Attack Speed","","","","",1,392499720,[],3,"","",1,[],[],""
73,"attack_speed_while_dual_wielding_+%","","","",1,"Attack Speed while Dual Wielding","","","","",1,-355434507,[],3,"","",1,[],[],""
74,"axe_attack_speed_+%","","","",1,"Attack Speed with Axes","","","","",1,-179890266,[],3,"","",1,[],[],""
75,"quarterstaff_attack_speed_+%","","","",1,"Attack Speed with Staves","","","","",1,1444089960,[],3,"","",1,[],[],""
76,"claw_attack_speed_+%","","","",1,"Attack Speed with Claws","","","","",1,10516126,[],3,"","",1,[],[],""
77,"dagger_attack_speed_+%","","","",1,"Attack Speed with Daggers","","","","",1,-56067023,[],3,"","",1,[],[],""
78,"mace_attack_speed_+%","","","",1,"Attack Speed with Maces","","","","",1,1792355518,[],3,"","",1,[],[],""
79,"bow_attack_speed_+%","","","",1,"Attack Speed with Bows","","","","",1,910131726,[],3,"","",1,[],[],""
80,"sword_attack_speed_+%","","","",1,"Attack Speed with Swords","","","","",1,1781295952,[],3,"","",1,[],[],""
81,"wand_attack_speed_+%","","","",1,"Attack Speed with Wands","","","","",1,-1558902215,[],3,"","",1,[],[],""
82,"shield_attack_speed_+%","","","",1,"Attack Speed with Shields","","","","",1,1314749611,[],"","","",1,[],[],""
83,"accuracy_rating","","","",3,"Accuracy Rating","","","","",1,552754587,[],5,"","",1,[],[],""
84,"accuracy_rating_+%",1,"","",1,"Accuracy Rating +%","","","","",1,-253919695,[],5,"","",1,[],[],""
85,"accuracy_rating_while_dual_wielding_+%","","","",1,"Accuracy Rating while Dual Wielding +%","","","","",1,1669799203,[],5,"","",1,[],[],""
86,"axe_accuracy_rating_+%","","","",1,"Accuracy Rating with Axes","","","","",1,-2030619774,[],5,"","",1,[],[],""
87,"quarterstaff_accuracy_rating_+%","","","",1,"Accuracy Rating with Staves","","","","",1,1362608878,[],5,"","",1,[],[],""
88,"claw_accuracy_rating_+%","","","",1,"Accuracy Rating with Claws","","","","",1,-258291915,[],5,"","",1,[],[],""
89,"dagger_accuracy_rating_+%","","","",1,"Accuracy Rating with Daggers","","","","",1,176779968,[],5,"","",1,[],[],""
90,"mace_accuracy_rating_+%","","","",1,"Accuracy Rating with Maces","","","","",1,1593823747,[],5,"","",1,[],[],""
91,"bow_accuracy_rating_+%","","","",1,"Accuracy Rating with Bows","","","","",1,-224481941,[],5,"","",1,[],[],""
92,"sword_accuracy_rating_+%","","","",1,"Accuracy Rating with Swords","","","","",1,814552329,[],5,"","",1,[],[],""
93,"wand_accuracy_rating_+%","","","",1,"Accuracy Rating with Wands","","","","",1,362619878,[],5,"","",1,[],[],""
94,"poison_on_critical_strike_with_dagger","","","",4,"Poisons on Critical Strike with Dagger","","","","",1,-2101553279,[],"","","","",[],[],""
95,"base_critical_strike_multiplier_+",1,"","",3,"Base Critical Strike Multiplier +%","","","","",1,-1317475609,[],4,"","",1,[],[],""
96,"critical_strike_multiplier_with_dagger_+","","","",3,"Critical Strike Multiplier","","","","",1,1100330652,[],4,"","",1,[],[],""
97,"base_self_critical_strike_multiplier_-%",1,"","",3,"Critical Strike Multiplier","","","","",1,-805995854,[],4,"","",1,[],[],""
98,"self_critical_strike_multiplier_-%_per_endurance_charge",1,"","",3,"Enemy Critical Strike Damage Multiplier reduction per Endurance Charge","","","","",1,921275512,[],"","","",1,[],[],""
99,"base_life_gained_on_enemy_death",1,"","",3,"Base Life Gained On Enemy Death","","","","",1,1419928513,[],18,"","",1,[],[],""
100,"base_life_leech_from_any_attack_damage_permyriad",1,"","",1,"Life Leech from any Damage","","","","",1,-1176220674,[],"","","",1,[],[],""
101,"base_mana_gained_on_enemy_death",1,"","",3,"Base Mana Gained On Enemy Death","","","","",1,1022478200,[],18,"","",1,[],[],""
