"rownum","Id","MonsterTypesKey","i32","ObjectSize","MinimumAttackDistance","MaximumAttackDistance","ACTFiles","AOFiles","BaseMonsterTypeIndex","ModsKeys","i32","string","string","ModelSizeMultiplier","i32","i32","i32","i32","i32","i32","i32","i32","[rid]","i32","[rid]","i32","i32","i32","i32","i32","[rid]","string","[rid]","string","rid","string","i32","i32","i32","[rid]","[rid]","rid","rid","rid","rid","i32","[rid]","[rid]","[rid]","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","rid","i32","i32","i32","i32","i32","i32","rid","rid","i32","i32","i32","rid","i32","i32","i32","bool","bool","bool","i32","i32","f32","string","i32","rid","bool","bool","i32","bool","i32","i32","i32","i32","i32","i32","[string]","i32","i32","bool","rid","i32","bool","i32","i32","i32","i32","bool","i32","rid","f32","f32","bool","[string]","rid","i32","i32","i32","rid","bool","i32","bool"
0,"Any",53,40,1,6,6,[],[],"Metadata/Monsters/Clone/Clone",[],1,"","",100,1,3,-16843010,-16843010,-16843010,-16843010,17,0,[755],100,[],105,105,700,500,0,[576],"",[],"",3,"[ANY MONSTER]",100,100,830,[],[],"","","","",0,[],[],[],"",0,6,135,0,0,135,1342183789,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,2449473536,2449473536,-1845493760,0,-33554432,-16843010,-16843010,-16843010,3372154622,2449473536,-1845493760,0,167772160,1342177280,0,146,0,"","",1,0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,"","",7,"",0,0,0,0,"",0,"",1,1,"",[],"",0,100,1028443341,0,1,0,""
1,"Metadata/Monsters/Monkeys/MonkeyJungle",0,46,2,4,9,"[""Metadata/Monsters/Monkeys/Jungle/MonkeyJungle.act""]","[""Metadata/Monsters/Monkeys/BloodMonkey/BloodMonkeyJungle.ao""]","Metadata/Monsters/Monkeys/Jungle/MonkeyJungle",[],1,"","",100,1,6,5,0,0,0,1,0,"[774,72,921,755,757,742,49,713,31,29,714,709,32,118,745,1025]",65,[4],105,105,700,500,0,"[581,772,2934]","Metadata/Monsters/Monkeys/Jungle/MonkeyJungle.ais",[],"",0,"Feral Primate",65,65,1005,[],[],"","","","",0,[],[],[614],1,1,4,3,0,0,3,1342195936,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,4127195136,4127195136,-167772160,3,-33554432,-16843010,-16843010,-16843010,3372154622,4127195136,-167772160,3,167772160,1342177280,0,1014,0,"",1,"",0,15,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",7,"",0,0,-5,5,"",0,"",1,1,"",[],280,3,65,1028443341,0,1,0,""
2,"Metadata/Monsters/Monkeys/MonkeyJungleTree",0,46,2,4,9,"[""Metadata/Monsters/Monkeys/Jungle/MonkeyJungle.act""]","[""Metadata/Monsters/Monkeys/BloodMonkey/BloodMonkeyJungle.ao""]","Metadata/Monsters/Monkeys/Jungle/MonkeyJungleTree",[],1,"","",100,1,33,5,0,0,0,1,0,"[774,72,921,755,757,742,49,713,31,29,714,709,32,118,745,1025]",65,[4],105,105,700,500,0,"[581,772,2934]","Metadata/Monsters/Monkeys/Jungle/MonkeyJungle.ais",[],"",0,"Feral Primate",65,65,1005,[],[],"","","","",0,[],[],[614],1,1,4,3,0,0,3,1342212007,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,134217728,134217728,134217728,6,-33554432,-16843010,-16843010,-16843010,3372154622,134217728,134217728,6,167772160,1342177280,0,1544,0,"",1,"",-10,10,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",7,"",0,0,-5,5,"",0,"",1,1,"",[],280,3,65,1028443341,0,1,0,""
3,"Metadata/Monsters/Monkeys/MonkeyJungleTamed",1,33,2,4,7,"[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.act""]","[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ao""]","Metadata/Monsters/Monkeys/Jungle/BloodApeTamed",[],1,"","",100,1,6,5,0,0,0,1,0,"[774,72,757,742,49,754,713,31,29,714,709,118,745,1025]",65,[4],105,105,700,500,0,[581],"Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ais",[],"",0,"Feral Primate",65,65,1005,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,1342193381,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,4227858432,4227858432,-67108864,8,-33554432,-16843010,-16843010,-16843010,3372154622,4227858432,-67108864,8,167772160,1342177280,0,2300,0,"",1,"",0,0,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",7,"",0,0,0,0,1,0,"",1,1,"",[],280,3,65,1028443341,0,1,0,""
4,"Metadata/Monsters/Monkeys/MonkeyJungleTamedBossSpectator",1,33,2,4,7,"[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.act""]","[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ao""]","Metadata/Monsters/Monkeys/Jungle/BloodApeTamedBoss",[],1,"","",100,1,6,5,0,0,0,1,0,"[774,72,757,742,49,754,713,31,29,714,709,118,745,1025]",65,[4],105,105,700,500,0,[581],"Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ais",[],"stance5",0,"Feral Primate",65,65,1005,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,1342207967,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,3992977408,3992977408,-301989888,10,-33554432,-16843010,-16843010,-16843010,3372154622,3992977408,-301989888,10,167772160,1342177280,0,2798,0,"",1,"",0,0,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",7,"",0,0,0,0,1,0,"",1,1,"",[],280,3,65,1028443341,0,1,0,""
5,"Metadata/Monsters/BloodChieftain/MonkeyChiefJungle",15,36,4,8,11,"[""Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain.act""]","[""Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain.ao""]","Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain",[],1,"","",100,3,6,18,0,0,0,1,0,"[72,772,757,731,725,49,747,754,713,1040,30,31,714,709,118]",175,[],105,105,700,500,0,"[578,791,3919,3801,2934,1942,3730,3731]","Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain.ais",[],"",0,"Alpha Primate",175,175,1905,[],[],"",12,"","",0,[],[],[602],"",1,3,135,0,0,3,1342234611,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,3791650816,3791650816,-503316480,14,-33554432,-16843010,-16843010,-16843010,3372154622,3791650816,-503316480,14,167772160,1342177280,0,3810,0,"",1,"",-5,10,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",7,"",0,0,-5,5,"",0,"",1,1,"",[],280,7,138,1028443341,0,1,0,""
6,"Metadata/Monsters/InsectMinion/InsectTest",27,40,1,6,6,"[""Metadata/Monsters/InsectMinion/Minion/InsectMinion.act""]","[""Metadata/Monsters/InsectMinion/Minion/InsectMinion.ao""]","Metadata/Monsters/InsectMinion/Testling",[],1,"","",60,1,6,4,0,0,0,1,0,"[774,72,1024,743,755,757,75,121,742,713,714]",100,[],105,105,700,500,0,[576],"Metadata/Monsters/InsectMinion/InsectMinion.ais",[],"",40,"Testling",100,100,1500,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,1342182371,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,2919235584,2919235584,-1375731712,17,-33554432,-16843010,-16843010,-16843010,3372154622,2919235584,-1375731712,17,167772160,1342177280,0,4526,0,"","","",0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],-50,50,"","",7,"",0,0,0,0,"",0,"",1,1,"",[],"",0,100,1028443341,0,1,0,""
7,"Metadata/Monsters/InsectMinion/InsectTestDoNotUse",28,40,1,6,6,"[""Metadata/Monsters/InsectMinion/Minion/InsectMinion.act""]","[""Metadata/Monsters/InsectMinion/Minion/InsectMinion.ao""]","Metadata/Monsters/InsectMinion/Testling",[],1,"","",60,1,6,4,0,0,0,1,0,"[774,72,1024,743,755,757,75,121,742,713,714]",10000,[],105,105,700,500,0,[576],"Metadata/Monsters/InsectMinion/InsectMinion.ais",[],"",40,"THIS IS A BUG",10000,10000,1500,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,1342198069,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,33554432,33554432,33554432,19,-33554432,-16843010,-16843010,-16843010,3372154622,33554432,33554432,19,167772160,1342177280,0,4866,0,"","","",0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,"","",7,"",0,0,0,0,"",0,"",1,1,"",[],"",0,5050,1028443341,0,1,0,""
8,"Metadata/Monsters/Spiker/Spiker",13,32,3,6,9,"[""Metadata/Monsters/Spiker/Spiker.act""]","[""Metadata/Monsters/Spiker/Spiker.ao""]","Metadata/Monsters/Spiker/Spiker",[6185],1,"","",100,3,6,4,0,0,0,1,0,"[723,774,72,1024,757,738,725,49,747,754,713,1090,714,118,708]",140,[],105,105,700,500,0,[],"Metadata/Monsters/Spiker/Spiker.ais",[],"",0,"Porcupine Goliath",140,140,1050,[],[],"","","","",0,[],[],[723],"",1,6,135,0,0,135,1342239550,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1711276032,1711276032,1711276032,21,-33554432,-16843010,-16843010,-16843010,3372154622,1711276032,1711276032,21,167772160,1342177280,0,5478,0,"",1,"",-5,5,0,"",0,"","","",3,1,0,0,0,0,0,0,[],-5,5,"","",7,"",0,0,-5,5,"",0,"",1,1,"",[],283,6,120,1028443341,0,1,0,""
9,"Metadata/Monsters/Spiker/Spiker3_",13,32,3,6,9,"[""Metadata/Monsters/Spiker/SpikerNew.act""]","[""Metadata/Monsters/Spiker/Spiker_Variant.ao""]","Metadata/Monsters/Spiker/Spiker",[],1,"","",100,3,6,4,0,0,0,1,0,"[723,72,1024,49,754,713,1090,714,118,708]",140,[],105,105,700,500,0,"[578,1488,4094,661]","Metadata/Monsters/Spiker/Spiker.ais",[],"",0,"Porcupine Goliath",140,140,1050,[],[],"","","","",0,[],[],[723],"",1,6,135,0,0,135,1342186243,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1409286144,1409286144,1409286144,23,-33554432,-16843010,-16843010,-16843010,3372154622,1409286144,1409286144,23,167772160,1342177280,0,5972,0,"",1,"",-8,8,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-10,5,"","",7,1,0,0,-5,5,"",0,"",1,1,"",[],283,6,120,1028443341,0,1,0,""
