"rownum","Id","Mods","string","string","i32","i32","[rid]","i32","[i32]","[rid]"
0,"ProphecySignature",[],"","",0,0,[],0,[],[]
1,"BLAMTEasyBrutus",[],"","",0,0,[],0,[],[]
2,"PathOfEndurance",[],"Path of Endurance","http://poe.qq.com/redirect/g25.htm",60,0,[],0,[],[]
3,"EverythingEverywhere","[9077,9081,9085,9089,9093,9112,9116,9118,9122,9123,9124,9125,9126,9127,9128,9129,9130,9131,9132,9133]","","",0,60,[],0,"[1,2]","[2576,2577]"
4,"EverythingSomewhere","[9078,9082,9086,9090,9094,9098,9102,9105,9107]","","",0,60,[],1,[],[]
5,"EverythingSomewhereSingle","[9079,9083,9087,9091,9095,9099,9103,9106,9108,9109,9111,9113,9114,9115,9117]","","",0,60,[],3,[],[]
6,"EverythingSomewhereSingleTencent","[9079,9087,9091,9095,9103,9109,9111,9113,9114,9115,9117]","","",0,60,[],3,[],[]
7,"PerandusSingleTencent",[9099],"","",0,0,[],0,[],[]
8,"EverythingSomewhereSingleNoDelirium","[9079,9083,9087,9091,9095,9099,9103,9106,9108,9109,9111,9113,9114,9115]","","",0,60,[],3,[],[]
9,"DeliriumSingleTencent",[9117],"","",0,0,[],0,[],[]
