"rownum","BaseItemTypesKey","Regular_WorldAreasKey","[rid]","rid","row","i32","i32","bool","i16"
0,516,"",[],"",8,1,0,"",0
1,517,"",[],"",8,2,0,"",0
2,518,"",[],"",8,3,0,"",0
3,519,"",[],"",8,4,0,"",0
4,520,"",[],"",8,5,0,"",0
5,521,"",[],"",8,6,0,"",0
6,522,"",[],"",8,7,0,"",0
7,523,"",[],"",8,8,0,"",0
8,524,"",[],"",8,9,0,"",0
9,525,"",[],"",8,10,0,"",0
10,526,"",[],"",8,11,0,"",0
11,527,"",[],"",8,12,0,"",0
12,528,"",[],"",8,13,0,"",0
13,529,"",[],"",8,14,0,"",0
14,530,"",[],"",8,15,0,"",0
15,531,"",[],"",8,16,0,1,0
