"rownum","string","string","string","[rid]","[rid]"
0,"All","All","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconAll",[],[]
1,"Weapon","Weapons","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconAxe","[8,11,12,15,13,1014,1010,566,5,1012]",[]
2,"Caster","Caster Items","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconWand","[9,10,37,45]",[]
3,"Shield","Shields","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconShield","[1,7]",[]
4,"Helmet","Helmets","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconHelmet","[25,7]",[]
5,"BodyArmour","Body Armour","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconBodyArmour","[16,7]",[]
6,"Glove","Gloves","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconGloves","[22,7]",[]
7,"Boot","Boots","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconBoots","[4,7]",[]
8,"Ring","Rings","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconRing",[2],[]
9,"Amulet","Amulets","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconAmulet",[3],[]
10,"Belt","Belts","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconBelt",[26],[]
11,"Quiver","Quivers","Art/2DArt/UIImages/InGame/CraftingBench/CraftingBenchIconQuiver",[21],[]
