"rownum","Slot","ClusterJewelSize","i32","ReplacesSlot","ProxySlot","StartIndices"
0,5121,"",0,"","",[]
1,5122,"",0,"","",[]
2,5123,"",0,"","",[]
3,5124,"",0,"","",[]
4,5125,"",0,"","",[]
5,5126,"",0,"","",[]
6,5127,"",0,"","",[]
7,5128,"",0,"","",[]
8,5129,"",0,"","",[]
9,5130,"",0,"","",[]
10,5131,"",0,"","",[]
11,5132,"",0,"","",[]
12,5133,"",0,"","",[]
13,5134,"",0,"","",[]
14,5135,"",0,"","",[]
15,5136,"",0,"","",[]
16,5137,"",0,"","",[]
17,5138,"",0,"","",[]
18,5139,"",0,"","",[]
19,5140,"",0,"","",[]
20,5141,"",0,"","",[]
21,5142,"",0,"","",[]
22,5143,"",0,"","",[]
23,5144,"",0,"","",[]
